ID,BÖLGE ADI,BÖLGE PUANTI (MW),PUANT GÜNÜ,date
7,BATI AKDENİZ YTM,2450.2,08.05.2019,2019-05-08
5,BATI ANADOLU YTM,4751.18,08.05.2019,2019-05-08
11,DOĞU AKDENİZ YTM,2740.69,08.05.2019,2019-05-08
9,DOĞU ANADOLU YTM,1252.89,08.05.2019,2019-05-08
10,GÜNEY DOĞU ANADOLU YTM,4321.43,08.05.2019,2019-05-08
4,KUZEY BATI ANADOLU YTM,7847.42,08.05.2019,2019-05-08
6,ORTA ANADOLU YTM,3931.95,08.05.2019,2019-05-08
8,ORTA KARADENİZ YTM,1820.74,08.05.2019,2019-05-08
3,TRAKYA YTM,5640.3,08.05.2019,2019-05-08
