ID,BÖLGE ADI,BÖLGE PUANTI (MW),PUANT GÜNÜ,date
7,BATI AKDENİZ YTM,2424.0,28.10.2019,2019-10-28
5,BATI ANADOLU YTM,4496.03,28.10.2019,2019-10-28
11,DOĞU AKDENİZ YTM,2647.73,28.10.2019,2019-10-28
9,DOĞU ANADOLU YTM,1240.08,28.10.2019,2019-10-28
10,GÜNEY DOĞU ANADOLU YTM,4164.94,28.10.2019,2019-10-28
4,KUZEY BATI ANADOLU YTM,6610.95,28.10.2019,2019-10-28
6,ORTA ANADOLU YTM,3739.33,28.10.2019,2019-10-28
8,ORTA KARADENİZ YTM,1771.54,28.10.2019,2019-10-28
3,TRAKYA YTM,5068.77,28.10.2019,2019-10-28
