"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Italy (IT)","01.01.2022 00:00 - 01.01.2022 01:00 (UTC)","677","n/e","517","6234","1465","202","n/e","n/e","639","1","103","2115","242","n/e","n/e","1365","n/e","0","36","n/e","2024"
"Italy (IT)","01.01.2022 01:00 - 01.01.2022 02:00 (UTC)","683","n/e","532","5559","1372","268","n/e","n/e","640","0","131","1951","200","n/e","n/e","1390","n/e","0","36","n/e","2140"
"Italy (IT)","01.01.2022 02:00 - 01.01.2022 03:00 (UTC)","670","n/e","545","5212","1291","290","n/e","n/e","639","0","700","1831","155","n/e","n/e","1335","n/e","0","36","n/e","2233"
"Italy (IT)","01.01.2022 03:00 - 01.01.2022 04:00 (UTC)","656","n/e","553","4672","1284","187","n/e","n/e","648","0","735","1842","158","n/e","n/e","1323","n/e","0","35","n/e","2368"
"Italy (IT)","01.01.2022 04:00 - 01.01.2022 05:00 (UTC)","649","n/e","555","4667","1296","169","n/e","n/e","648","0","334","1818","160","n/e","n/e","1398","n/e","0","37","n/e","2151"
"Italy (IT)","01.01.2022 05:00 - 01.01.2022 06:00 (UTC)","644","n/e","553","4900","1306","169","n/e","n/e","649","0","299","1930","159","n/e","n/e","1354","n/e","0","36","n/e","1820"
"Italy (IT)","01.01.2022 06:00 - 01.01.2022 07:00 (UTC)","642","n/e","553","4798","1304","180","n/e","n/e","648","0","702","2192","206","n/e","n/e","1296","n/e","43","34","n/e","1793"
"Italy (IT)","01.01.2022 07:00 - 01.01.2022 08:00 (UTC)","644","n/e","555","4258","1295","29","n/e","n/e","648","0","682","2484","239","n/e","n/e","1330","n/e","900","35","n/e","1759"
"Italy (IT)","01.01.2022 08:00 - 01.01.2022 09:00 (UTC)","649","n/e","555","4073","1251","29","n/e","n/e","647","0","632","2204","201","n/e","n/e","1255","n/e","2457","34","n/e","1847"
"Italy (IT)","01.01.2022 09:00 - 01.01.2022 10:00 (UTC)","647","n/e","555","4435","1158","29","n/e","n/e","647","88","45","2056","184","n/e","n/e","1254","n/e","3817","33","n/e","1648"
"Italy (IT)","01.01.2022 10:00 - 01.01.2022 11:00 (UTC)","649","n/e","556","5404","1140","38","n/e","n/e","649","52","80","2083","196","n/e","n/e","1267","n/e","4427","33","n/e","1685"
"Italy (IT)","01.01.2022 11:00 - 01.01.2022 12:00 (UTC)","661","n/e","556","5284","1173","78","n/e","n/e","650","61","46","2069","246","n/e","n/e","1348","n/e","4720","35","n/e","1951"
"Italy (IT)","01.01.2022 12:00 - 01.01.2022 13:00 (UTC)","656","n/e","556","5021","1105","88","n/e","n/e","635","16","47","2000","201","n/e","n/e","1338","n/e","4516","36","n/e","2296"
"Italy (IT)","01.01.2022 13:00 - 01.01.2022 14:00 (UTC)","646","n/e","560","4655","1172","91","n/e","n/e","635","0","430","1877","184","n/e","n/e","1338","n/e","3544","36","n/e","2561"
"Italy (IT)","01.01.2022 14:00 - 01.01.2022 15:00 (UTC)","648","n/e","603","5269","1182","104","n/e","n/e","634","0","47","2147","221","n/e","n/e","1352","n/e","1603","36","n/e","2476"
"Italy (IT)","01.01.2022 15:00 - 01.01.2022 16:00 (UTC)","642","n/e","599","6746","1194","114","n/e","n/e","634","121","2","2674","477","n/e","n/e","1358","n/e","154","34","n/e","2404"
"Italy (IT)","01.01.2022 16:00 - 01.01.2022 17:00 (UTC)","687","n/e","648","8233","1216","165","n/e","n/e","645","1280","45","3212","716","n/e","n/e","1416","n/e","0","37","n/e","2222"
"Italy (IT)","01.01.2022 17:00 - 01.01.2022 18:00 (UTC)","702","n/e","630","8772","1221","239","n/e","n/e","652","1788","1","3372","502","n/e","n/e","1381","n/e","0","35","n/e","1983"
"Italy (IT)","01.01.2022 18:00 - 01.01.2022 19:00 (UTC)","707","n/e","577","9045","1217","293","n/e","n/e","652","2266","","3357","552","n/e","n/e","1441","n/e","0","36","n/e","1742"
"Italy (IT)","01.01.2022 19:00 - 01.01.2022 20:00 (UTC)","697","n/e","555","9196","1224","295","n/e","n/e","653","2003","","2929","742","n/e","n/e","1435","n/e","0","37","n/e","1490"
"Italy (IT)","01.01.2022 20:00 - 01.01.2022 21:00 (UTC)","698","n/e","556","9164","1210","298","n/e","n/e","653","1310","","2653","745","n/e","n/e","1420","n/e","0","37","n/e","1359"
"Italy (IT)","01.01.2022 21:00 - 01.01.2022 22:00 (UTC)","654","n/e","554","8572","1206","256","n/e","n/e","653","243","","2433","582","n/e","n/e","1429","n/e","0","38","n/e","1391"
"Italy (IT)","01.01.2022 22:00 - 01.01.2022 23:00 (UTC)","632","n/e","555","7492","1192","218","n/e","n/e","653","14","117","2059","279","n/e","n/e","1378","n/e","0","38","n/e","1357"
"Italy (IT)","01.01.2022 23:00 - 02.01.2022 00:00 (UTC)","661","n/e","545","5795","1125","155","n/e","n/e","652","18","148","2049","145","n/e","n/e","1335","n/e","0","37","n/e","1371"
