ID,BÖLGE ADI,BÖLGE PUANTI (MW),PUANT GÜNÜ,date
7,BATI AKDENİZ YTM,2341.27,18.06.2020,2020-06-18
5,BATI ANADOLU YTM,5175.33,18.06.2020,2020-06-18
11,DOĞU AKDENİZ YTM,2994.17,18.06.2020,2020-06-18
9,DOĞU ANADOLU YTM,1084.41,18.06.2020,2020-06-18
10,GÜNEY DOĞU ANADOLU YTM,4994.37,18.06.2020,2020-06-18
4,KUZEY BATI ANADOLU YTM,7808.84,18.06.2020,2020-06-18
6,ORTA ANADOLU YTM,4137.15,18.06.2020,2020-06-18
8,ORTA KARADENİZ YTM,1810.8,18.06.2020,2020-06-18
3,TRAKYA YTM,5667.38,18.06.2020,2020-06-18
