datetime,ccgt,oil,coal,nuclear,wind,ps,npshyd,ocgt,other,intfr,intirl,intned,intew,biomass,intnem,intelec,intifa2,intnsl,solar,year,month,month_date,weekday,hour,date
2018-01-01 00:00:00,5550.0,0.0,1320.5,7266.0,8673.0,0.0,353.0,0.0,89.0,1406.0,203.0,710.0,432.0,752.5,0.0,0.0,0.0,0.0,0.0,2018,1,01-01,Monday,0,2018-01-01
2018-01-01 01:00:00,5620.0,0.0,1557.0,7260.5,8613.0,0.0,348.0,0.0,89.0,1405.0,211.0,724.0,432.0,755.5,0.0,0.0,0.0,0.0,0.0,2018,1,01-01,Monday,1,2018-01-01
2018-01-01 02:00:00,4918.5,0.0,1564.5,7255.0,8418.5,0.0,331.5,0.0,89.0,1306.0,212.0,675.0,432.0,753.0,0.0,0.0,0.0,0.0,0.0,2018,1,01-01,Monday,2,2018-01-01
2018-01-01 03:00:00,4133.0,0.0,1574.5,7256.5,8299.0,0.0,280.0,0.0,89.0,1305.0,213.0,677.0,432.0,757.0,0.0,0.0,0.0,0.0,0.0,2018,1,01-01,Monday,3,2018-01-01
2018-01-01 04:00:00,3505.5,0.0,1431.5,7256.0,8197.5,0.0,272.0,0.0,89.0,1306.0,214.0,461.0,432.0,756.5,0.0,0.0,0.0,0.0,0.0,2018,1,01-01,Monday,4,2018-01-01
2018-01-01 05:00:00,3702.0,0.0,1587.0,7259.5,8018.5,0.0,264.0,0.0,89.0,1306.0,213.0,224.0,432.0,757.5,0.0,0.0,0.0,0.0,0.0,2018,1,01-01,Monday,5,2018-01-01
2018-01-01 06:00:00,4848.0,0.0,1673.5,7263.0,7697.5,0.0,275.5,0.0,89.0,1307.0,208.0,366.0,432.0,757.0,0.0,0.0,0.0,0.0,0.0,2018,1,01-01,Monday,6,2018-01-01
2018-01-01 07:00:00,5754.5,0.0,1633.5,7264.5,7230.0,0.0,435.0,0.0,89.0,815.0,208.0,0.0,432.0,756.5,0.0,0.0,0.0,0.0,0.0,2018,1,01-01,Monday,7,2018-01-01
2018-01-01 08:00:00,6922.5,0.0,1604.0,7266.0,6904.5,356.0,377.0,0.0,88.5,711.0,208.0,0.0,432.0,756.0,0.0,0.0,0.0,0.0,5.94,2018,1,01-01,Monday,8,2018-01-01
2018-01-01 09:00:00,8805.5,0.0,1595.0,7261.0,6351.0,512.0,508.5,0.0,89.0,1305.0,208.0,243.0,432.0,752.5,0.0,0.0,0.0,0.0,450.0,2018,1,01-01,Monday,9,2018-01-01
2018-01-01 10:00:00,10329.5,0.0,1673.5,7259.5,6005.5,532.0,623.0,0.0,89.0,1800.0,189.0,631.0,432.0,749.0,0.0,0.0,0.0,0.0,1368.0,2018,1,01-01,Monday,10,2018-01-01
