code,name,countryName,isEU,timeDiff,hasData
CTY|10YAL-KESH-----5!CTY|10YAL-KESH-----5,Albania (AL),Albania,,1,inactive
CTY|10Y1001A1001B004!CTY|10Y1001A1001B004,Armenia (AM),Armenia,,4,inactive
CTY|10YAT-APG------L!CTY|10YAT-APG------L,Austria (AT),Austria,1,1,
CTY|10Y1001A1001B05V!CTY|10Y1001A1001B05V,Azerbaijan (AZ),Azerbaijan,,4,inactive
CTY|BY!CTY|BY,Belarus (BY),Belarus,,3,inactive
CTY|10YBE----------2!CTY|10YBE----------2,Belgium (BE),Belgium,1,1,
CTY|10YBA-JPCC-----D!CTY|10YBA-JPCC-----D,Bosnia and Herz. (BA),Bosnia and Herz,,1,
CTY|10YCA-BULGARIA-R!CTY|10YCA-BULGARIA-R,Bulgaria (BG),Bulgaria,1,2,
CTY|10YHR-HEP------M!CTY|10YHR-HEP------M,Croatia (HR),Croatia,1,1,
CTY|10YCY-1001A0003J!CTY|10YCY-1001A0003J,Cyprus (CY),Cyprus,1,2,
CTY|10YCZ-CEPS-----N!CTY|10YCZ-CEPS-----N,Czech Republic (CZ),Czech Republic,1,1,
CTY|10Y1001A1001A65H!CTY|10Y1001A1001A65H,Denmark (DK),Denmark,1,1,
CTY|10Y1001A1001A39I!CTY|10Y1001A1001A39I,Estonia (EE),Estonia,1,2,
CTY|10YFI-1--------U!CTY|10YFI-1--------U,Finland (FI),Finland,1,2,
CTY|10YFR-RTE------C!CTY|10YFR-RTE------C,France (FR),France,1,1,
CTY|10Y1001A1001B012!CTY|10Y1001A1001B012,Georgia (GE),Georgia,,4,inactive
CTY|10Y1001A1001A83F!CTY|10Y1001A1001A83F,Germany (DE),Germany,1,1,
CTY|10YGR-HTSO-----Y!CTY|10YGR-HTSO-----Y,Greece (GR),Greece,1,2,
CTY|10YHU-MAVIR----U!CTY|10YHU-MAVIR----U,Hungary (HU),Hungary,1,1,
CTY|IS!CTY|IS,Iceland (IS),Iceland,,0,inactive
CTY|10YIE-1001A00010!CTY|10YIE-1001A00010,Ireland (IE),Ireland,1,0,
CTY|10YIT-GRTN-----B!CTY|10YIT-GRTN-----B,Italy (IT),Italy,1,1,
CTY|10Y1001C--00100H!CTY|10Y1001C--00100H,Kosovo (XK),Kosovo,,1,
CTY|10YLV-1001A00074!CTY|10YLV-1001A00074,Latvia (LV),Latvia,1,2,
CTY|10YLT-1001A0008Q!CTY|10YLT-1001A0008Q,Lithuania (LT),Lithuania,1,2,
CTY|10YLU-CEGEDEL-NQ!CTY|10YLU-CEGEDEL-NQ,Luxembourg (LU),Luxembourg,1,1,
CTY|10Y1001A1001A93C!CTY|10Y1001A1001A93C,Malta (MT),Malta,1,1,inactive
CTY|10Y1001A1001A990!CTY|10Y1001A1001A990,Moldova (MD),Moldova,,2,
CTY|10YCS-CG-TSO---S!CTY|10YCS-CG-TSO---S,Montenegro (ME),Montenegro,,1,
CTY|10YNL----------L!CTY|10YNL----------L,Netherlands (NL),Netherlands,1,1,
CTY|10YMK-MEPSO----8!CTY|10YMK-MEPSO----8,North Macedonia (MK),North Macedonia,,1,
CTY|10YNO-0--------C!CTY|10YNO-0--------C,Norway (NO),Norway,,1,
CTY|10YPL-AREA-----S!CTY|10YPL-AREA-----S,Poland (PL),Poland,1,1,
CTY|10YPT-REN------W!CTY|10YPT-REN------W,Portugal (PT),Portugal,1,0,
CTY|10YRO-TEL------P!CTY|10YRO-TEL------P,Romania (RO),Romania,1,2,
CTY|RU!CTY|RU,Russia (RU),Russia,,3,inactive
CTY|10YCS-SERBIATSOV!CTY|10YCS-SERBIATSOV,Serbia (RS),Serbia,,1,
CTY|10YSK-SEPS-----K!CTY|10YSK-SEPS-----K,Slovakia (SK),Slovakia,1,1,
CTY|10YSI-ELES-----O!CTY|10YSI-ELES-----O,Slovenia (SI),Slovenia,1,1,
CTY|10YES-REE------0!CTY|10YES-REE------0,Spain (ES),Spain,1,0,
CTY|10YSE-1--------K!CTY|10YSE-1--------K,Sweden (SE),Sweden,1,1,border
CTY|10YCH-SWISSGRIDZ!CTY|10YCH-SWISSGRIDZ,Switzerland (CH),Switzerland,,1,
CTY|10YTR-TEIAS----W!CTY|10YTR-TEIAS----W,Turkey (TR),Turkey,,3,inactive
CTY|10Y1001C--00003F!CTY|10Y1001C--00003F,Ukraine (UA),Ukraine,,2,
CTY|10Y1001A1001A92E!CTY|10Y1001A1001A92E,United Kingdom (UK),United Kingdom,1,0,
