date,year,month,month_date,coal,lignite,coal_lignite,gas_naptha_diesel,hydro,nuclear,res,total,unit,weekday,hour
2022-01-01,2022,1,01-01,2795.0,79.0,,62.0,247.0,135.0,377.0,3694.0,MU,Saturday,0
2022-01-02,2022,1,01-02,2686.0,78.0,,60.0,230.0,127.0,395.0,3576.0,MU,Sunday,0
2022-01-03,2022,1,01-03,2867.0,78.0,,60.0,267.0,123.0,367.0,3761.0,MU,Monday,0
2022-01-04,2022,1,01-04,2990.0,79.0,,56.0,260.0,123.0,331.0,3839.0,MU,Tuesday,0
2022-01-05,2022,1,01-05,2980.0,71.0,,59.0,264.0,124.0,278.0,3775.0,MU,Wednesday,0
2022-01-06,2022,1,01-06,2914.0,67.0,,57.0,267.0,111.0,282.0,3698.0,MU,Thursday,0
2022-01-07,2022,1,01-07,2921.0,67.0,,58.0,260.0,100.0,302.0,3709.0,MU,Friday,0
2022-01-08,2022,1,01-08,2775.0,66.0,,57.0,255.0,103.0,303.0,3558.0,MU,Saturday,0
2022-01-09,2022,1,01-09,2662.0,68.0,,57.0,238.0,119.0,314.0,3458.0,MU,Sunday,0
2022-01-10,2022,1,01-10,2761.0,70.0,,56.0,260.0,119.0,341.0,3606.0,MU,Monday,0
2022-01-11,2022,1,01-11,2768.0,69.0,,61.0,256.0,118.0,387.0,3659.0,MU,Tuesday,0
2022-01-12,2022,1,01-12,2794.0,72.0,,61.0,255.0,119.0,365.0,3665.0,MU,Wednesday,0
2022-01-13,2022,1,01-13,2794.0,69.0,,60.0,246.0,119.0,384.0,3673.0,MU,Thursday,0
2022-01-14,2022,1,01-14,2688.0,65.0,,62.0,241.0,119.0,392.0,3566.0,MU,Friday,0
