date,year,month,month_date,coal,lignite,coal_lignite,gas_naptha_diesel,hydro,nuclear,res,total,unit,weekday,hour
2021-01-01,2021,1,01-01,2729.0,68.0,,99.0,264.0,86.0,390.0,3635.0,MU,Friday,0
2021-01-02,2021,1,01-02,2720.0,64.0,,96.0,281.0,96.0,359.0,3617.0,MU,Saturday,0
2021-01-03,2021,1,01-03,2627.0,58.0,,93.0,256.0,108.0,327.0,3469.0,MU,Sunday,0
2021-01-04,2021,1,01-04,2667.0,62.0,,104.0,280.0,109.0,323.0,3544.0,MU,Monday,0
2021-01-05,2021,1,01-05,2672.0,67.0,,97.0,282.0,109.0,301.0,3528.0,MU,Tuesday,0
2021-01-06,2021,1,01-06,2711.0,69.0,,92.0,292.0,106.0,271.0,3541.0,MU,Wednesday,0
2021-01-07,2021,1,01-07,2698.0,58.0,,95.0,261.0,104.0,310.0,3526.0,MU,Thursday,0
2021-01-08,2021,1,01-08,3044.0,60.0,,102.0,256.0,116.0,336.0,3914.0,MU,Friday,0
2021-01-09,2021,1,01-09,2661.0,59.0,,90.0,253.0,104.0,339.0,3506.0,MU,Saturday,0
2021-01-10,2021,1,01-10,2628.0,58.0,,89.0,237.0,104.0,339.0,3455.0,MU,Sunday,0
2021-01-11,2021,1,01-11,2786.0,60.0,,92.0,253.0,104.0,325.0,3619.0,MU,Monday,0
2021-01-12,2021,1,01-12,2810.0,62.0,,88.0,253.0,104.0,362.0,3678.0,MU,Tuesday,0
2021-01-13,2021,1,01-13,2821.0,56.0,,93.0,266.0,104.0,335.0,3676.0,MU,Wednesday,0
2021-01-14,2021,1,01-14,2714.0,64.0,,87.0,258.0,104.0,307.0,3534.0,MU,Thursday,0
2021-01-15,2021,1,01-15,2712.0,64.0,,89.0,269.0,104.0,315.0,3552.0,MU,Friday,0
2021-01-16,2021,1,01-16,2778.0,65.0,,92.0,283.0,99.0,311.0,3628.0,MU,Saturday,0
2021-01-17,2021,1,01-17,2763.0,63.0,,95.0,258.0,99.0,334.0,3612.0,MU,Sunday,0
2021-01-18,2021,1,01-18,2838.0,62.0,,96.0,287.0,79.0,364.0,3727.0,MU,Monday,0
2021-01-19,2021,1,01-19,2968.0,55.0,,92.0,293.0,74.0,319.0,3802.0,MU,Tuesday,0
2021-01-20,2021,1,01-20,3018.0,71.0,,94.0,289.0,77.0,296.0,3844.0,MU,Wednesday,0
2021-01-21,2021,1,01-21,3050.0,72.0,,95.0,278.0,78.0,279.0,3852.0,MU,Thursday,0
2021-01-22,2021,1,01-22,3072.0,66.0,,95.0,292.0,79.0,302.0,3906.0,MU,Friday,0
2021-01-23,2021,1,01-23,3034.0,69.0,,97.0,282.0,88.0,313.0,3882.0,MU,Saturday,0
2021-01-24,2021,1,01-24,2922.0,64.0,,93.0,267.0,89.0,336.0,3771.0,MU,Sunday,0
2021-01-25,2021,1,01-25,2944.0,61.0,,96.0,265.0,88.0,363.0,3818.0,MU,Monday,0
2021-01-26,2021,1,01-26,2831.0,62.0,,92.0,255.0,89.0,349.0,3679.0,MU,Tuesday,0
2021-01-27,2021,1,01-27,2929.0,68.0,,96.0,273.0,88.0,353.0,3806.0,MU,Wednesday,0
2021-01-28,2021,1,01-28,2997.0,66.0,,96.0,267.0,84.0,363.0,3874.0,MU,Thursday,0
2021-01-29,2021,1,01-29,3044.0,69.0,,94.0,266.0,79.0,356.0,3908.0,MU,Friday,0
2021-01-30,2021,1,01-30,3053.0,68.0,,97.0,265.0,77.0,333.0,3894.0,MU,Saturday,0
2021-01-31,2021,1,01-31,2963.0,66.0,,96.0,248.0,77.0,328.0,3778.0,MU,Sunday,0
2021-02-01,2021,2,02-01,2996.0,66.0,,97.0,259.0,77.0,351.0,3846.0,MU,Monday,0
2021-02-02,2021,2,02-02,3031.0,71.0,,96.0,262.0,87.0,355.0,3901.0,MU,Tuesday,0
2021-02-03,2021,2,02-03,3105.0,76.0,,96.0,273.0,87.0,342.0,3979.0,MU,Wednesday,0
2021-02-04,2021,2,02-04,2934.0,76.0,,95.0,267.0,79.0,372.0,3824.0,MU,Thursday,0
2021-02-05,2021,2,02-05,2913.0,82.0,,98.0,273.0,81.0,380.0,3826.0,MU,Friday,0
2021-02-06,2021,2,02-06,2891.0,80.0,,98.0,276.0,80.0,402.0,3828.0,MU,Saturday,0
2021-02-07,2021,2,02-07,2820.0,78.0,,93.0,239.0,80.0,395.0,3706.0,MU,Sunday,0
2021-02-08,2021,2,02-08,2884.0,74.0,,98.0,280.0,83.0,397.0,3814.0,MU,Monday,0
2021-02-09,2021,2,02-09,2985.0,74.0,,100.0,284.0,81.0,344.0,3868.0,MU,Tuesday,0
2021-02-10,2021,2,02-10,3015.0,77.0,,101.0,277.0,81.0,324.0,3875.0,MU,Wednesday,0
2021-02-11,2021,2,02-11,2995.0,76.0,,108.0,272.0,81.0,325.0,3856.0,MU,Thursday,0
2021-02-12,2021,2,02-12,2997.0,72.0,,111.0,266.0,78.0,341.0,3866.0,MU,Friday,0
2021-02-13,2021,2,02-13,2994.0,74.0,,102.0,268.0,77.0,330.0,3844.0,MU,Saturday,0
2021-02-14,2021,2,02-14,2907.0,72.0,,109.0,255.0,78.0,312.0,3733.0,MU,Sunday,0
2021-02-15,2021,2,02-15,2978.0,76.0,,114.0,273.0,80.0,320.0,3841.0,MU,Monday,0
