date,year,month,month_date,coal,lignite,coal_lignite,gas_naptha_diesel,hydro,nuclear,res,total,unit,weekday,hour
2020-01-01,2020,1,01-01,2571.0,78.0,,106.0,280.0,110.0,320.0,3464.0,MU,Wednesday,0
2020-01-02,2020,1,01-02,2601.0,81.0,,104.0,298.0,110.0,287.0,3480.0,MU,Thursday,0
2020-01-03,2020,1,01-03,2627.0,86.0,,106.0,295.0,101.0,267.0,3481.0,MU,Friday,0
2020-01-04,2020,1,01-04,2680.0,81.0,,107.0,299.0,101.0,211.0,3479.0,MU,Saturday,0
2020-01-05,2020,1,01-05,2531.0,84.0,,96.0,273.0,97.0,282.0,3364.0,MU,Sunday,0
2020-01-06,2020,1,01-06,2593.0,78.0,,97.0,307.0,97.0,316.0,3487.0,MU,Monday,0
2020-01-07,2020,1,01-07,2663.0,76.0,,101.0,307.0,97.0,286.0,3531.0,MU,Tuesday,0
2020-01-08,2020,1,01-08,2651.0,77.0,,99.0,271.0,97.0,289.0,3484.0,MU,Wednesday,0
2020-01-09,2020,1,01-09,2601.0,75.0,,98.0,289.0,95.0,330.0,3487.0,MU,Thursday,0
2020-01-10,2020,1,01-10,2582.0,74.0,,105.0,274.0,95.0,409.0,3539.0,MU,Friday,0
2020-01-11,2020,1,01-11,2619.0,76.0,,107.0,273.0,98.0,355.0,3528.0,MU,Saturday,0
2020-01-12,2020,1,01-12,2607.0,74.0,,103.0,256.0,92.0,301.0,3433.0,MU,Sunday,0
2020-01-13,2020,1,01-13,2666.0,81.0,,99.0,297.0,92.0,272.0,3508.0,MU,Monday,0
2020-01-14,2020,1,01-14,2609.0,80.0,,96.0,305.0,98.0,272.0,3460.0,MU,Tuesday,0
2020-01-15,2020,1,01-15,2510.0,77.0,,94.0,269.0,108.0,328.0,3386.0,MU,Wednesday,0
2020-01-16,2020,1,01-16,2469.0,79.0,,95.0,276.0,92.0,321.0,3331.0,MU,Thursday,0
2020-01-17,2020,1,01-17,2568.0,83.0,,104.0,290.0,89.0,277.0,3412.0,MU,Friday,0
2020-01-18,2020,1,01-18,2591.0,81.0,,102.0,287.0,97.0,295.0,3453.0,MU,Saturday,0
2020-01-19,2020,1,01-19,2445.0,80.0,,97.0,269.0,92.0,334.0,3317.0,MU,Sunday,0
2020-01-20,2020,1,01-20,2605.0,86.0,,111.0,309.0,83.0,312.0,3505.0,MU,Monday,0
2020-01-21,2020,1,01-21,2656.0,84.0,,114.0,301.0,89.0,334.0,3578.0,MU,Tuesday,0
2020-01-22,2020,1,01-22,2570.0,80.0,,105.0,283.0,96.0,447.0,3581.0,MU,Wednesday,0
2020-01-23,2020,1,01-23,2595.0,86.0,,100.0,291.0,96.0,420.0,3588.0,MU,Thursday,0
2020-01-24,2020,1,01-24,2685.0,85.0,,103.0,306.0,97.0,348.0,3623.0,MU,Friday,0
2020-01-25,2020,1,01-25,2692.0,89.0,,111.0,314.0,97.0,277.0,3581.0,MU,Saturday,0
2020-01-26,2020,1,01-26,2569.0,85.0,,97.0,274.0,94.0,270.0,3389.0,MU,Sunday,0
2020-01-27,2020,1,01-27,2683.0,82.0,,103.0,295.0,96.0,305.0,3565.0,MU,Monday,0
2020-01-28,2020,1,01-28,2711.0,78.0,,104.0,298.0,97.0,312.0,3599.0,MU,Tuesday,0
2020-01-29,2020,1,01-29,2744.0,83.0,,100.0,307.0,97.0,266.0,3597.0,MU,Wednesday,0
2020-01-30,2020,1,01-30,2732.0,89.0,,105.0,312.0,97.0,289.0,3623.0,MU,Thursday,0
2020-01-31,2020,1,01-31,2744.0,91.0,,102.0,305.0,97.0,299.0,3638.0,MU,Friday,0
2020-02-01,2020,2,02-01,2663.0,92.0,,102.0,279.0,96.0,337.0,3571.0,MU,Saturday,0
2020-02-02,2020,2,02-02,2544.0,83.0,,102.0,260.0,97.0,378.0,3464.0,MU,Sunday,0
2020-02-03,2020,2,02-03,2654.0,85.0,,113.0,301.0,96.0,329.0,3577.0,MU,Monday,0
2020-02-04,2020,2,02-04,2757.0,81.0,,111.0,292.0,96.0,304.0,3642.0,MU,Tuesday,0
2020-02-05,2020,2,02-05,2767.0,78.0,,112.0,291.0,97.0,314.0,3660.0,MU,Wednesday,0
2020-02-06,2020,2,02-06,2797.0,80.0,,107.0,299.0,97.0,318.0,3698.0,MU,Thursday,0
2020-02-07,2020,2,02-07,2802.0,87.0,,114.0,298.0,91.0,311.0,3702.0,MU,Friday,0
