date,year,month,month_date,coal,lignite,coal_lignite,gas_naptha_diesel,hydro,nuclear,res,total,unit,weekday,hour
2019-01-01,2019,1,01-01,2581.0,90.0,,122.0,241.0,75.0,266.0,3376.0,MU,Tuesday,0
2019-01-02,2019,1,01-02,2611.0,94.0,,124.0,247.0,76.0,261.0,3413.0,MU,Wednesday,0
2019-01-03,2019,1,01-03,2642.0,99.0,,116.0,261.0,85.0,258.0,3461.0,MU,Thursday,0
2019-01-04,2019,1,01-04,2663.0,96.0,,130.0,242.0,87.0,267.0,3484.0,MU,Friday,0
2019-01-05,2019,1,01-05,2646.0,97.0,,123.0,238.0,87.0,262.0,3454.0,MU,Saturday,0
2019-01-06,2019,1,01-06,2513.0,92.0,,119.0,224.0,87.0,300.0,3336.0,MU,Sunday,0
2019-01-07,2019,1,01-07,2593.0,92.0,,117.0,251.0,87.0,300.0,3440.0,MU,Monday,0
2019-01-08,2019,1,01-08,2683.0,91.0,,129.0,242.0,87.0,261.0,3493.0,MU,Tuesday,0
2019-01-09,2019,1,01-09,2669.0,96.0,,130.0,249.0,86.0,256.0,3487.0,MU,Wednesday,0
2019-01-10,2019,1,01-10,2670.0,92.0,,142.0,257.0,87.0,260.0,3509.0,MU,Thursday,0
2019-01-11,2019,1,01-11,2714.0,99.0,,130.0,253.0,86.0,250.0,3532.0,MU,Friday,0
2019-01-12,2019,1,01-12,2698.0,99.0,,128.0,249.0,87.0,250.0,3511.0,MU,Saturday,0
2019-01-13,2019,1,01-13,2562.0,94.0,,122.0,218.0,87.0,289.0,3371.0,MU,Sunday,0
2019-01-14,2019,1,01-14,2496.0,87.0,,119.0,232.0,87.0,329.0,3348.0,MU,Monday,0
2019-01-15,2019,1,01-15,2567.0,80.0,,122.0,236.0,86.0,272.0,3363.0,MU,Tuesday,0
2019-01-16,2019,1,01-16,2626.0,88.0,,123.0,241.0,86.0,240.0,3403.0,MU,Wednesday,0
