coal,lignite,hydro,nuclear,gas_naptha_diesel,res,total,year,month,month_date,weekday,hour,date,unit
2729.0,68.0,264.0,86.0,99.0,390.0,3635.0,2021,1,01-01,Friday,0,2021-01-01,MU
2720.0,64.0,281.0,96.0,96.0,359.0,3617.0,2021,1,01-02,Saturday,0,2021-01-02,MU
2627.0,58.0,256.0,108.0,93.0,327.0,3469.0,2021,1,01-03,Sunday,0,2021-01-03,MU
2667.0,62.0,280.0,109.0,104.0,323.0,3544.0,2021,1,01-04,Monday,0,2021-01-04,MU
2672.0,67.0,282.0,109.0,97.0,301.0,3528.0,2021,1,01-05,Tuesday,0,2021-01-05,MU
2711.0,69.0,292.0,106.0,92.0,271.0,3541.0,2021,1,01-06,Wednesday,0,2021-01-06,MU
2698.0,58.0,261.0,104.0,95.0,310.0,3526.0,2021,1,01-07,Thursday,0,2021-01-07,MU
3044.0,60.0,256.0,116.0,102.0,336.0,3914.0,2021,1,01-08,Friday,0,2021-01-08,MU
2661.0,59.0,253.0,104.0,90.0,339.0,3506.0,2021,1,01-09,Saturday,0,2021-01-09,MU
2628.0,58.0,237.0,104.0,89.0,339.0,3455.0,2021,1,01-10,Sunday,0,2021-01-10,MU
2786.0,60.0,253.0,104.0,92.0,325.0,3619.0,2021,1,01-11,Monday,0,2021-01-11,MU
2810.0,62.0,253.0,104.0,88.0,362.0,3678.0,2021,1,01-12,Tuesday,0,2021-01-12,MU
2821.0,56.0,266.0,104.0,93.0,335.0,3676.0,2021,1,01-13,Wednesday,0,2021-01-13,MU
2714.0,64.0,258.0,104.0,87.0,307.0,3534.0,2021,1,01-14,Thursday,0,2021-01-14,MU
2712.0,64.0,269.0,104.0,89.0,315.0,3552.0,2021,1,01-15,Friday,0,2021-01-15,MU
2778.0,65.0,283.0,99.0,92.0,311.0,3628.0,2021,1,01-16,Saturday,0,2021-01-16,MU
2763.0,63.0,258.0,99.0,95.0,334.0,3612.0,2021,1,01-17,Sunday,0,2021-01-17,MU
2838.0,62.0,287.0,79.0,96.0,364.0,3727.0,2021,1,01-18,Monday,0,2021-01-18,MU
2968.0,55.0,293.0,74.0,92.0,319.0,3802.0,2021,1,01-19,Tuesday,0,2021-01-19,MU
3018.0,71.0,289.0,77.0,94.0,296.0,3844.0,2021,1,01-20,Wednesday,0,2021-01-20,MU
3050.0,72.0,278.0,78.0,95.0,279.0,3852.0,2021,1,01-21,Thursday,0,2021-01-21,MU
3072.0,66.0,292.0,79.0,95.0,302.0,3906.0,2021,1,01-22,Friday,0,2021-01-22,MU
3034.0,69.0,282.0,88.0,97.0,313.0,3882.0,2021,1,01-23,Saturday,0,2021-01-23,MU
2922.0,64.0,267.0,89.0,93.0,336.0,3771.0,2021,1,01-24,Sunday,0,2021-01-24,MU
2944.0,61.0,265.0,88.0,96.0,363.0,3818.0,2021,1,01-25,Monday,0,2021-01-25,MU
2831.0,62.0,255.0,89.0,92.0,349.0,3679.0,2021,1,01-26,Tuesday,0,2021-01-26,MU
2929.0,68.0,273.0,88.0,96.0,353.0,3806.0,2021,1,01-27,Wednesday,0,2021-01-27,MU
2997.0,66.0,267.0,84.0,96.0,363.0,3874.0,2021,1,01-28,Thursday,0,2021-01-28,MU
3044.0,69.0,266.0,79.0,94.0,356.0,3908.0,2021,1,01-29,Friday,0,2021-01-29,MU
3053.0,68.0,265.0,77.0,97.0,333.0,3894.0,2021,1,01-30,Saturday,0,2021-01-30,MU
2963.0,66.0,248.0,77.0,96.0,328.0,3778.0,2021,1,01-31,Sunday,0,2021-01-31,MU
2996.0,66.0,259.0,77.0,97.0,351.0,3846.0,2021,2,02-01,Monday,0,2021-02-01,MU
3031.0,71.0,262.0,87.0,96.0,355.0,3901.0,2021,2,02-02,Tuesday,0,2021-02-02,MU
3105.0,76.0,273.0,87.0,96.0,342.0,3979.0,2021,2,02-03,Wednesday,0,2021-02-03,MU
2934.0,76.0,267.0,79.0,95.0,372.0,3824.0,2021,2,02-04,Thursday,0,2021-02-04,MU
2913.0,82.0,273.0,81.0,98.0,380.0,3826.0,2021,2,02-05,Friday,0,2021-02-05,MU
2891.0,80.0,276.0,80.0,98.0,402.0,3828.0,2021,2,02-06,Saturday,0,2021-02-06,MU
2820.0,78.0,239.0,80.0,93.0,395.0,3706.0,2021,2,02-07,Sunday,0,2021-02-07,MU
2884.0,74.0,280.0,83.0,98.0,397.0,3814.0,2021,2,02-08,Monday,0,2021-02-08,MU
2985.0,74.0,284.0,81.0,100.0,344.0,3868.0,2021,2,02-09,Tuesday,0,2021-02-09,MU
3015.0,77.0,277.0,81.0,101.0,324.0,3875.0,2021,2,02-10,Wednesday,0,2021-02-10,MU
2995.0,76.0,272.0,81.0,108.0,325.0,3856.0,2021,2,02-11,Thursday,0,2021-02-11,MU
2997.0,72.0,266.0,78.0,111.0,341.0,3866.0,2021,2,02-12,Friday,0,2021-02-12,MU
2994.0,74.0,268.0,77.0,102.0,330.0,3844.0,2021,2,02-13,Saturday,0,2021-02-13,MU
2907.0,72.0,255.0,78.0,109.0,312.0,3733.0,2021,2,02-14,Sunday,0,2021-02-14,MU
2978.0,76.0,273.0,80.0,114.0,320.0,3841.0,2021,2,02-15,Monday,0,2021-02-15,MU
2980.0,78.0,266.0,80.0,121.0,313.0,3838.0,2021,2,02-16,Tuesday,0,2021-02-16,MU
2939.0,82.0,266.0,83.0,123.0,324.0,3816.0,2021,2,02-17,Wednesday,0,2021-02-17,MU
2892.0,77.0,263.0,86.0,120.0,363.0,3800.0,2021,2,02-18,Thursday,0,2021-02-18,MU
2832.0,75.0,259.0,90.0,117.0,363.0,3736.0,2021,2,02-19,Friday,0,2021-02-19,MU
2807.0,73.0,249.0,91.0,113.0,370.0,3704.0,2021,2,02-20,Saturday,0,2021-02-20,MU
2714.0,67.0,245.0,91.0,104.0,346.0,3567.0,2021,2,02-21,Sunday,0,2021-02-21,MU
2863.0,66.0,265.0,91.0,107.0,323.0,3716.0,2021,2,02-22,Monday,0,2021-02-22,MU
2932.0,69.0,286.0,91.0,108.0,341.0,3827.0,2021,2,02-23,Tuesday,0,2021-02-23,MU
2983.0,71.0,289.0,91.0,106.0,350.0,3890.0,2021,2,02-24,Wednesday,0,2021-02-24,MU
3006.0,74.0,312.0,91.0,120.0,332.0,3934.0,2021,2,02-25,Thursday,0,2021-02-25,MU
3018.0,73.0,304.0,91.0,122.0,374.0,3982.0,2021,2,02-26,Friday,0,2021-02-26,MU
3031.0,73.0,298.0,91.0,122.0,363.0,3978.0,2021,2,02-27,Saturday,0,2021-02-27,MU
2987.0,77.0,270.0,91.0,105.0,341.0,3871.0,2021,2,02-28,Sunday,0,2021-02-28,MU
3046.0,78.0,299.0,90.0,118.0,347.0,3978.0,2021,3,03-01,Monday,0,2021-03-01,MU
3105.0,73.0,302.0,91.0,112.0,355.0,4037.0,2021,3,03-02,Tuesday,0,2021-03-02,MU
3134.0,68.0,279.0,91.0,112.0,357.0,4041.0,2021,3,03-03,Wednesday,0,2021-03-03,MU
3119.0,71.0,275.0,91.0,127.0,377.0,4060.0,2021,3,03-04,Thursday,0,2021-03-04,MU
3171.0,77.0,290.0,90.0,133.0,352.0,4113.0,2021,3,03-05,Friday,0,2021-03-05,MU
3140.0,78.0,315.0,77.0,128.0,362.0,4102.0,2021,3,03-06,Saturday,0,2021-03-06,MU
3024.0,75.0,260.0,68.0,110.0,417.0,3953.0,2021,3,03-07,Sunday,0,2021-03-07,MU
3135.0,74.0,297.0,72.0,117.0,388.0,4082.0,2021,3,03-08,Monday,0,2021-03-08,MU
3229.0,74.0,305.0,86.0,117.0,368.0,4179.0,2021,3,03-09,Tuesday,0,2021-03-09,MU
3261.0,80.0,295.0,81.0,112.0,346.0,4176.0,2021,3,03-10,Wednesday,0,2021-03-10,MU
3233.0,80.0,286.0,84.0,125.0,358.0,4166.0,2021,3,03-11,Thursday,0,2021-03-11,MU
3100.0,79.0,265.0,85.0,129.0,359.0,4017.0,2021,3,03-12,Friday,0,2021-03-12,MU
3019.0,78.0,271.0,93.0,117.0,354.0,3933.0,2021,3,03-13,Saturday,0,2021-03-13,MU
3009.0,77.0,264.0,95.0,105.0,366.0,3916.0,2021,3,03-14,Sunday,0,2021-03-14,MU
3140.0,76.0,291.0,89.0,116.0,358.0,4070.0,2021,3,03-15,Monday,0,2021-03-15,MU
3188.0,74.0,326.0,88.0,117.0,342.0,4135.0,2021,3,03-16,Tuesday,0,2021-03-16,MU
3225.0,72.0,328.0,88.0,121.0,335.0,4168.0,2021,3,03-17,Wednesday,0,2021-03-17,MU
3268.0,71.0,304.0,86.0,114.0,332.0,4174.0,2021,3,03-18,Thursday,0,2021-03-18,MU
3255.0,73.0,294.0,83.0,118.0,319.0,4143.0,2021,3,03-19,Friday,0,2021-03-19,MU
3225.0,72.0,276.0,83.0,120.0,344.0,4120.0,2021,3,03-20,Saturday,0,2021-03-20,MU
3148.0,71.0,234.0,78.0,100.0,355.0,3986.0,2021,3,03-21,Sunday,0,2021-03-21,MU
3184.0,65.0,283.0,84.0,111.0,334.0,4061.0,2021,3,03-22,Monday,0,2021-03-22,MU
3105.0,61.0,287.0,86.0,122.0,358.0,4020.0,2021,3,03-23,Tuesday,0,2021-03-23,MU
3176.0,62.0,282.0,89.0,117.0,366.0,4091.0,2021,3,03-24,Wednesday,0,2021-03-24,MU
3222.0,67.0,294.0,96.0,111.0,349.0,4137.0,2021,3,03-25,Thursday,0,2021-03-25,MU
3201.0,70.0,300.0,98.0,128.0,358.0,4154.0,2021,3,03-26,Friday,0,2021-03-26,MU
3225.0,69.0,291.0,95.0,127.0,350.0,4157.0,2021,3,03-27,Saturday,0,2021-03-27,MU
3128.0,70.0,253.0,93.0,99.0,385.0,4029.0,2021,3,03-28,Sunday,0,2021-03-28,MU
2861.0,75.0,243.0,109.0,93.0,404.0,3785.0,2021,3,03-29,Monday,0,2021-03-29,MU
2955.0,75.0,262.0,93.0,100.0,436.0,3921.0,2021,3,03-30,Tuesday,0,2021-03-30,MU
3086.0,78.0,268.0,93.0,112.0,470.0,4107.0,2021,3,03-31,Wednesday,0,2021-03-31,MU
3090.0,75.0,300.0,89.0,105.0,424.0,4083.0,2021,4,04-01,Thursday,0,2021-04-01,MU
3140.0,73.0,307.0,90.0,115.0,414.0,4137.0,2021,4,04-02,Friday,0,2021-04-02,MU
3177.0,72.0,292.0,89.0,121.0,425.0,4176.0,2021,4,04-03,Saturday,0,2021-04-03,MU
3103.0,72.0,265.0,94.0,115.0,391.0,4040.0,2021,4,04-04,Sunday,0,2021-04-04,MU
3197.0,70.0,293.0,101.0,117.0,392.0,4170.0,2021,4,04-05,Monday,0,2021-04-05,MU
3182.0,69.0,302.0,101.0,125.0,380.0,4160.0,2021,4,04-06,Tuesday,0,2021-04-06,MU
3226.0,72.0,325.0,103.0,138.0,350.0,4215.0,2021,4,04-07,Wednesday,0,2021-04-07,MU
3277.0,75.0,310.0,99.0,149.0,343.0,4252.0,2021,4,04-08,Thursday,0,2021-04-08,MU
3256.0,73.0,289.0,108.0,133.0,352.0,4211.0,2021,4,04-09,Friday,0,2021-04-09,MU
3235.0,76.0,274.0,108.0,112.0,363.0,4168.0,2021,4,04-10,Saturday,0,2021-04-10,MU
3150.0,69.0,253.0,97.0,99.0,357.0,4025.0,2021,4,04-11,Sunday,0,2021-04-11,MU
3241.0,70.0,275.0,97.0,106.0,340.0,4129.0,2021,4,04-12,Monday,0,2021-04-12,MU
3293.0,68.0,251.0,97.0,107.0,321.0,4136.0,2021,4,04-13,Tuesday,0,2021-04-13,MU
3165.0,67.0,246.0,107.0,109.0,364.0,4057.0,2021,4,04-14,Wednesday,0,2021-04-14,MU
3151.0,68.0,249.0,107.0,103.0,356.0,4034.0,2021,4,04-15,Thursday,0,2021-04-15,MU
3162.0,68.0,252.0,107.0,99.0,367.0,4055.0,2021,4,04-16,Friday,0,2021-04-16,MU
3075.0,70.0,275.0,97.0,102.0,357.0,3975.0,2021,4,04-17,Saturday,0,2021-04-17,MU
3048.0,71.0,261.0,107.0,100.0,350.0,3937.0,2021,4,04-18,Sunday,0,2021-04-18,MU
3103.0,73.0,294.0,89.0,104.0,416.0,4080.0,2021,4,04-19,Monday,0,2021-04-19,MU
3154.0,72.0,277.0,84.0,113.0,401.0,4101.0,2021,4,04-20,Tuesday,0,2021-04-20,MU
3091.0,72.0,294.0,85.0,111.0,360.0,4013.0,2021,4,04-21,Wednesday,0,2021-04-21,MU
2989.0,69.0,293.0,90.0,103.0,385.0,3929.0,2021,4,04-22,Thursday,0,2021-04-22,MU
2944.0,70.0,309.0,91.0,97.0,413.0,3923.0,2021,4,04-23,Friday,0,2021-04-23,MU
2987.0,80.0,318.0,100.0,98.0,351.0,3935.0,2021,4,04-24,Saturday,0,2021-04-24,MU
2906.0,76.0,303.0,116.0,96.0,346.0,3843.0,2021,4,04-25,Sunday,0,2021-04-25,MU
3072.0,78.0,300.0,120.0,113.0,341.0,4024.0,2021,4,04-26,Monday,0,2021-04-26,MU
3102.0,77.0,306.0,122.0,120.0,348.0,4075.0,2021,4,04-27,Tuesday,0,2021-04-27,MU
3116.0,75.0,318.0,113.0,142.0,361.0,4125.0,2021,4,04-28,Wednesday,0,2021-04-28,MU
3117.0,73.0,334.0,109.0,136.0,357.0,4126.0,2021,4,04-29,Thursday,0,2021-04-29,MU
3089.0,82.0,323.0,109.0,134.0,335.0,4071.0,2021,4,04-30,Friday,0,2021-04-30,MU
2951.0,80.0,308.0,112.0,118.0,330.0,3899.0,2021,5,05-01,Saturday,0,2021-05-01,MU
2874.0,75.0,299.0,113.0,113.0,314.0,3788.0,2021,5,05-02,Sunday,0,2021-05-02,MU
2885.0,80.0,322.0,113.0,108.0,353.0,3861.0,2021,5,05-03,Monday,0,2021-05-03,MU
2900.0,78.0,348.0,117.0,111.0,343.0,3897.0,2021,5,05-04,Tuesday,0,2021-05-04,MU
2851.0,77.0,380.0,118.0,116.0,364.0,3907.0,2021,5,05-05,Wednesday,0,2021-05-05,MU
2803.0,76.0,414.0,118.0,116.0,355.0,3883.0,2021,5,05-06,Thursday,0,2021-05-06,MU
2781.0,79.0,391.0,118.0,117.0,328.0,3814.0,2021,5,05-07,Friday,0,2021-05-07,MU
2863.0,83.0,389.0,116.0,122.0,312.0,3884.0,2021,5,05-08,Saturday,0,2021-05-08,MU
2738.0,80.0,369.0,109.0,116.0,336.0,3748.0,2021,5,05-09,Sunday,0,2021-05-09,MU
2774.0,79.0,360.0,110.0,113.0,359.0,3795.0,2021,5,05-10,Monday,0,2021-05-10,MU
2702.0,75.0,362.0,111.0,110.0,417.0,3779.0,2021,5,05-11,Tuesday,0,2021-05-11,MU
2560.0,75.0,395.0,103.0,109.0,450.0,3692.0,2021,5,05-12,Wednesday,0,2021-05-12,MU
2415.0,71.0,433.0,103.0,106.0,467.0,3595.0,2021,5,05-13,Thursday,0,2021-05-13,MU
2592.0,71.0,417.0,104.0,106.0,403.0,3693.0,2021,5,05-14,Friday,0,2021-05-14,MU
2606.0,74.0,382.0,115.0,103.0,387.0,3666.0,2021,5,05-15,Saturday,0,2021-05-15,MU
2365.0,70.0,350.0,123.0,101.0,498.0,3506.0,2021,5,05-16,Sunday,0,2021-05-16,MU
2331.0,71.0,370.0,124.0,102.0,544.0,3542.0,2021,5,05-17,Monday,0,2021-05-17,MU
2252.0,66.0,375.0,125.0,89.0,469.0,3376.0,2021,5,05-18,Tuesday,0,2021-05-18,MU
2155.0,65.0,394.0,125.0,89.0,415.0,3243.0,2021,5,05-19,Wednesday,0,2021-05-19,MU
2129.0,68.0,430.0,125.0,81.0,430.0,3264.0,2021,5,05-20,Thursday,0,2021-05-20,MU
2167.0,70.0,450.0,128.0,76.0,471.0,3362.0,2021,5,05-21,Friday,0,2021-05-21,MU
