coal,hydro,nuclear,gas_naptha_diesel,res,total,date,year,month,month_date,weekday,unit
2648.0,280.0,110.0,106.0,320.0,3464.0,2020-01-01,2020,1,01-01,Wednesday,MU
2681.0,298.0,110.0,104.0,287.0,3480.0,2020-01-02,2020,1,01-02,Thursday,MU
2712.0,295.0,101.0,106.0,267.0,3481.0,2020-01-03,2020,1,01-03,Friday,MU
2761.0,299.0,101.0,107.0,211.0,3479.0,2020-01-04,2020,1,01-04,Saturday,MU
2616.0,273.0,97.0,96.0,282.0,3364.0,2020-01-05,2020,1,01-05,Sunday,MU
2670.0,307.0,97.0,97.0,316.0,3487.0,2020-01-06,2020,1,01-06,Monday,MU
2740.0,307.0,97.0,101.0,286.0,3531.0,2020-01-07,2020,1,01-07,Tuesday,MU
2728.0,271.0,97.0,99.0,289.0,3484.0,2020-01-08,2020,1,01-08,Wednesday,MU
2675.0,289.0,95.0,98.0,330.0,3487.0,2020-01-09,2020,1,01-09,Thursday,MU
2656.0,274.0,95.0,105.0,409.0,3539.0,2020-01-10,2020,1,01-10,Friday,MU
2695.0,273.0,98.0,107.0,355.0,3528.0,2020-01-11,2020,1,01-11,Saturday,MU
2681.0,256.0,92.0,103.0,301.0,3433.0,2020-01-12,2020,1,01-12,Sunday,MU
2748.0,297.0,92.0,99.0,272.0,3508.0,2020-01-13,2020,1,01-13,Monday,MU
2689.0,305.0,98.0,96.0,272.0,3460.0,2020-01-14,2020,1,01-14,Tuesday,MU
2587.0,269.0,108.0,94.0,328.0,3386.0,2020-01-15,2020,1,01-15,Wednesday,MU
2547.0,276.0,92.0,95.0,321.0,3331.0,2020-01-16,2020,1,01-16,Thursday,MU
2652.0,290.0,89.0,104.0,277.0,3412.0,2020-01-17,2020,1,01-17,Friday,MU
2672.0,287.0,97.0,102.0,295.0,3453.0,2020-01-18,2020,1,01-18,Saturday,MU
2525.0,269.0,92.0,97.0,334.0,3317.0,2020-01-19,2020,1,01-19,Sunday,MU
2690.0,309.0,83.0,111.0,312.0,3505.0,2020-01-20,2020,1,01-20,Monday,MU
2740.0,301.0,89.0,114.0,334.0,3578.0,2020-01-21,2020,1,01-21,Tuesday,MU
2650.0,283.0,96.0,105.0,447.0,3581.0,2020-01-22,2020,1,01-22,Wednesday,MU
2681.0,291.0,96.0,100.0,420.0,3588.0,2020-01-23,2020,1,01-23,Thursday,MU
2769.0,306.0,97.0,103.0,348.0,3623.0,2020-01-24,2020,1,01-24,Friday,MU
2782.0,314.0,97.0,111.0,277.0,3581.0,2020-01-25,2020,1,01-25,Saturday,MU
2654.0,274.0,94.0,97.0,270.0,3389.0,2020-01-26,2020,1,01-26,Sunday,MU
2766.0,295.0,96.0,103.0,305.0,3565.0,2020-01-27,2020,1,01-27,Monday,MU
2788.0,298.0,97.0,104.0,312.0,3599.0,2020-01-28,2020,1,01-28,Tuesday,MU
2827.0,307.0,97.0,100.0,266.0,3597.0,2020-01-29,2020,1,01-29,Wednesday,MU
2820.0,312.0,97.0,105.0,289.0,3623.0,2020-01-30,2020,1,01-30,Thursday,MU
2835.0,305.0,97.0,102.0,299.0,3638.0,2020-01-31,2020,1,01-31,Friday,MU
2757.0,279.0,96.0,102.0,337.0,3571.0,2020-02-01,2020,2,02-01,Saturday,MU
2627.0,260.0,97.0,102.0,378.0,3464.0,2020-02-02,2020,2,02-02,Sunday,MU
2738.0,301.0,96.0,113.0,329.0,3577.0,2020-02-03,2020,2,02-03,Monday,MU
2839.0,292.0,96.0,111.0,304.0,3642.0,2020-02-04,2020,2,02-04,Tuesday,MU
2846.0,291.0,97.0,112.0,314.0,3660.0,2020-02-05,2020,2,02-05,Wednesday,MU
2877.0,299.0,97.0,107.0,318.0,3698.0,2020-02-06,2020,2,02-06,Thursday,MU
2888.0,298.0,91.0,114.0,311.0,3702.0,2020-02-07,2020,2,02-07,Friday,MU
2813.0,286.0,88.0,112.0,351.0,3650.0,2020-02-08,2020,2,02-08,Saturday,MU
2695.0,264.0,84.0,108.0,348.0,3499.0,2020-02-09,2020,2,02-09,Sunday,MU
2773.0,269.0,89.0,115.0,365.0,3611.0,2020-02-10,2020,2,02-10,Monday,MU
2822.0,292.0,98.0,114.0,384.0,3710.0,2020-02-11,2020,2,02-11,Tuesday,MU
2854.0,301.0,84.0,115.0,376.0,3730.0,2020-02-12,2020,2,02-12,Wednesday,MU
2932.0,287.0,80.0,123.0,321.0,3743.0,2020-02-13,2020,2,02-13,Thursday,MU
2935.0,300.0,79.0,120.0,304.0,3738.0,2020-02-14,2020,2,02-14,Friday,MU
2956.0,298.0,81.0,124.0,276.0,3735.0,2020-02-15,2020,2,02-15,Saturday,MU
2837.0,265.0,93.0,116.0,330.0,3641.0,2020-02-16,2020,2,02-16,Sunday,MU
2888.0,296.0,94.0,126.0,362.0,3766.0,2020-02-17,2020,2,02-17,Monday,MU
2968.0,305.0,100.0,137.0,317.0,3827.0,2020-02-18,2020,2,02-18,Tuesday,MU
2961.0,314.0,99.0,129.0,326.0,3829.0,2020-02-19,2020,2,02-19,Wednesday,MU
2862.0,313.0,100.0,128.0,386.0,3789.0,2020-02-20,2020,2,02-20,Thursday,MU
2767.0,294.0,100.0,114.0,388.0,3663.0,2020-02-21,2020,2,02-21,Friday,MU
2768.0,288.0,101.0,113.0,400.0,3670.0,2020-02-22,2020,2,02-22,Saturday,MU
2706.0,286.0,101.0,107.0,366.0,3566.0,2020-02-23,2020,2,02-23,Sunday,MU
2834.0,322.0,100.0,122.0,318.0,3696.0,2020-02-24,2020,2,02-24,Monday,MU
2865.0,318.0,100.0,124.0,286.0,3693.0,2020-02-25,2020,2,02-25,Tuesday,MU
2876.0,315.0,100.0,126.0,302.0,3719.0,2020-02-26,2020,2,02-26,Wednesday,MU
2809.0,327.0,101.0,134.0,314.0,3685.0,2020-02-27,2020,2,02-27,Thursday,MU
2808.0,332.0,100.0,147.0,344.0,3731.0,2020-02-28,2020,2,02-28,Friday,MU
2776.0,326.0,100.0,138.0,326.0,3666.0,2020-02-29,2020,2,02-29,Saturday,MU
2593.0,269.0,100.0,138.0,326.0,3426.0,2020-03-01,2020,3,03-01,Sunday,MU
2798.0,306.0,104.0,139.0,291.0,3638.0,2020-03-02,2020,3,03-02,Monday,MU
2834.0,330.0,106.0,141.0,316.0,3727.0,2020-03-03,2020,3,03-03,Tuesday,MU
2758.0,317.0,105.0,136.0,351.0,3667.0,2020-03-04,2020,3,03-04,Wednesday,MU
2692.0,320.0,105.0,139.0,355.0,3611.0,2020-03-05,2020,3,03-05,Thursday,MU
2588.0,295.0,106.0,125.0,340.0,3454.0,2020-03-06,2020,3,03-06,Friday,MU
2708.0,291.0,105.0,118.0,266.0,3488.0,2020-03-07,2020,3,03-07,Saturday,MU
2620.0,287.0,106.0,123.0,292.0,3428.0,2020-03-08,2020,3,03-08,Sunday,MU
2602.0,294.0,105.0,127.0,322.0,3450.0,2020-03-09,2020,3,03-09,Monday,MU
2293.0,271.0,105.0,101.0,370.0,3140.0,2020-03-10,2020,3,03-10,Tuesday,MU
2416.0,299.0,105.0,94.0,365.0,3279.0,2020-03-11,2020,3,03-11,Wednesday,MU
2586.0,317.0,105.0,105.0,350.0,3463.0,2020-03-12,2020,3,03-12,Thursday,MU
2635.0,321.0,105.0,127.0,312.0,3500.0,2020-03-13,2020,3,03-13,Friday,MU
2600.0,310.0,110.0,141.0,335.0,3496.0,2020-03-14,2020,3,03-14,Saturday,MU
2484.0,287.0,118.0,135.0,367.0,3391.0,2020-03-15,2020,3,03-15,Sunday,MU
2587.0,332.0,121.0,146.0,377.0,3563.0,2020-03-16,2020,3,03-16,Monday,MU
2690.0,325.0,123.0,154.0,357.0,3649.0,2020-03-17,2020,3,03-17,Tuesday,MU
2758.0,315.0,126.0,154.0,321.0,3674.0,2020-03-18,2020,3,03-18,Wednesday,MU
2784.0,315.0,127.0,152.0,294.0,3672.0,2020-03-19,2020,3,03-19,Thursday,MU
2676.0,309.0,128.0,137.0,349.0,3599.0,2020-03-20,2020,3,03-20,Friday,MU
2625.0,303.0,129.0,159.0,325.0,3541.0,2020-03-21,2020,3,03-21,Saturday,MU
2287.0,265.0,127.0,131.0,276.0,3086.0,2020-03-22,2020,3,03-22,Sunday,MU
2386.0,291.0,122.0,118.0,270.0,3187.0,2020-03-23,2020,3,03-23,Monday,MU
2226.0,288.0,121.0,128.0,275.0,3038.0,2020-03-24,2020,3,03-24,Tuesday,MU
2022.0,272.0,121.0,132.0,280.0,2827.0,2020-03-25,2020,3,03-25,Wednesday,MU
1872.0,297.0,117.0,114.0,302.0,2702.0,2020-03-26,2020,3,03-26,Thursday,MU
1818.0,298.0,116.0,123.0,287.0,2642.0,2020-03-27,2020,3,03-27,Friday,MU
