date,year,month,month_date,coal,lignite,coal_lignite,gas_naptha_diesel,hydro,nuclear,res,total,unit,weekday,hour
2018-01-01,2018,1,01-01,2652.0,,2652.0,110.0,203.0,122.0,189.0,3276.0,MU,Monday,0
2018-01-02,2018,1,01-02,2604.0,,2604.0,114.0,209.0,124.0,178.0,3229.0,MU,Tuesday,0
2018-01-03,2018,1,01-03,2669.0,,2669.0,119.0,222.0,127.0,176.0,3313.0,MU,Wednesday,0
2018-01-05,2018,1,01-05,2731.0,,2731.0,119.0,230.0,127.0,169.0,3375.0,MU,Friday,0
2018-01-06,2018,1,01-06,2738.0,,2738.0,118.0,228.0,127.0,169.0,3382.0,MU,Saturday,0
2018-01-07,2018,1,01-07,2715.0,,2715.0,120.0,235.0,127.0,166.0,3363.0,MU,Sunday,0
2018-01-08,2018,1,01-08,2631.0,,2631.0,116.0,208.0,127.0,176.0,3260.0,MU,Monday,0
2018-01-09,2018,1,01-09,2703.0,,2703.0,116.0,217.0,124.0,200.0,3359.0,MU,Tuesday,0
2018-01-10,2018,1,01-10,2730.0,,2730.0,111.0,212.0,117.0,232.0,3401.0,MU,Wednesday,0
2018-01-11,2018,1,01-11,2742.0,,2742.0,116.0,211.0,117.0,221.0,3408.0,MU,Thursday,0
2018-01-12,2018,1,01-12,2749.0,,2749.0,116.0,240.0,117.0,199.0,3421.0,MU,Friday,0
2018-01-13,2018,1,01-13,2790.0,,2790.0,116.0,247.0,117.0,184.0,3452.0,MU,Saturday,0
2018-01-14,2018,1,01-14,2778.0,,2778.0,116.0,229.0,120.0,183.0,3425.0,MU,Sunday,0
2018-01-15,2018,1,01-15,2580.0,,2580.0,110.0,212.0,122.0,185.0,3209.0,MU,Monday,0
2018-01-16,2018,1,01-16,2623.0,,2623.0,110.0,231.0,119.0,197.0,3281.0,MU,Tuesday,0
2018-01-17,2018,1,01-17,2673.0,,2673.0,119.0,248.0,113.0,176.0,3327.0,MU,Wednesday,0
2018-01-18,2018,1,01-18,2755.0,,2755.0,125.0,235.0,113.0,181.0,3406.0,MU,Thursday,0
2018-01-19,2018,1,01-19,2726.0,,2726.0,120.0,232.0,114.0,202.0,3394.0,MU,Friday,0
2018-01-20,2018,1,01-20,2735.0,,2735.0,115.0,236.0,113.0,201.0,3400.0,MU,Saturday,0
2018-01-21,2018,1,01-21,2745.0,,2745.0,115.0,235.0,113.0,192.0,3399.0,MU,Sunday,0
2018-01-22,2018,1,01-22,2675.0,,2675.0,118.0,205.0,113.0,192.0,3300.0,MU,Monday,0
2018-01-23,2018,1,01-23,2723.0,,2723.0,115.0,235.0,113.0,193.0,3379.0,MU,Tuesday,0
2018-01-24,2018,1,01-24,2689.0,,2689.0,114.0,242.0,115.0,202.0,3360.0,MU,Wednesday,0
2018-01-25,2018,1,01-25,2686.0,,2686.0,113.0,231.0,116.0,174.0,3317.0,MU,Thursday,0
2018-01-26,2018,1,01-26,2753.0,,2753.0,110.0,223.0,117.0,168.0,3369.0,MU,Friday,0
2018-01-27,2018,1,01-27,2621.0,,2621.0,105.0,194.0,116.0,171.0,3209.0,MU,Saturday,0
2018-01-28,2018,1,01-28,2666.0,,2666.0,107.0,206.0,118.0,174.0,3271.0,MU,Sunday,0
2018-01-29,2018,1,01-29,2667.0,,2667.0,102.0,192.0,122.0,185.0,3267.0,MU,Monday,0
2018-01-30,2018,1,01-30,2719.0,,2719.0,100.0,207.0,125.0,192.0,3344.0,MU,Tuesday,0
2018-01-31,2018,1,01-31,2713.0,,2713.0,109.0,210.0,125.0,212.0,3369.0,MU,Wednesday,0
2018-02-01,2018,2,02-01,2728.0,,2728.0,111.0,210.0,122.0,214.0,3384.0,MU,Thursday,0
2018-02-02,2018,2,02-02,2722.0,,2722.0,123.0,195.0,122.0,214.0,3377.0,MU,Friday,0
2018-02-03,2018,2,02-03,2733.0,,2733.0,126.0,200.0,122.0,209.0,3389.0,MU,Saturday,0
2018-02-04,2018,2,02-04,2718.0,,2718.0,116.0,202.0,122.0,223.0,3380.0,MU,Sunday,0
2018-02-05,2018,2,02-05,2600.0,,2600.0,110.0,184.0,122.0,246.0,3262.0,MU,Monday,0
