coal,lignite,hydro,nuclear,gas_naptha_diesel,res,total,year,month,month_date,weekday,hour,date,unit
2581.0,90.0,241.0,75.0,122.0,266.0,3376.0,2019,1,01-01,Tuesday,0,2019-01-01,MU
2611.0,94.0,247.0,76.0,124.0,261.0,3413.0,2019,1,01-02,Wednesday,0,2019-01-02,MU
2642.0,99.0,261.0,85.0,116.0,258.0,3461.0,2019,1,01-03,Thursday,0,2019-01-03,MU
2663.0,96.0,242.0,87.0,130.0,267.0,3484.0,2019,1,01-04,Friday,0,2019-01-04,MU
2646.0,97.0,238.0,87.0,123.0,262.0,3454.0,2019,1,01-05,Saturday,0,2019-01-05,MU
2513.0,92.0,224.0,87.0,119.0,300.0,3336.0,2019,1,01-06,Sunday,0,2019-01-06,MU
2593.0,92.0,251.0,87.0,117.0,300.0,3440.0,2019,1,01-07,Monday,0,2019-01-07,MU
2683.0,91.0,242.0,87.0,129.0,261.0,3493.0,2019,1,01-08,Tuesday,0,2019-01-08,MU
2669.0,96.0,249.0,86.0,130.0,256.0,3487.0,2019,1,01-09,Wednesday,0,2019-01-09,MU
2670.0,92.0,257.0,87.0,142.0,260.0,3509.0,2019,1,01-10,Thursday,0,2019-01-10,MU
2714.0,99.0,253.0,86.0,130.0,250.0,3532.0,2019,1,01-11,Friday,0,2019-01-11,MU
2698.0,99.0,249.0,87.0,128.0,250.0,3511.0,2019,1,01-12,Saturday,0,2019-01-12,MU
2562.0,94.0,218.0,87.0,122.0,289.0,3371.0,2019,1,01-13,Sunday,0,2019-01-13,MU
2496.0,87.0,232.0,87.0,119.0,329.0,3348.0,2019,1,01-14,Monday,0,2019-01-14,MU
2567.0,80.0,236.0,86.0,122.0,272.0,3363.0,2019,1,01-15,Tuesday,0,2019-01-15,MU
2626.0,88.0,241.0,86.0,123.0,240.0,3403.0,2019,1,01-16,Wednesday,0,2019-01-16,MU
2637.0,91.0,245.0,87.0,123.0,258.0,3441.0,2019,1,01-17,Thursday,0,2019-01-17,MU
2679.0,98.0,249.0,87.0,124.0,262.0,3499.0,2019,1,01-18,Friday,0,2019-01-18,MU
2675.0,101.0,248.0,87.0,117.0,247.0,3475.0,2019,1,01-19,Saturday,0,2019-01-19,MU
2578.0,96.0,224.0,87.0,117.0,265.0,3366.0,2019,1,01-20,Sunday,0,2019-01-20,MU
2548.0,88.0,243.0,85.0,115.0,291.0,3370.0,2019,1,01-21,Monday,0,2019-01-21,MU
2539.0,89.0,261.0,83.0,116.0,238.0,3326.0,2019,1,01-22,Tuesday,0,2019-01-22,MU
2654.0,89.0,257.0,83.0,118.0,230.0,3430.0,2019,1,01-23,Wednesday,0,2019-01-23,MU
2614.0,85.0,243.0,83.0,108.0,283.0,3416.0,2019,1,01-24,Thursday,0,2019-01-24,MU
2564.0,84.0,247.0,82.0,114.0,251.0,3342.0,2019,1,01-25,Friday,0,2019-01-25,MU
2380.0,85.0,230.0,84.0,110.0,271.0,3160.0,2019,1,01-26,Saturday,0,2019-01-26,MU
2378.0,84.0,229.0,85.0,106.0,274.0,3156.0,2019,1,01-27,Sunday,0,2019-01-27,MU
2511.0,86.0,247.0,85.0,111.0,290.0,3330.0,2019,1,01-28,Monday,0,2019-01-28,MU
2581.0,82.0,245.0,85.0,107.0,283.0,3383.0,2019,1,01-29,Tuesday,0,2019-01-29,MU
2644.0,80.0,238.0,86.0,111.0,279.0,3437.0,2019,1,01-30,Wednesday,0,2019-01-30,MU
2634.0,77.0,239.0,87.0,106.0,282.0,3425.0,2019,1,01-31,Thursday,0,2019-01-31,MU
2586.0,71.0,254.0,86.0,102.0,321.0,3419.0,2019,2,02-01,Friday,0,2019-02-01,MU
2567.0,78.0,246.0,84.0,106.0,327.0,3409.0,2019,2,02-02,Saturday,0,2019-02-02,MU
2485.0,78.0,227.0,86.0,104.0,335.0,3315.0,2019,2,02-03,Sunday,0,2019-02-03,MU
2549.0,81.0,247.0,83.0,102.0,339.0,3401.0,2019,2,02-04,Monday,0,2019-02-04,MU
2683.0,82.0,251.0,90.0,101.0,288.0,3495.0,2019,2,02-05,Tuesday,0,2019-02-05,MU
2673.0,81.0,247.0,88.0,100.0,305.0,3495.0,2019,2,02-06,Wednesday,0,2019-02-06,MU
2560.0,82.0,223.0,81.0,99.0,318.0,3363.0,2019,2,02-07,Thursday,0,2019-02-07,MU
2603.0,86.0,248.0,76.0,98.0,260.0,3370.0,2019,2,02-08,Friday,0,2019-02-08,MU
2610.0,84.0,240.0,64.0,94.0,278.0,3369.0,2019,2,02-09,Saturday,0,2019-02-09,MU
2551.0,83.0,223.0,64.0,95.0,282.0,3298.0,2019,2,02-10,Sunday,0,2019-02-10,MU
2577.0,80.0,235.0,79.0,93.0,332.0,3396.0,2019,2,02-11,Monday,0,2019-02-11,MU
2607.0,82.0,224.0,86.0,98.0,365.0,3461.0,2019,2,02-12,Tuesday,0,2019-02-12,MU
2653.0,91.0,238.0,81.0,105.0,335.0,3503.0,2019,2,02-13,Wednesday,0,2019-02-13,MU
2646.0,95.0,246.0,80.0,108.0,299.0,3474.0,2019,2,02-14,Thursday,0,2019-02-14,MU
2599.0,97.0,272.0,76.0,109.0,269.0,3424.0,2019,2,02-15,Friday,0,2019-02-15,MU
2586.0,91.0,261.0,91.0,102.0,278.0,3409.0,2019,2,02-16,Saturday,0,2019-02-16,MU
2549.0,91.0,245.0,91.0,101.0,277.0,3354.0,2019,2,02-17,Sunday,0,2019-02-17,MU
2578.0,89.0,255.0,91.0,113.0,297.0,3423.0,2019,2,02-18,Monday,0,2019-02-18,MU
2694.0,91.0,275.0,91.0,113.0,256.0,3519.0,2019,2,02-19,Tuesday,0,2019-02-19,MU
2673.0,91.0,261.0,90.0,111.0,299.0,3525.0,2019,2,02-20,Wednesday,0,2019-02-20,MU
2674.0,90.0,288.0,90.0,106.0,307.0,3555.0,2019,2,02-21,Thursday,0,2019-02-21,MU
2664.0,89.0,309.0,93.0,111.0,317.0,3583.0,2019,2,02-22,Friday,0,2019-02-22,MU
2663.0,86.0,296.0,96.0,110.0,319.0,3570.0,2019,2,02-23,Saturday,0,2019-02-23,MU
2596.0,79.0,283.0,97.0,111.0,295.0,3462.0,2019,2,02-24,Sunday,0,2019-02-24,MU
2656.0,90.0,290.0,97.0,105.0,288.0,3526.0,2019,2,02-25,Monday,0,2019-02-25,MU
2669.0,80.0,282.0,98.0,107.0,308.0,3544.0,2019,2,02-26,Tuesday,0,2019-02-26,MU
2644.0,82.0,272.0,97.0,105.0,295.0,3495.0,2019,2,02-27,Wednesday,0,2019-02-27,MU
2634.0,81.0,276.0,93.0,104.0,307.0,3495.0,2019,2,02-28,Thursday,0,2019-02-28,MU
