coal,hydro,nuclear,gas_naptha_diesel,res,total,date,year,month,month_date,weekday,unit
2403.0,500.0,62.0,112.0,303.0,3380.0,2017-08-28,2017,8,08-28,Monday,MU
2272.0,513.0,65.0,115.0,339.0,3304.0,2017-08-29,2017,8,08-29,Tuesday,MU
2304.0,538.0,70.0,107.0,332.0,3351.0,2017-08-30,2017,8,08-30,Wednesday,MU
2387.0,532.0,79.0,111.0,257.0,3366.0,2017-08-31,2017,8,08-31,Thursday,MU
2333.0,542.0,80.0,107.0,219.0,3281.0,2017-09-01,2017,9,09-01,Friday,MU
2355.0,537.0,83.0,108.0,183.0,3266.0,2017-09-02,2017,9,09-02,Saturday,MU
2309.0,513.0,84.0,102.0,188.0,3196.0,2017-09-03,2017,9,09-03,Sunday,MU
2493.0,537.0,83.0,115.0,171.0,3399.0,2017-09-04,2017,9,09-04,Monday,MU
2551.0,527.0,84.0,116.0,193.0,3471.0,2017-09-05,2017,9,09-05,Tuesday,MU
2602.0,536.0,84.0,124.0,167.0,3513.0,2017-09-06,2017,9,09-06,Wednesday,MU
2655.0,538.0,84.0,120.0,139.0,3536.0,2017-09-07,2017,9,09-07,Thursday,MU
2650.0,529.0,84.0,141.0,133.0,3537.0,2017-09-08,2017,9,09-08,Friday,MU
2678.0,528.0,85.0,162.0,135.0,3588.0,2017-09-09,2017,9,09-09,Saturday,MU
2676.0,489.0,85.0,158.0,138.0,3546.0,2017-09-10,2017,9,09-10,Sunday,MU
2688.0,552.0,85.0,161.0,145.0,3631.0,2017-09-11,2017,9,09-11,Monday,MU
2695.0,562.0,84.0,173.0,135.0,3649.0,2017-09-12,2017,9,09-12,Tuesday,MU
2708.0,545.0,80.0,186.0,132.0,3651.0,2017-09-13,2017,9,09-13,Wednesday,MU
2686.0,515.0,75.0,182.0,172.0,3630.0,2017-09-14,2017,9,09-14,Thursday,MU
2707.0,504.0,72.0,178.0,176.0,3637.0,2017-09-15,2017,9,09-15,Friday,MU
2696.0,446.0,74.0,176.0,205.0,3597.0,2017-09-16,2017,9,09-16,Saturday,MU
2518.0,430.0,81.0,146.0,204.0,3379.0,2017-09-17,2017,9,09-17,Sunday,MU
2504.0,434.0,79.0,145.0,268.0,3430.0,2017-09-18,2017,9,09-18,Monday,MU
2506.0,441.0,77.0,154.0,333.0,3511.0,2017-09-19,2017,9,09-19,Tuesday,MU
2508.0,470.0,77.0,153.0,321.0,3529.0,2017-09-20,2017,9,09-20,Wednesday,MU
2561.0,492.0,77.0,135.0,291.0,3556.0,2017-09-21,2017,9,09-21,Thursday,MU
2503.0,490.0,77.0,123.0,273.0,3466.0,2017-09-22,2017,9,09-22,Friday,MU
2473.0,525.0,81.0,112.0,197.0,3388.0,2017-09-23,2017,9,09-23,Saturday,MU
2480.0,518.0,82.0,111.0,191.0,3382.0,2017-09-24,2017,9,09-24,Sunday,MU
2559.0,529.0,82.0,122.0,186.0,3478.0,2017-09-25,2017,9,09-25,Monday,MU
2627.0,502.0,79.0,142.0,176.0,3526.0,2017-09-26,2017,9,09-26,Tuesday,MU
2622.0,494.0,73.0,144.0,189.0,3522.0,2017-09-27,2017,9,09-27,Wednesday,MU
2579.0,483.0,70.0,162.0,208.0,3502.0,2017-09-28,2017,9,09-28,Thursday,MU
2500.0,476.0,78.0,142.0,205.0,3401.0,2017-09-29,2017,9,09-29,Friday,MU
2422.0,460.0,83.0,124.0,192.0,3281.0,2017-09-30,2017,9,09-30,Saturday,MU
2388.0,420.0,83.0,127.0,205.0,3223.0,2017-10-01,2017,10,10-01,Sunday,MU
2436.0,431.0,84.0,132.0,191.0,3274.0,2017-10-02,2017,10,10-02,Monday,MU
2539.0,471.0,86.0,150.0,177.0,3423.0,2017-10-03,2017,10,10-03,Tuesday,MU
2585.0,482.0,87.0,179.0,168.0,3501.0,2017-10-04,2017,10,10-04,Wednesday,MU
2662.0,457.0,90.0,178.0,148.0,3535.0,2017-10-05,2017,10,10-05,Thursday,MU
2651.0,430.0,89.0,172.0,178.0,3520.0,2017-10-06,2017,10,10-06,Friday,MU
2670.0,420.0,89.0,171.0,158.0,3508.0,2017-10-07,2017,10,10-07,Saturday,MU
2650.0,406.0,89.0,173.0,171.0,3489.0,2017-10-08,2017,10,10-08,Sunday,MU
2593.0,425.0,89.0,175.0,179.0,3461.0,2017-10-09,2017,10,10-09,Monday,MU
