datetime,ccgt,oil,coal,nuclear,wind,ps,npshyd,ocgt,other,intfr,intirl,intned,intew,biomass,intnem,intelec,intifa2,intnsl,solar,year,month,month_date,weekday,hour,date
2020-01-01 00:00:00,8166.0,0.0,670.0,6951.0,5023.5,0.0,670.5,3.0,126.5,1704.0,0.0,853.0,0.0,2355.5,854.0,0.0,0.0,0.0,0.0,2020,1,01-01,Wednesday,0,2020-01-01
2020-01-01 01:00:00,7768.0,0.0,670.0,6950.0,4927.5,0.0,626.5,3.0,122.0,1704.0,0.0,852.0,0.0,2349.5,854.0,0.0,0.0,0.0,0.0,2020,1,01-01,Wednesday,1,2020-01-01
2020-01-01 02:00:00,6930.5,0.0,669.5,6953.5,4661.0,0.0,547.0,3.5,121.0,1704.0,0.0,852.0,0.0,2353.5,854.0,0.0,0.0,0.0,0.0,2020,1,01-01,Wednesday,2,2020-01-01
2020-01-01 03:00:00,7169.0,0.0,670.0,6948.5,4410.5,0.0,478.0,3.5,122.0,1704.0,0.0,189.0,0.0,2349.5,854.0,0.0,0.0,0.0,0.0,2020,1,01-01,Wednesday,3,2020-01-01
2020-01-01 04:00:00,6805.5,0.0,670.5,6959.0,4671.5,0.0,439.0,3.0,123.0,1704.0,0.0,102.0,0.0,2343.0,0.0,0.0,0.0,0.0,0.0,2020,1,01-01,Wednesday,4,2020-01-01
2020-01-01 05:00:00,6182.0,0.0,670.0,6958.5,4913.5,0.0,477.0,3.0,123.5,1700.0,0.0,329.0,0.0,2362.0,183.0,0.0,0.0,0.0,0.0,2020,1,01-01,Wednesday,5,2020-01-01
2020-01-01 06:00:00,6398.5,0.0,669.5,6961.5,4840.5,0.0,489.5,3.5,124.5,1704.0,7.0,595.0,0.0,2257.5,829.0,0.0,0.0,0.0,0.0,2020,1,01-01,Wednesday,6,2020-01-01
2020-01-01 07:00:00,6707.0,0.0,670.0,6959.5,4509.5,0.0,534.5,4.0,125.5,1704.0,7.0,790.0,0.0,2339.5,854.0,0.0,0.0,0.0,0.0,2020,1,01-01,Wednesday,7,2020-01-01
2020-01-01 08:00:00,7079.5,0.0,989.5,6956.0,4308.0,0.0,709.5,3.5,123.5,1704.0,14.0,852.0,0.0,2324.5,854.0,0.0,0.0,0.0,0.0,2020,1,01-01,Wednesday,8,2020-01-01
2020-01-01 09:00:00,9110.0,0.0,1230.0,6957.0,3980.0,0.0,820.0,3.0,123.5,1704.0,31.0,854.0,68.0,2337.0,854.0,0.0,0.0,0.0,154.3423,2020,1,01-01,Wednesday,9,2020-01-01
2020-01-01 10:00:00,10298.0,0.0,1397.5,6958.0,4356.5,0.0,838.5,3.0,123.5,1802.0,70.0,903.0,53.0,2357.0,902.0,0.0,0.0,0.0,754.5165,2020,1,01-01,Wednesday,10,2020-01-01
2020-01-01 11:00:00,10961.5,0.0,1314.5,6951.5,4834.0,0.0,811.5,3.0,137.0,1959.0,73.0,979.0,128.0,2364.0,980.0,0.0,0.0,0.0,1077.855,2020,1,01-01,Wednesday,11,2020-01-01
2020-01-01 12:00:00,12397.0,0.0,1485.0,6953.5,4962.5,2.0,779.5,3.0,129.5,2000.0,10.0,1000.0,5.0,2365.0,1000.0,0.0,0.0,0.0,1072.385,2020,1,01-01,Wednesday,12,2020-01-01
2020-01-01 13:00:00,12395.0,0.0,1576.0,6964.5,5243.5,0.0,794.5,3.0,123.5,2000.0,59.0,1000.0,65.0,2359.5,1000.0,0.0,0.0,0.0,986.0295,2020,1,01-01,Wednesday,13,2020-01-01
