datetime,Coal,region,Wind,Hydro,Solar,Other,Nuclear,Natural gas
2020-12-01 00:00:00,9591,TEX,5300,26,235,28,5105,23004
2020-12-01 01:00:00,10893,TEX,6862,25,0,33,5105,23521
2020-12-01 02:00:00,10375,TEX,8779,103,0,33,5106,22996
2020-12-01 03:00:00,8961,TEX,11979,114,0,22,5107,21675
2020-12-01 04:00:00,7616,TEX,14685,89,0,16,5106,19924
2020-12-01 05:00:00,7255,TEX,16486,19,0,15,5105,17297
2020-12-01 06:00:00,7347,TEX,16681,0,0,16,5105,15526
2020-12-01 07:00:00,7764,TEX,16819,0,0,15,5108,14216
2020-12-01 08:00:00,7998,TEX,16849,0,0,16,5110,13726
2020-12-01 09:00:00,7998,TEX,16755,0,0,13,5111,14089
2020-12-01 10:00:00,8362,TEX,16834,0,0,12,5111,14321
2020-12-01 11:00:00,8793,TEX,16895,0,0,17,5111,15199
2020-12-01 12:00:00,9521,TEX,16915,0,0,15,5113,17028
2020-12-01 13:00:00,10350,TEX,16780,0,0,14,5114,19964
2020-12-01 14:00:00,11103,TEX,16779,0,92,14,5114,20494
2020-12-01 15:00:00,11001,TEX,15304,0,1559,15,5115,18748
2020-12-01 16:00:00,11062,TEX,12640,1,2718,27,5115,17494
2020-12-01 17:00:00,10399,TEX,12313,35,2689,18,5115,16051
2020-12-01 18:00:00,9593,TEX,12960,9,1874,17,5115,14901
2020-12-01 19:00:00,9367,TEX,13779,0,1669,15,5115,12648
2020-12-01 20:00:00,9006,TEX,14926,0,1103,17,5115,11325
2020-12-01 21:00:00,8511,TEX,15912,24,927,20,5115,10022
2020-12-01 22:00:00,8141,TEX,16315,25,862,20,5115,9610
2020-12-01 23:00:00,8343,TEX,16553,25,595,25,5114,10043
2020-12-02 00:00:00,9975,TEX,16527,25,122,22,5114,11288
2020-12-02 01:00:00,9948,TEX,18353,26,0,25,5114,11663
2020-12-02 02:00:00,9204,TEX,19642,73,0,19,5114,11070
2020-12-02 03:00:00,8812,TEX,20059,74,0,18,5114,10596
2020-12-02 04:00:00,7915,TEX,19843,91,0,13,5115,10266
2020-12-02 05:00:00,6805,TEX,19738,46,0,13,5114,9280
2020-12-02 06:00:00,6206,TEX,18875,19,0,12,5114,8495
2020-12-02 07:00:00,7094,TEX,17715,24,0,31,5114,7067
2020-12-02 08:00:00,7787,TEX,16720,0,0,25,5117,6570
2020-12-02 09:00:00,7722,TEX,16237,0,0,32,5118,6616
2020-12-02 10:00:00,7669,TEX,16328,0,0,27,5118,6605
2020-12-02 11:00:00,7777,TEX,16595,0,0,17,5119,7289
2020-12-02 12:00:00,8070,TEX,16328,0,0,18,5118,9404
2020-12-02 13:00:00,9841,TEX,15482,20,0,16,5119,11484
2020-12-02 14:00:00,10922,TEX,14901,25,36,18,5119,12186
2020-12-02 15:00:00,11060,TEX,14001,26,747,17,5119,12309
2020-12-02 16:00:00,10880,TEX,14594,26,815,17,5119,11663
2020-12-02 17:00:00,10625,TEX,14722,61,547,17,5119,11650
2020-12-02 18:00:00,10235,TEX,15025,46,606,15,5118,11198
2020-12-02 19:00:00,9562,TEX,15015,0,599,15,5118,11457
2020-12-02 20:00:00,9233,TEX,15167,3,548,21,5117,11201
2020-12-02 21:00:00,9211,TEX,15329,0,488,16,5116,10598
2020-12-02 22:00:00,8671,TEX,15662,0,423,14,5116,10566
2020-12-02 23:00:00,8352,TEX,16266,0,281,18,5116,10868
2020-12-03 00:00:00,9066,TEX,17087,0,118,30,5117,11909
2020-12-03 01:00:00,10099,TEX,17146,0,0,35,5116,12410
2020-12-03 02:00:00,9669,TEX,17789,45,0,30,5116,11916
2020-12-03 03:00:00,9176,TEX,18457,42,0,19,5117,11293
2020-12-03 04:00:00,8420,TEX,19188,21,0,16,5117,10448
2020-12-03 05:00:00,7395,TEX,19562,0,0,17,5117,9346
2020-12-03 06:00:00,6885,TEX,19333,0,0,20,5118,8377
2020-12-03 07:00:00,6780,TEX,18859,21,0,19,5118,7888
2020-12-03 08:00:00,7217,TEX,18494,1,0,18,5119,7518
2020-12-03 09:00:00,7198,TEX,18495,0,0,14,5119,7438
2020-12-03 10:00:00,7226,TEX,18486,0,0,16,5115,7755
2020-12-03 11:00:00,7503,TEX,18263,0,0,19,5115,9121
2020-12-03 12:00:00,7360,TEX,18638,0,0,20,5116,11620
2020-12-03 13:00:00,8860,TEX,18830,24,0,16,5116,13433
2020-12-03 14:00:00,9691,TEX,18008,26,26,21,5116,14770
2020-12-03 15:00:00,9541,TEX,17811,26,621,19,5117,14559
2020-12-03 16:00:00,8616,TEX,17277,61,1683,24,5116,14432
2020-12-03 17:00:00,8565,TEX,16046,61,2275,23,5116,14515
2020-12-03 18:00:00,9184,TEX,13316,44,2902,21,5118,15047
2020-12-03 19:00:00,9428,TEX,11589,0,2861,18,5118,15490
2020-12-03 20:00:00,9187,TEX,10330,0,2803,33,5117,16133
2020-12-03 21:00:00,8963,TEX,9381,0,2819,32,5115,16697
2020-12-03 22:00:00,8504,TEX,8732,0,2679,35,5117,17866
2020-12-03 23:00:00,9319,TEX,7448,0,1706,22,5119,19999
2020-12-04 00:00:00,10413,TEX,5424,0,187,37,5119,24677
2020-12-04 01:00:00,10633,TEX,4264,0,0,28,5119,26943
2020-12-04 02:00:00,10689,TEX,4200,42,0,27,5119,26581
2020-12-04 03:00:00,10752,TEX,4202,27,0,21,5119,26500
2020-12-04 04:00:00,10578,TEX,4113,18,0,16,5119,25612
2020-12-04 05:00:00,10247,TEX,4085,0,0,16,5120,24061
2020-12-04 06:00:00,9330,TEX,4521,0,0,16,5119,22646
2020-12-04 07:00:00,8545,TEX,4816,23,0,22,5120,22227
2020-12-04 08:00:00,8720,TEX,4609,1,0,23,5120,21747
2020-12-04 09:00:00,8466,TEX,4975,0,0,15,5121,21539
2020-12-04 10:00:00,8513,TEX,5363,0,0,8,5121,21769
2020-12-04 11:00:00,9299,TEX,5591,0,0,7,5120,22133
2020-12-04 12:00:00,10203,TEX,5635,0,0,8,5120,24111
2020-12-04 13:00:00,10552,TEX,6088,25,0,8,5120,26938
2020-12-04 14:00:00,10482,TEX,6358,25,63,11,5120,28132
2020-12-04 15:00:00,9847,TEX,5808,25,1575,6,5120,27014
2020-12-04 16:00:00,9794,TEX,3697,25,3340,11,5120,25437
2020-12-04 17:00:00,9448,TEX,2655,60,3460,17,5121,24930
2020-12-04 18:00:00,9004,TEX,2216,44,3357,9,5121,24213
2020-12-04 19:00:00,8395,TEX,1562,0,3288,7,5122,23657
2020-12-04 20:00:00,7841,TEX,1197,0,3314,5,5121,23157
2020-12-04 21:00:00,7278,TEX,846,0,3523,6,5120,22834
2020-12-04 22:00:00,7160,TEX,577,0,3464,6,5121,22709
2020-12-04 23:00:00,8112,TEX,462,0,2138,5,5121,23505
2020-12-05 00:00:00,9327,TEX,498,0,212,24,5121,26362
2020-12-05 01:00:00,10114,TEX,514,0,0,20,5121,27753
2020-12-05 02:00:00,10568,TEX,582,47,0,18,5121,27281
2020-12-05 03:00:00,10804,TEX,617,28,0,17,5120,27509
2020-12-05 04:00:00,10855,TEX,681,17,0,15,5120,27366
2020-12-05 05:00:00,10702,TEX,642,0,0,22,5120,26223
2020-12-05 06:00:00,10951,TEX,688,1,0,21,5120,24537
2020-12-05 07:00:00,10671,TEX,601,26,0,26,5120,24141
2020-12-05 08:00:00,10160,TEX,819,2,0,25,5121,24032
2020-12-05 09:00:00,9996,TEX,1092,2,0,24,5120,23841
2020-12-05 10:00:00,9969,TEX,1508,2,0,26,5121,23786
2020-12-05 11:00:00,10222,TEX,1893,2,0,29,5120,23728
2020-12-05 12:00:00,10392,TEX,2441,2,0,28,5121,24130
2020-12-05 13:00:00,10216,TEX,3166,24,0,28,5121,24760
2020-12-05 14:00:00,10790,TEX,3243,27,17,29,5121,25382
2020-12-05 15:00:00,11096,TEX,3117,27,239,28,5119,25467
2020-12-05 16:00:00,11172,TEX,2743,28,546,34,5120,25083
