M_DATE,P_AES,P_GES,P_TES,P_BS,P_REN
2015-01-01,1103136.63671875,588480.9875488288,3743894.8124999995,380264.60839843756,0.0
2015-01-02,1102742.203125,607982.7902832038,3745090.3218749994,379960.7880859375,0.0
2015-01-03,1122502.7890625,625413.0603027348,3689391.9585937513,380013.703125,0.0
2015-01-04,1137772.0,633609.2961425785,3721630.0921875006,384040.4873046875,0.0
2015-01-05,1130316.0,637005.6931152351,3669284.77734375,386848.27001953125,0.0
2015-01-06,1147522.0,646206.8732910164,3787977.993750002,384541.95556640625,0.0
2015-01-07,1142639.74609375,645845.563476563,3814868.872265624,385165.669921875,0.0
2015-01-08,1117685.0546875,638031.0026855472,3967978.2117187497,385545.44140625,0.0
2015-01-09,1118332.23046875,643982.8374023442,3967923.3257812494,383873.5078125,0.0
2015-01-10,1126928.0,652401.4621582042,3861329.9589843755,383209.427734375,0.0
2015-01-11,1153764.92578125,648510.2404785162,3776293.852734375,382511.8037109375,0.0
2015-01-12,1179548.78125,670262.6389160163,3790617.7921875003,397608.1083984375,0.0
2015-01-13,1193874.0,689466.1992187508,3795200.93671875,387143.49804687506,0.0
2015-01-14,1197522.0,685589.3120117193,3749016.617578125,380690.5588378906,0.0
2015-01-15,1219972.0,671709.9667968759,3697356.8003906244,376930.0390625,0.0
2015-01-16,1243152.0,671421.9267578127,3656713.7777343746,377303.73144531256,0.0
2015-01-17,1251552.0,636585.2277832039,3621829.3875,378044.66845703125,0.0
2015-01-18,1254685.23828125,636500.6528320317,3608714.3308593747,376683.81689453125,0.0
2015-01-19,1252342.0,685163.055175782,3721277.5101562496,380061.66015624994,0.0
2015-01-20,1253972.546875,679190.3652343756,3737550.380273438,382073.71582031256,0.0
2015-01-21,1255246.0,673565.1577148443,3873335.3718749997,377590.91894531256,0.0
2015-01-22,1255110.0,669423.5292968752,3920003.827734376,379945.10742187506,0.0
2015-01-23,1185972.0,675805.3125000007,4014826.646484375,385535.90136718756,0.0
2015-01-24,1201040.0546875,654115.0029296883,3930320.7597656255,390194.24121093756,0.0
2015-01-25,1204874.46484375,637061.2617187509,3922417.87734375,386710.45507812506,0.0
2015-01-26,1203665.7890625,681853.180664063,4027468.0359375,395088.04687500006,0.0
2015-01-27,1194067.26171875,681562.6193847664,4021164.4992187503,395797.77246093756,0.0
2015-01-28,1192116.0,666723.6865234384,3985792.6605468746,386213.33203125,0.0
2015-01-29,1195338.10546875,665192.3471679692,3958232.220703125,394364.38037109375,0.0
2015-01-30,1197372.0,669977.6010742194,3921364.8105468755,397626.0576171875,0.0
2015-01-31,1211459.71484375,639172.4758300788,3839094.5871093753,390052.0283203125,0.0
2015-02-01,1250290.0,635311.7907714848,3757200.8871093756,369566.70507812506,0.0
2015-02-02,1262574.0,684620.4052734382,3833824.91484375,365891.88964843756,0.0
2015-02-03,1265656.796875,680934.4790039067,3798696.902343751,361258.56542968756,0.0
2015-02-04,1242426.19921875,678228.6982421882,3850891.0453124996,365292.76562499994,0.0
2015-02-05,1218958.0,683559.5913085948,3860079.099609375,369517.93554687494,0.0
2015-02-06,1217860.0,687572.8254394536,3862818.984375001,371569.29687500006,0.0
2015-02-07,1217550.0,638842.7355957036,3863298.471679688,366722.33691406256,0.0
2015-02-08,1218366.0,639985.9792480475,3801151.8000000007,364741.44921875006,0.0
2015-02-09,1238308.0,694957.4040527348,3852841.3417968745,364924.22460937506,0.0
2015-02-10,1247118.6796875,687302.9318847663,3827068.6816406264,365354.8635253907,0.0
2015-02-11,1230096.0,680807.375488282,3789716.0730468747,370708.06225585943,0.0
2015-02-12,1216328.0,692863.191406251,3730033.4203125,365940.37597656244,0.0
2015-02-13,1227342.0,680019.696533204,3747018.9146484383,367754.990234375,0.0
2015-02-14,1228622.56640625,635583.7316894539,3679794.3638671883,368928.86621093744,0.0
2015-02-15,1223754.0,625649.471923829,3700568.554101563,368996.345703125,0.0
2015-02-16,1188016.44140625,697765.5053710942,3954167.03671875,368518.6689453125,0.0
2015-02-17,1147670.12109375,701732.1035156259,3987452.060156251,367572.67968750006,0.0
2015-02-18,1149538.0,694091.1916503916,3999907.0195312495,367800.1303710938,0.0
2015-02-19,1151560.0,679876.2104492197,4024916.152734375,369884.30078125,0.0
2015-02-20,1158574.19921875,699695.3898925786,3971219.825390624,373225.50585937506,0.0
2015-02-21,1157863.3046875,643803.154785157,3787661.953124999,371751.14062500006,0.0
2015-02-22,1201230.0,657220.0222167971,3618014.442187499,369638.34277343756,0.0
2015-02-23,1210728.3828125,636115.0070800792,3596437.9722656244,370267.31445312506,0.0
2015-02-24,1209956.19921875,690787.6667480476,3627867.897070312,373561.8984375,0.0
2015-02-25,1203194.0,673518.9792480476,3548013.136523437,370384.19140625006,0.0
2015-02-26,1201903.80859375,662482.6279296883,3585511.276171875,368886.25683593756,0.0
2015-02-27,1200505.04296875,667326.6635742194,3567176.425195313,370674.81738281244,0.0
2015-02-28,1200724.0,621423.0058593757,3486752.3021484385,366817.61523437494,0.0
2015-03-01,1216501.28125,633781.3916015631,3337951.331250002,377648.22656250006,0.0
2015-03-02,1236300.0,664322.2448730477,3473625.6087890626,377618.17285156256,0.0
2015-03-03,1238284.265625,660507.6525878914,3447411.7359375013,373553.32128906244,0.0
2015-03-04,1242434.0,659480.3378906259,3485110.4384765625,380571.7001953125,0.0
