datetime,ccgt,oil,coal,nuclear,wind,ps,npshyd,ocgt,other,intfr,intirl,intned,intew,biomass,intnem,intelec,intifa2,intnsl,solar,year,month,month_date,weekday,hour,date
2019-01-01 00:00:00,6072.5,0.0,0.0,6881.0,9266.5,12.0,396.5,0.0,63.5,1553.0,0.0,189.0,0.0,1046.0,0.0,0.0,0.0,0.0,0.0,2019,1,01-01,Tuesday,0,2019-01-01
2019-01-01 01:00:00,5369.5,0.0,0.0,6832.0,9245.5,0.0,370.0,0.0,63.5,1504.0,0.0,594.0,0.0,1024.0,0.0,0.0,0.0,0.0,0.0,2019,1,01-01,Tuesday,1,2019-01-01
2019-01-01 02:00:00,5038.5,0.0,0.0,6829.5,8939.0,0.0,348.0,0.0,63.0,1504.0,0.0,676.0,0.0,1017.5,0.0,0.0,0.0,0.0,0.0,2019,1,01-01,Tuesday,2,2019-01-01
2019-01-01 03:00:00,4938.5,0.0,0.0,6808.0,8713.5,0.0,339.5,0.0,64.5,1408.0,0.0,292.0,0.0,1013.0,0.0,0.0,0.0,0.0,0.0,2019,1,01-01,Tuesday,3,2019-01-01
2019-01-01 04:00:00,4912.5,0.0,0.0,6778.0,8452.0,0.0,403.0,0.0,65.0,963.0,0.0,326.0,0.0,1011.0,0.0,0.0,0.0,0.0,0.0,2019,1,01-01,Tuesday,4,2019-01-01
2019-01-01 05:00:00,5388.0,0.0,0.0,6754.5,8047.5,0.0,439.0,0.0,64.0,565.0,0.0,393.0,0.0,1034.5,0.0,0.0,0.0,0.0,0.0,2019,1,01-01,Tuesday,5,2019-01-01
2019-01-01 06:00:00,6282.5,0.0,0.0,6728.5,7736.5,0.0,442.5,0.0,64.0,513.0,0.0,428.0,0.0,1423.5,0.0,0.0,0.0,0.0,0.0,2019,1,01-01,Tuesday,6,2019-01-01
2019-01-01 07:00:00,6639.0,0.0,0.0,6703.5,7481.5,31.0,433.5,0.0,64.5,1647.0,0.0,0.0,0.0,1023.5,0.0,0.0,0.0,0.0,0.0,2019,1,01-01,Tuesday,7,2019-01-01
2019-01-01 08:00:00,7887.0,0.0,0.0,6675.5,6808.0,223.0,480.0,0.0,68.0,1651.0,0.0,175.0,0.0,1023.0,0.0,0.0,0.0,0.0,13.3,2019,1,01-01,Tuesday,8,2019-01-01
2019-01-01 09:00:00,10082.0,0.0,0.0,6651.5,5924.0,186.0,522.5,0.0,68.5,1750.0,0.0,765.0,0.0,1141.5,0.0,0.0,0.0,0.0,549.0,2019,1,01-01,Tuesday,9,2019-01-01
2019-01-01 10:00:00,11772.5,0.0,114.5,6615.5,5712.0,170.0,516.5,0.0,68.5,1848.0,0.0,865.0,0.0,1274.0,0.0,0.0,0.0,0.0,2127.0,2019,1,01-01,Tuesday,10,2019-01-01
2019-01-01 11:00:00,13126.0,0.0,308.0,6500.5,5558.0,145.0,501.0,0.0,65.5,1997.0,0.0,983.0,0.0,1291.5,0.0,0.0,0.0,0.0,3930.0,2019,1,01-01,Tuesday,11,2019-01-01
2019-01-01 12:00:00,14106.5,0.0,383.5,6463.0,5598.0,242.0,521.5,0.0,66.5,1998.0,0.0,1000.0,0.0,1185.0,0.0,0.0,0.0,0.0,4440.0,2019,1,01-01,Tuesday,12,2019-01-01
2019-01-01 13:00:00,15005.0,0.0,483.5,6429.5,5152.0,209.0,538.5,0.0,64.0,1998.0,0.0,1000.0,0.0,1116.5,0.0,0.0,0.0,0.0,3830.0,2019,1,01-01,Tuesday,13,2019-01-01
2019-01-01 14:00:00,15489.0,0.0,563.0,6431.0,5150.0,234.0,524.5,0.0,65.0,1998.0,0.0,1000.0,0.0,994.5,0.0,0.0,0.0,0.0,2330.0,2019,1,01-01,Tuesday,14,2019-01-01
2019-01-01 15:00:00,16031.0,0.0,982.5,6431.5,5197.0,187.0,538.5,0.0,66.0,1998.0,0.0,891.0,0.0,1345.5,0.0,0.0,0.0,0.0,965.0,2019,1,01-01,Tuesday,15,2019-01-01
2019-01-01 16:00:00,17824.0,0.0,2158.0,6423.5,4828.5,545.0,765.0,0.0,70.5,1998.0,0.0,828.0,0.0,1411.5,0.0,0.0,0.0,0.0,46.045,2019,1,01-01,Tuesday,16,2019-01-01
2019-01-01 17:00:00,18115.5,0.0,2628.5,6422.0,4751.5,1032.0,909.5,0.0,75.5,1998.0,0.0,1056.0,0.0,1380.0,0.0,0.0,0.0,0.0,0.0,2019,1,01-01,Tuesday,17,2019-01-01
2019-01-01 18:00:00,18078.5,0.0,2558.0,6424.5,4668.5,476.0,763.0,0.0,68.0,1998.0,0.0,1058.0,0.0,1437.5,0.0,0.0,0.0,0.0,0.0,2019,1,01-01,Tuesday,18,2019-01-01
2019-01-01 19:00:00,17623.5,0.0,1731.5,6425.0,4701.0,496.0,578.0,0.0,68.5,1998.0,0.0,1058.0,0.0,1446.5,0.0,0.0,0.0,0.0,0.0,2019,1,01-01,Tuesday,19,2019-01-01
2019-01-01 20:00:00,16879.0,0.0,1103.5,6417.5,4687.5,213.0,476.5,0.0,63.5,1998.0,0.0,1058.0,0.0,1375.0,0.0,0.0,0.0,0.0,0.0,2019,1,01-01,Tuesday,20,2019-01-01
2019-01-01 21:00:00,15519.5,0.0,766.5,6420.5,4677.0,203.0,459.5,0.0,65.5,1870.0,0.0,1001.0,0.0,1027.5,0.0,0.0,0.0,0.0,0.0,2019,1,01-01,Tuesday,21,2019-01-01
