datetime,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW],year,month,month_date,weekday,hour,date
2019-01-01 00:00:00,10.0,2719.0,,2.0,,,,,,0.0,,1234.0,0.0,,,33.957,,,,,,2019,1,01-01,Tuesday,0,2019-01-01
2019-01-01 01:00:00,15.0,2707.0,,2.0,,,,,,0.0,,938.0,0.0,,,33.946,,,,,,2019,1,01-01,Tuesday,1,2019-01-01
2019-01-01 02:00:00,15.0,2731.0,,2.0,,,,,,0.0,,861.0,0.0,,,33.935,,,,,,2019,1,01-01,Tuesday,2,2019-01-01
2019-01-01 03:00:00,15.0,2741.0,,2.0,,,,,,0.0,,731.0,0.0,,,33.925,,,,,,2019,1,01-01,Tuesday,3,2019-01-01
2019-01-01 04:00:00,15.0,2728.0,,2.0,,,,,,0.0,,760.0,0.0,,,33.914,,,,,,2019,1,01-01,Tuesday,4,2019-01-01
2019-01-01 05:00:00,15.0,2719.0,,2.0,,,,,,0.0,,798.0,0.0,,,33.903,,,,,,2019,1,01-01,Tuesday,5,2019-01-01
2019-01-01 06:00:00,15.0,2730.0,,2.0,,,,,,0.0,,708.0,0.0,,,33.892,,,,,,2019,1,01-01,Tuesday,6,2019-01-01
2019-01-01 07:00:00,15.0,2727.0,,2.0,,,,,,0.0,,776.0,0.0,,,33.882,,,,,,2019,1,01-01,Tuesday,7,2019-01-01
2019-01-01 08:00:00,15.0,2724.0,,2.0,,,,,,0.0,,718.0,0.0,,,33.871,,,,,,2019,1,01-01,Tuesday,8,2019-01-01
2019-01-01 09:00:00,15.0,2722.0,,2.0,,,,,,0.0,,777.0,0.0,,,33.86,,,,,,2019,1,01-01,Tuesday,9,2019-01-01
2019-01-01 10:00:00,15.0,2705.0,,2.0,,,,,,0.0,,883.0,0.0,,,33.849,,,,,,2019,1,01-01,Tuesday,10,2019-01-01
2019-01-01 11:00:00,15.0,2710.0,,2.0,,,,,,0.0,,1103.0,0.0,,,33.839,,,,,,2019,1,01-01,Tuesday,11,2019-01-01
2019-01-01 12:00:00,15.0,2653.0,,2.0,,,,,,0.0,,1180.0,0.0,,,33.828,,,,,,2019,1,01-01,Tuesday,12,2019-01-01
2019-01-01 13:00:00,15.0,2736.0,,2.0,,,,,,0.0,,1115.0,0.0,,,33.817,,,,,,2019,1,01-01,Tuesday,13,2019-01-01
2019-01-01 14:00:00,15.0,2748.0,,2.0,,,,,,0.0,,1165.0,0.0,,,33.806,,,,,,2019,1,01-01,Tuesday,14,2019-01-01
2019-01-01 15:00:00,15.0,2771.0,,2.0,,,,,,0.0,,1176.0,0.0,,,33.796,,,,,,2019,1,01-01,Tuesday,15,2019-01-01
2019-01-01 16:00:00,15.0,2756.0,,2.0,,,,,,0.0,,1135.0,0.0,,,33.785,,,,,,2019,1,01-01,Tuesday,16,2019-01-01
2019-01-01 17:00:00,15.0,2736.0,,2.0,,,,,,0.0,,1187.0,0.0,,,33.774,,,,,,2019,1,01-01,Tuesday,17,2019-01-01
2019-01-01 18:00:00,15.0,2712.0,,2.0,,,,,,0.0,,1128.0,0.0,,,33.763,,,,,,2019,1,01-01,Tuesday,18,2019-01-01
2019-01-01 19:00:00,15.0,2701.0,,2.0,,,,,,0.0,,1113.0,0.0,,,33.753,,,,,,2019,1,01-01,Tuesday,19,2019-01-01
2019-01-01 20:00:00,15.0,2698.0,,2.0,,,,,,0.0,,1142.0,0.0,,,33.742,,,,,,2019,1,01-01,Tuesday,20,2019-01-01
2019-01-01 21:00:00,15.0,2691.0,,2.0,,,,,,0.0,,940.0,20.0,,,33.731,,,,,,2019,1,01-01,Tuesday,21,2019-01-01
2019-01-01 22:00:00,15.0,2665.0,,2.0,,,,,,0.0,,935.0,23.0,,,33.72,,,,,,2019,1,01-01,Tuesday,22,2019-01-01
2019-01-01 23:00:00,15.0,2661.0,,2.0,,,,,,0.0,,1001.0,20.0,,,33.71,,,,,,2019,1,01-01,Tuesday,23,2019-01-01
2019-01-02 00:00:00,15.0,2722.0,,2.0,,,,,,0.0,,1049.0,5.0,,,33.699,,,,,,2019,1,01-02,Wednesday,0,2019-01-02
2019-01-02 01:00:00,15.0,2696.0,,2.0,,,,,,0.0,,1170.0,0.0,,,33.688,,,,,,2019,1,01-02,Wednesday,1,2019-01-02
