datetime,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW],year,month,month_date,weekday,hour,date
2019-01-01 00:00:00,1076.0,,,6251.0,63.5,0.0,,,,0.0,,423.5,,,6936.0,64.5,,0.0,,3159.5,6411.0,2019,1,01-01,Tuesday,0,2019-01-01
2019-01-01 01:00:00,1034.5,,,6125.5,63.0,0.0,,,,52.5,,383.0,,,6850.0,63.0,,0.0,,3297.5,6157.0,2019,1,01-01,Tuesday,1,2019-01-01
2019-01-01 02:00:00,1021.5,,,5168.5,64.5,0.0,,,,0.0,,363.5,,,6829.0,63.0,,0.0,,3168.5,5871.0,2019,1,01-01,Tuesday,2,2019-01-01
2019-01-01 03:00:00,1016.0,,,5347.0,65.0,0.0,,,,0.0,,333.5,,,6824.0,63.0,,0.0,,3101.0,5541.0,2019,1,01-01,Tuesday,3,2019-01-01
2019-01-01 04:00:00,1012.0,,,4934.5,66.0,0.0,,,,0.0,,360.5,,,6804.0,64.5,,0.0,,2923.5,5175.5,2019,1,01-01,Tuesday,4,2019-01-01
2019-01-01 05:00:00,1011.5,,,5016.5,65.5,0.0,,,,0.0,,415.5,,,6776.5,64.0,,0.0,,3010.0,4817.0,2019,1,01-01,Tuesday,5,2019-01-01
2019-01-01 06:00:00,1142.0,,,5709.0,65.0,0.0,,,,0.0,,447.0,,,6750.0,64.0,,0.0,,2961.5,4501.0,2019,1,01-01,Tuesday,6,2019-01-01
2019-01-01 07:00:00,1319.5,,,6601.5,65.0,0.0,,,,0.0,,449.0,,,6718.0,63.0,,0.0,,3006.0,4181.0,2019,1,01-01,Tuesday,7,2019-01-01
2019-01-01 08:00:00,1017.5,,,6828.5,65.0,0.0,,,,171.5,,443.5,,,6690.5,71.5,,2.5,,2860.0,3894.5,2019,1,01-01,Tuesday,8,2019-01-01
2019-01-01 09:00:00,1029.0,,,8516.0,65.0,0.0,,,,205.0,,502.5,,,6671.5,66.0,,231.5,,2618.5,3599.5,2019,1,01-01,Tuesday,9,2019-01-01
2019-01-01 10:00:00,1206.5,,,10812.5,54.5,0.0,,,,267.5,,515.5,,,6643.0,71.5,,899.0,,2274.0,3351.5,2019,1,01-01,Tuesday,10,2019-01-01
2019-01-01 11:00:00,1283.0,,,12274.5,311.0,0.0,,,,165.0,,514.5,,,6577.0,65.0,,1725.0,,2305.5,3279.5,2019,1,01-01,Tuesday,11,2019-01-01
2019-01-01 12:00:00,1336.0,,,13565.5,412.0,0.0,,,,163.0,,504.0,,,6492.5,65.0,,2045.0,,2377.0,3200.0,2019,1,01-01,Tuesday,12,2019-01-01
2019-01-01 13:00:00,1136.0,,,14689.5,550.0,0.0,,,,331.5,,531.0,,,6450.0,65.0,,1720.0,,2373.5,3001.5,2019,1,01-01,Tuesday,13,2019-01-01
2019-01-01 14:00:00,1121.5,,,15365.5,555.0,0.0,,,,165.5,,538.0,,,6430.5,65.5,,1053.0,,2214.0,3135.5,2019,1,01-01,Tuesday,14,2019-01-01
2019-01-01 15:00:00,968.5,,,15877.0,698.0,0.0,,,,325.0,,533.0,,,6428.0,69.0,,393.5,,2262.5,2920.0,2019,1,01-01,Tuesday,15,2019-01-01
2019-01-01 16:00:00,1407.5,,,16654.0,1315.0,0.0,,,,170.5,,554.0,,,6432.5,65.0,,24.0,,2354.5,2717.5,2019,1,01-01,Tuesday,16,2019-01-01
2019-01-01 17:00:00,1415.5,,,18293.5,2609.0,0.0,,,,727.5,,943.0,,,6424.0,76.5,,1.0,,2379.5,2458.5,2019,1,01-01,Tuesday,17,2019-01-01
