datetime,ccgt,oil,coal,nuclear,wind,ps,npshyd,ocgt,other,intfr,intirl,intned,intew,biomass,intnem,intelec,intifa2,intnsl,solar
2018/1/1 0:00,5550,0,1320.5,7266,8673,0,353,0,89,1406,203,710,432,752.5,0,0,0,0,0
2018/1/1 1:00,5620,0,1557,7260.5,8613,0,348,0,89,1405,211,724,432,755.5,0,0,0,0,0
2018/1/1 2:00,4918.5,0,1564.5,7255,8418.5,0,331.5,0,89,1306,212,675,432,753,0,0,0,0,0
2018/1/1 3:00,4133,0,1574.5,7256.5,8299,0,280,0,89,1305,213,677,432,757,0,0,0,0,0
2018/1/1 4:00,3505.5,0,1431.5,7256,8197.5,0,272,0,89,1306,214,461,432,756.5,0,0,0,0,0
2018/1/1 5:00,3702,0,1587,7259.5,8018.5,0,264,0,89,1306,213,224,432,757.5,0,0,0,0,0
2018/1/1 6:00,4848,0,1673.5,7263,7697.5,0,275.5,0,89,1307,208,366,432,757,0,0,0,0,0
2018/1/1 7:00,5754.5,0,1633.5,7264.5,7230,0,435,0,89,815,208,0,432,756.5,0,0,0,0,0
2018/1/1 8:00,6922.5,0,1604,7266,6904.5,356,377,0,88.5,711,208,0,432,756,0,0,0,0,5.94
2018/1/1 9:00,8805.5,0,1595,7261,6351,512,508.5,0,89,1305,208,243,432,752.5,0,0,0,0,450
2018/1/1 10:00,10329.5,0,1673.5,7259.5,6005.5,532,623,0,89,1800,189,631,432,749,0,0,0,0,1368
2018/1/1 11:00,12463.5,0,1692,7260.5,5640.5,386,613.5,0,89,1800,121,897,418,756,0,0,0,0,2204
2018/1/1 12:00,13931,0,1663.5,7259,5202.5,545,540.5,0,89,1800,88,903,275,756,0,0,0,0,3380
2018/1/1 13:00,14991,0,1578.5,7257.5,4541,672,544.5,0,89,1800,89,905,242,750,0,0,0,0,3530
2018/1/1 14:00,14772.5,0,1978,7259,4922,359,479.5,0,89,1799,62,890,242,745,0,0,0,0,2690
2018/1/1 15:00,14944,0,2098.5,7256,5395.5,469,506,0,89,1997,0,993,137,741,0,0,0,0,1180
2018/1/1 16:00,16465.5,0,2216,7261.5,6373.5,829,728.5,0,89,1996,0,994,129,753,0,0,0,0,75.9
2018/1/1 17:00,16962,0,2221.5,7256,7237,1066,710,0,89,1996,0,984,180,720,0,0,0,0,0
2018/1/1 18:00,16281,0,2089,7253,7413.5,425,711.5,0,89,1996,0,998,33,739,0,0,0,0,0
2018/1/1 19:00,14826,0,1737.5,7262.5,7656,288,604.5,0,89,1996,0,971,0,743.5,0,0,0,0,0
2018/1/1 20:00,12719.5,0,1285.5,7260,7873.5,324,496,0,89,1996,0,993,13,748.5,0,0,0,0,0
2018/1/1 21:00,10799,0,1274.5,7260.5,7855.5,345,401.5,0,89,1800,0,880,0,738,0,0,0,0,0
2018/1/1 22:00,8621.5,0,1176,7260.5,7922.5,188,313,0,89,1603,0,689,0,743.5,0,0,0,0,0
2018/1/1 23:00,7419,0,928.5,7259,7729.5,0,315,0,89,1602,0,705,12,745.5,0,0,0,0,0
2018/1/2 0:00,7586.5,0,937,7263.5,7284,0,312.5,0,89,1602,0,740,16,745,0,0,0,0,0
2018/1/2 1:00,7985.5,0,1158,7267,6763,0,311.5,0,90.5,1602,8,745,60,743.5,0,0,0,0,0
2018/1/2 2:00,8019,0,1275.5,7266.5,5977.5,0,279,0,91,1602,20,742,270,743,0,0,0,0,0
2018/1/2 3:00,8603.5,0,1294,7262.5,5211.5,0,256.5,0,90,1602,28,743,432,738,0,0,0,0,0
2018/1/2 4:00,9136.5,0,1318,7263,4514.5,0,250,0,90.5,1601,0,739,432,733.5,0,0,0,0,0
2018/1/2 5:00,9473.5,0,1416,7258.5,4355.5,0,246,0,91,1799,117,900,432,714,0,0,0,0,0
2018/1/2 6:00,11782.5,0,1647,7262,4712,76,245,0,91,1897,82,910,432,701.5,0,0,0,0,0
2018/1/2 7:00,15745.5,0,1914,7262,4974,307,256,0,91,1996,58,358,432,700,0,0,0,0,0
2018/1/2 8:00,17180,0,2317,7261,5593.5,389,382.5,0,91,1997,48,1004,405,691,0,0,0,0,1.17
2018/1/2 9:00,18889,0,2394.5,7260.5,6552,441,549,0,91,1998,0,1024,250,681,0,0,0,0,34.76
2018/1/2 10:00,20507.5,0,2181,7256,6488,611,513,0,91,1998,0,1012,35,680,0,0,0,0,235.9
2018/1/2 11:00,20560.5,0,2528.5,7264.5,6987.5,296,480,0,91,1998,0,992,0,679.5,0,0,0,0,528
2018/1/2 12:00,20086.5,0,2550,7262.5,7895,306,468.5,0,91,1996,0,990,0,680,0,0,0,0,805
2018/1/2 13:00,19453.5,0,2832.5,7260.5,8154,218,439,0,91,1996,0,972,24,681,0,0,0,0,938
2018/1/2 14:00,18658.5,0,2711.5,7258,8588.5,294,439.5,0,91,1996,0,973,57,680.5,0,0,0,0,657
2018/1/2 15:00,19202,0,2883.5,7257.5,8251,406,477,0,91,1996,0,1011,0,680.5,0,0,0,0,189.7
2018/1/2 16:00,21907.5,0,3421.5,7261.5,7006,520,714.5,0,91,1996,0,1005,0,680,0,0,0,0,3.5032
2018/1/2 17:00,22546,0,3691,7259,6909,1198,728.5,0,91,1996,0,1021,0,680.5,0,0,0,0,4.52E-05
2018/1/2 18:00,21941.5,0,3922.5,7264.5,6878,629,704.5,0,91,1996,0,969,0,680.5,0,0,0,0,0
2018/1/2 19:00,19720.5,0,3372.5,7265,7467.5,280,661,0,91,1996,0,963,54,680,0,0,0,0,0
2018/1/2 20:00,17281.5,0,2072.5,7266,7975.5,339,516,0,91,1996,0,994,66,680.5,0,0,0,0,0
