date,mw,region
2013-04-13 0:00,3833,ОЭС ВОСТОКА
2013-04-13 1:00,3915,ОЭС ВОСТОКА
2013-04-13 2:00,4056,ОЭС ВОСТОКА
2013-04-13 3:00,4269,ОЭС ВОСТОКА
2013-04-13 4:00,4402,ОЭС ВОСТОКА
2013-04-13 5:00,4356,ОЭС ВОСТОКА
2013-04-13 6:00,4236,ОЭС ВОСТОКА
2013-04-13 7:00,4173,ОЭС ВОСТОКА
2013-04-13 8:00,4142,ОЭС ВОСТОКА
2013-04-13 9:00,4152,ОЭС ВОСТОКА
2013-04-13 10:00,4266,ОЭС ВОСТОКА
2013-04-13 11:00,4302,ОЭС ВОСТОКА
2013-04-13 12:00,4325,ОЭС ВОСТОКА
2013-04-13 13:00,4301,ОЭС ВОСТОКА
2013-04-13 14:00,4371,ОЭС ВОСТОКА
2013-04-13 15:00,4586,ОЭС ВОСТОКА
2013-04-13 16:00,4460,ОЭС ВОСТОКА
2013-04-13 17:00,4221,ОЭС ВОСТОКА
2013-04-13 18:00,4153,ОЭС ВОСТОКА
2013-04-13 19:00,3967,ОЭС ВОСТОКА
2013-04-13 20:00,3874,ОЭС ВОСТОКА
2013-04-13 21:00,3897,ОЭС ВОСТОКА
2013-04-13 22:00,3681,ОЭС ВОСТОКА
2013-04-13 23:00,3815,ОЭС ВОСТОКА
