id,name,type,time_zone
CENT,Central,ER,Central
MIDW,Midwest,ER,Eastern
CAL,California,ER,Pacific
FLA,Florida,ER,Eastern
NW,Northwest,ER,Mountain
SW,Southwest,ER,Arizona
MIDA,Mid-Atlantic,ER,Eastern
CAR,Carolinas,ER,Eastern
SE,Southeast,ER,Central
NE,New England,ER,Eastern
NY,New York,ER,Eastern
TEN,Tennessee,ER,Central
TEX,Texas,ER,Central
