datetime,Wind,Hydro,Nuclear,Solar,Thermal,Thermal.Biomassa,Thermal.Carvão,Thermal.Carvão.mineral,Thermal.Gás,Thermal.Gás.natural,Thermal.Gás.Natural,Thermal.Óleo.Combustível,Thermal.Óleo.Diesel,Thermal.Petróleo,Thermal.Resíduos.Industriais,year,month,month_date,weekday,hour,date
2018-01-01 00:00:00,4.970411,35.998182,1.994696,0.0,10.059369,0.421511,1.618208,6.262714,0.107511,0.19118,0.04215,,0.122033,0.28515,1.008912,2018,1,01-01,Monday,0,2018-01-01
2018-01-01 01:00:00,5.002853,35.579952,1.994598,0.0,9.997329,0.424328,1.582031,6.256709,0.107467,0.16844,0.04215,,0.127254,0.2855,1.00345,2018,1,01-01,Monday,1,2018-01-01
2018-01-01 02:00:00,4.985455,35.148626,1.994474,0.0,9.930505,0.423313,1.517518,6.257053,0.107518,0.16847,0.04216,,0.129938,0.28563,0.998905,2018,1,01-01,Monday,2,2018-01-01
2018-01-01 03:00:00,4.729583,34.663264,1.99455,0.0,9.725549,0.421241,1.319645,6.252475,0.107454,0.16852,0.04215,,0.131679,0.28524,0.997145,2018,1,01-01,Monday,3,2018-01-01
2018-01-01 04:00:00,4.060582,34.629921,1.994478,0.0,9.640411,0.424043,1.21851,6.263459,0.107446,0.16855,0.04215,,0.129878,0.28569,1.000685,2018,1,01-01,Monday,4,2018-01-01
2018-01-01 05:00:00,3.706438,34.432978,1.996879,0.0,9.650375,0.428777,1.217134,6.273417,0.107557,0.16872,0.04211,,0.131476,0.28233,0.998854,2018,1,01-01,Monday,5,2018-01-01
2018-01-01 06:00:00,3.387115,33.567642,1.997011,0.005485,8.435167,0.427738,1.115281,5.288177,0.107477,0.03104,0.04216,,0.127666,0.28561,1.010018,2018,1,01-01,Monday,6,2018-01-01
2018-01-01 07:00:00,3.182967,32.283188,1.997172,0.144248,7.936584,0.427109,0.917363,5.011515,0.107493,2.7e-05,0.04214,,0.125324,0.28537,1.020243,2018,1,01-01,Monday,7,2018-01-01
2018-01-01 08:00:00,3.11403,33.06691,1.996822,0.300618,7.903408,0.424595,0.916989,4.996374,0.107475,0.0,0.04216,,0.123747,0.29118,1.000888,2018,1,01-01,Monday,8,2018-01-01
2018-01-01 09:00:00,2.895248,34.891154,1.995957,0.438115,7.901077,0.430016,0.918053,4.978326,0.107473,0.0,0.0421,,0.119802,0.29533,1.009977,2018,1,01-01,Monday,9,2018-01-01
2018-01-01 10:00:00,2.622923,36.839543,1.994586,0.566641,7.873144,0.42814,0.912705,4.95416,0.107476,0.0,0.04214,,0.117836,0.29435,1.016337,2018,1,01-01,Monday,10,2018-01-01
2018-01-01 11:00:00,2.452911,38.159462,1.994389,0.630201,7.858312,0.429371,0.917244,4.942682,0.107528,9.6e-05,0.0421,,0.119624,0.29476,1.004907,2018,1,01-01,Monday,11,2018-01-01
2018-01-01 12:00:00,2.54052,38.136671,1.994482,0.567807,7.826929,0.427298,0.915288,4.915575,0.107462,0.0,0.04139,,0.119847,0.29398,1.006089,2018,1,01-01,Monday,12,2018-01-01
2018-01-01 13:00:00,2.632007,37.396144,1.994313,0.55101,7.798005,0.426539,0.916731,4.903994,0.107369,0.0,0.04153,,0.118158,0.29495,0.988734,2018,1,01-01,Monday,13,2018-01-01
2018-01-01 14:00:00,2.730401,36.877159,1.994241,0.609789,7.771883,0.42704,0.91438,4.875922,0.106838,1.2e-05,0.04212,,0.120077,0.29311,0.992384,2018,1,01-01,Monday,14,2018-01-01
2018-01-01 15:00:00,3.039318,36.936736,1.994306,0.52202,7.779918,0.409878,0.928628,4.88755,0.106245,1e-06,0.04214,,0.118716,0.29422,0.99254,2018,1,01-01,Monday,15,2018-01-01
2018-01-01 16:00:00,3.518141,36.991272,1.994356,0.552808,7.82112,0.399929,0.983502,4.89255,0.106227,0.0,0.04208,,0.116055,0.29351,0.987267,2018,1,01-01,Monday,16,2018-01-01
2018-01-01 17:00:00,3.868757,37.642771,1.994164,0.271523,7.962703,0.379326,1.131308,4.898121,0.107529,0.0,0.04107,,0.116274,0.29356,0.995515,2018,1,01-01,Monday,17,2018-01-01
2018-01-01 18:00:00,4.074191,38.453215,1.99438,0.079877,8.091131,0.371669,1.254963,4.90656,0.107578,0.0,0.04112,,0.112771,0.28864,1.00783,2018,1,01-01,Monday,18,2018-01-01
2018-01-01 19:00:00,4.136486,42.07861,1.994187,0.004129,8.105078,0.389009,1.268519,4.924742,0.107528,0.0,0.04047,,0.109547,0.28369,0.981573,2018,1,01-01,Monday,19,2018-01-01
2018-01-01 20:00:00,4.417737,47.988118,1.992793,0.0,8.198862,0.396756,1.307363,4.943662,0.107462,3e-06,0.04165,,0.112541,0.28286,1.006565,2018,1,01-01,Monday,20,2018-01-01
2018-01-01 21:00:00,4.513345,48.789257,1.991825,0.0,8.234723,0.39643,1.322221,4.962283,0.107488,0.0,0.04215,,0.11516,0.28409,1.004901,2018,1,01-01,Monday,21,2018-01-01
2018-01-01 22:00:00,4.40383,48.45312,1.991835,0.0,8.289451,0.409148,1.332985,4.986262,0.107523,0.0,0.04215,,0.115767,0.28521,1.010406,2018,1,01-01,Monday,22,2018-01-01
2018-01-01 23:00:00,4.074052,46.676389,1.991999,0.0,8.209241,0.414578,1.230048,4.991987,0.107509,0.0,0.04145,,0.125768,0.28551,1.012391,2018,1,01-01,Monday,23,2018-01-01
2018-01-02 00:00:00,4.114257,43.90187,1.990977,0.0,8.146104,0.411269,1.102225,5.028511,0.107492,0.0,0.059085,,0.136111,0.28522,1.016191,2018,1,01-02,Tuesday,0,2018-01-02
2018-01-02 01:00:00,4.043203,41.313872,1.990531,0.0,8.278259,0.406311,1.180022,5.0836,0.107418,0.0,0.0597,,0.136443,0.28554,1.019225,2018,1,01-02,Tuesday,1,2018-01-02
2018-01-02 02:00:00,3.717125,39.647391,1.989912,0.0,8.527763,0.408338,1.29783,5.220822,0.107545,0.0,0.05965,,0.137641,0.28465,1.011287,2018,1,01-02,Tuesday,2,2018-01-02
2018-01-02 03:00:00,3.174688,39.092464,1.990204,0.0,8.596571,0.402922,1.351853,5.238568,0.107568,0.0,0.05996,,0.140629,0.2821,1.012971,2018,1,01-02,Tuesday,3,2018-01-02
2018-01-02 04:00:00,2.860697,39.071031,1.99028,0.0,8.623259,0.414985,1.364982,5.236312,0.107518,0.0,0.05981,,0.141766,0.28321,1.014676,2018,1,01-02,Tuesday,4,2018-01-02
2018-01-02 05:00:00,2.798303,39.810761,1.993015,0.0,8.635754,0.41948,1.360669,5.229709,0.107543,0.007333,0.0595,,0.144201,0.28416,1.023159,2018,1,01-02,Tuesday,5,2018-01-02
2018-01-02 06:00:00,2.699452,40.232927,1.994396,0.006569,8.676362,0.425037,1.3665,5.23249,0.107537,0.037109,0.06016,,0.142862,0.28448,1.020187,2018,1,01-02,Tuesday,6,2018-01-02
2018-01-02 07:00:00,2.598633,41.481861,1.994403,0.10582,9.060666,0.427781,1.605698,5.22044,0.107441,0.194107,0.06011,,0.143994,0.28461,1.016485,2018,1,01-02,Tuesday,7,2018-01-02
2018-01-02 08:00:00,2.770292,45.518812,1.994223,0.189076,9.432851,0.430682,1.716247,5.230751,0.107491,0.429275,0.0595,,0.148437,0.28981,1.020658,2018,1,01-02,Tuesday,8,2018-01-02
2018-01-02 09:00:00,2.628756,49.39191,1.994636,0.300936,9.852003,0.416226,1.715026,5.364532,0.107511,0.743113,0.06013,,0.148632,0.29199,1.004843,2018,1,01-02,Tuesday,9,2018-01-02
2018-01-02 10:00:00,2.239951,52.118599,1.994428,0.356822,9.988059,0.431984,1.716341,5.380078,0.10757,0.844603,0.0601,,0.149743,0.29241,1.00523,2018,1,01-02,Tuesday,10,2018-01-02
2018-01-02 11:00:00,2.073699,53.122542,1.994403,0.383742,10.134692,0.443082,1.711002,5.393061,0.107514,0.963407,0.06008,,0.146454,0.29317,1.016922,2018,1,01-02,Tuesday,11,2018-01-02
2018-01-02 12:00:00,2.200358,52.71913,1.994329,0.491692,10.141125,0.423357,1.696819,5.376515,0.107512,1.033974,0.05963,,0.144187,0.29491,1.004221,2018,1,01-02,Tuesday,12,2018-01-02
2018-01-02 13:00:00,2.438525,53.37623,1.994038,0.47725,10.152882,0.424778,1.713062,5.351545,0.107499,1.061959,0.05973,,0.140488,0.29336,1.000461,2018,1,01-02,Tuesday,13,2018-01-02
2018-01-02 14:00:00,2.566706,54.633132,1.994212,0.478465,10.177966,0.433001,1.710547,5.33249,0.107465,1.077571,0.0601,,0.14157,0.29341,1.021812,2018,1,01-02,Tuesday,14,2018-01-02
2018-01-02 15:00:00,2.489271,55.312498,1.99429,0.476614,10.157669,0.442278,1.709523,5.314856,0.107394,1.094046,0.06008,,0.142732,0.29368,0.99308,2018,1,01-02,Tuesday,15,2018-01-02
2018-01-02 16:00:00,2.522035,55.168151,1.99472,0.487099,10.053282,0.444196,1.711532,5.285244,0.107391,1.004169,0.05833,,0.142692,0.28773,1.011998,2018,1,01-02,Tuesday,16,2018-01-02
2018-01-02 17:00:00,2.498789,53.360352,1.994813,0.338096,10.018952,0.441352,1.709279,5.309798,0.107408,0.937354,0.06004,,0.139654,0.29166,1.022407,2018,1,01-02,Tuesday,17,2018-01-02
2018-01-02 18:00:00,2.624736,49.611877,1.994903,0.109847,10.003977,0.449813,1.691167,5.302649,0.107666,0.941681,0.06037,,0.135708,0.28642,1.028503,2018,1,01-02,Tuesday,18,2018-01-02
2018-01-02 19:00:00,2.636889,50.113344,1.992525,0.006002,10.091091,0.445312,1.693045,5.380767,0.107504,0.95827,0.06016,,0.133285,0.28484,1.027908,2018,1,01-02,Tuesday,19,2018-01-02
2018-01-02 20:00:00,2.508461,54.816328,1.990526,0.0,10.14015,0.438129,1.69801,5.424008,0.107495,0.97649,0.06026,,0.135095,0.28524,1.015423,2018,1,01-02,Tuesday,20,2018-01-02
2018-01-02 21:00:00,2.402976,55.720322,1.989015,0.0,10.134355,0.4367,1.707683,5.417233,0.107517,0.967624,0.0602,,0.136131,0.28522,1.016047,2018,1,01-02,Tuesday,21,2018-01-02
2018-01-02 22:00:00,2.185522,55.830267,1.988945,0.0,10.16309,0.442039,1.708419,5.430543,0.1075,0.984061,0.06019,,0.138174,0.2844,1.007764,2018,1,01-02,Tuesday,22,2018-01-02
2018-01-02 23:00:00,1.991642,53.325696,1.989416,0.0,10.145081,0.446562,1.707752,5.408328,0.107556,0.988427,0.06014,,0.13785,0.28481,1.003656,2018,1,01-02,Tuesday,23,2018-01-02
2018-01-03 00:00:00,1.797573,49.747499,1.982783,0.0,9.888553,0.433914,1.706217,5.244735,0.107563,0.966852,0.056007,,0.142063,0.20757,1.023632,2018,1,01-03,Wednesday,0,2018-01-03
2018-01-03 01:00:00,1.647158,46.820494,1.98244,0.0,9.839108,0.439311,1.707149,5.229746,0.107455,0.923266,0.056,,0.14466,0.20771,1.023811,2018,1,01-03,Wednesday,1,2018-01-03
2018-01-03 02:00:00,1.628179,44.816034,1.982378,0.0,9.826744,0.45622,1.69941,5.242174,0.107484,0.873269,0.056,,0.143993,0.20789,1.040304,2018,1,01-03,Wednesday,2,2018-01-03
2018-01-03 03:00:00,1.67766,43.676893,1.982713,0.0,9.793211,0.465686,1.700069,5.211437,0.107549,0.863944,0.056,,0.143052,0.20776,1.037714,2018,1,01-03,Wednesday,3,2018-01-03
2018-01-03 04:00:00,1.393602,43.541344,1.982747,0.0,9.769057,0.473375,1.697756,5.209156,0.107555,0.843707,0.056,,0.145455,0.2079,1.028153,2018,1,01-03,Wednesday,4,2018-01-03
2018-01-03 05:00:00,1.210329,44.31499,1.982751,0.0,9.780101,0.470628,1.701185,5.210952,0.107443,0.854358,0.056,,0.147173,0.208,1.024362,2018,1,01-03,Wednesday,5,2018-01-03
2018-01-03 06:00:00,1.172042,44.733224,1.982872,0.004457,9.827904,0.468165,1.703936,5.246253,0.107571,0.864744,0.056,,0.142231,0.20785,1.031154,2018,1,01-03,Wednesday,6,2018-01-03
2018-01-03 07:00:00,1.159956,46.37564,1.982905,0.081084,9.897742,0.44913,1.707577,5.310366,0.107543,0.870936,0.056,,0.138704,0.20749,1.049996,2018,1,01-03,Wednesday,7,2018-01-03
