datetime,Wind,Hydro,Nuclear,Solar,Thermal,Thermal:Biomassa,Thermal:Carvão,Thermal:Carvão mineral,Thermal:Gás,Thermal:Gás natural,Thermal:Gás Natural,Thermal:Óleo Combustível,Thermal:Óleo Diesel,Thermal:Petróleo,Thermal:Resíduos Industriais,year,month,month_date,weekday,hour,date
2022-01-01 00:00:00,5.698158,42.117878,1.99942,0.001018,7.656381,0.352717,0.927229,4.687847,,0.020096,0.264044,,,0.022961,0.775496,2022,1,01-01,Saturday,0,2022-01-01
2022-01-01 01:00:00,5.20158,42.760418,1.999226,0.001023,7.424373,0.36959,0.940729,4.420002,,0.013694,0.26404,,,0.023678,0.78414,2022,1,01-01,Saturday,1,2022-01-01
2022-01-01 02:00:00,5.292452,41.763159,1.999303,0.001035,7.410392,0.36935,0.944313,4.388997,,0.013721,0.263935,,,0.029561,0.786015,2022,1,01-01,Saturday,2,2022-01-01
2022-01-01 03:00:00,5.190483,40.770318,1.999185,0.001048,7.416383,0.35182,0.938957,4.406485,,0.013691,0.264095,,,0.033774,0.790061,2022,1,01-01,Saturday,3,2022-01-01
2022-01-01 04:00:00,5.029668,40.151421,1.999408,0.001045,7.435648,0.358019,0.940689,4.419133,,0.013686,0.263993,,,0.033763,0.789365,2022,1,01-01,Saturday,4,2022-01-01
2022-01-01 05:00:00,5.186246,37.842844,1.999609,0.02389,7.194367,0.359646,0.898111,4.231421,,0.01371,0.264095,,,0.033722,0.774662,2022,1,01-01,Saturday,5,2022-01-01
2022-01-01 06:00:00,5.015149,35.642603,2.000355,0.430983,6.858716,0.359106,0.886132,3.928479,,0.000342,0.26398,,,0.033661,0.773016,2022,1,01-01,Saturday,6,2022-01-01
2022-01-01 07:00:00,6.033386,33.250959,2.000305,1.365234,6.756602,0.344492,0.884246,3.854581,,0.0,0.264132,,,0.033458,0.764693,2022,1,01-01,Saturday,7,2022-01-01
2022-01-01 08:00:00,6.291651,31.606079,2.000355,2.347482,6.841421,0.360816,0.888039,3.84759,,0.0,0.264434,,,0.032406,0.841636,2022,1,01-01,Saturday,8,2022-01-01
2022-01-01 09:00:00,6.200869,31.722657,2.000308,2.77964,6.870353,0.388899,0.88557,3.843771,,0.0,0.236015,,,0.028675,0.885423,2022,1,01-01,Saturday,9,2022-01-01
2022-01-01 10:00:00,6.310146,32.455286,2.000307,2.911965,6.749485,0.382049,0.885165,3.846071,,0.0,0.163111,,,0.024443,0.850146,2022,1,01-01,Saturday,10,2022-01-01
2022-01-01 11:00:00,6.094182,33.747477,2.000355,2.87231,6.698631,0.3834,0.885907,3.838233,,0.0,0.162512,,,0.022078,0.812001,2022,1,01-01,Saturday,11,2022-01-01
2022-01-01 12:00:00,6.231782,33.930818,2.000393,2.770373,6.692933,0.387394,0.881419,3.836186,,0.0,0.14977,,,0.020626,0.825038,2022,1,01-01,Saturday,12,2022-01-01
2022-01-01 13:00:00,6.620371,33.321889,2.000362,2.775961,6.678523,0.395313,0.879236,3.847541,,0.0,0.111674,,,0.020424,0.834835,2022,1,01-01,Saturday,13,2022-01-01
2022-01-01 14:00:00,7.335186,33.26634,2.000499,2.537154,6.652392,0.386156,0.877159,3.847093,,0.0,0.111667,,,0.023344,0.818473,2022,1,01-01,Saturday,14,2022-01-01
2022-01-01 15:00:00,8.503646,33.788797,2.000393,1.92744,6.666623,0.390143,0.878842,3.85659,,0.0,0.113847,,,0.027753,0.806948,2022,1,01-01,Saturday,15,2022-01-01
2022-01-01 16:00:00,8.93258,35.926883,2.000475,1.270084,6.692545,0.37996,0.893818,3.853135,,0.0,0.129783,,,0.030511,0.814338,2022,1,01-01,Saturday,16,2022-01-01
2022-01-01 17:00:00,8.77169,39.476925,2.000577,0.510651,6.741877,0.381107,0.89187,3.865781,,0.0,0.14848,,,0.02741,0.835229,2022,1,01-01,Saturday,17,2022-01-01
2022-01-01 18:00:00,8.397035,44.949868,1.999842,0.066375,6.764761,0.386913,0.894545,3.86757,,0.0,0.16044,,,0.0255,0.837293,2022,1,01-01,Saturday,18,2022-01-01
2022-01-01 19:00:00,8.158409,50.358106,1.999323,0.001101,6.789527,0.376675,0.889852,3.870802,,0.0,0.163796,,,0.030114,0.865288,2022,1,01-01,Saturday,19,2022-01-01
2022-01-01 20:00:00,8.091519,52.152005,1.999564,0.001023,6.801973,0.371844,0.892931,3.871651,,0.0,0.164219,,,0.031481,0.869847,2022,1,01-01,Saturday,20,2022-01-01
2022-01-01 21:00:00,8.084646,51.414424,1.99938,0.001038,6.814162,0.377956,0.89566,3.877564,,0.0,0.163991,,,0.033407,0.860584,2022,1,01-01,Saturday,21,2022-01-01
2022-01-01 22:00:00,7.310382,51.129373,1.999466,0.001041,6.809803,0.380458,0.896071,3.878088,,0.0,0.16435,,,0.033479,0.850357,2022,1,01-01,Saturday,22,2022-01-01
2022-01-01 23:00:00,7.401303,48.88933,1.999431,0.001012,6.809563,0.378387,0.893275,3.873256,,0.0,0.164644,,,0.033468,0.860533,2022,1,01-01,Saturday,23,2022-01-01
2022-01-02 00:00:00,7.748563,45.557601,1.999029,0.001,6.85499,0.376835,0.894634,3.915857,,0.0,0.16492,,,0.03336,0.872882,2022,1,01-02,Sunday,0,2022-01-02
2022-01-02 01:00:00,7.613481,43.027066,1.999357,0.001002,6.889103,0.381027,0.892739,3.916834,,0.0,0.185086,,,0.033349,0.881068,2022,1,01-02,Sunday,1,2022-01-02
