"","X","Coal","Lignite","Hydro","Nuclear","Gas..Naptha...Diesel","RES..Wind..Solar..Biomass...Others.","Total"
"1","2018-12-30",2523,90,233,74,122,284,3326
"2","2018-12-31",2587,92,254,80,125,273,3411
"3","2019-01-01",2581,90,241,75,122,266,3376
"4","2019-01-02",2611,94,247,76,124,261,3413
"5","2019-01-03",2642,99,261,85,116,258,3461
"6","2019-01-04",2663,96,242,87,130,267,3484
"7","2019-01-05",2646,97,238,87,123,262,3454
"8","2019-01-06",2513,92,224,87,119,300,3336
"9","2019-01-07",2593,92,251,87,117,300,3440
"10","2019-01-08",2683,91,242,87,129,261,3493
"11","2019-01-09",2669,96,249,86,130,256,3487
"12","2019-01-10",2670,92,257,87,142,260,3509
"13","2019-01-11",2714,99,253,86,130,250,3532
"14","2019-01-12",2698,99,249,87,128,250,3511
"15","2019-01-13",2562,94,218,87,122,289,3371
"16","2019-01-14",2496,87,232,87,119,329,3348
"17","2019-01-15",2567,80,236,86,122,272,3363
"18","2019-01-16",2626,88,241,86,123,240,3403
"19","2019-01-17",2637,91,245,87,123,258,3441
"20","2019-01-18",2679,98,249,87,124,262,3499
"21","2019-01-19",2675,101,248,87,117,247,3475
"22","2019-01-20",2578,96,224,87,117,265,3366
"23","2019-01-21",2548,88,243,85,115,291,3370
"24","2019-01-22",2539,89,261,83,116,238,3326
"25","2019-01-23",2654,89,257,83,118,230,3430
"26","2019-01-24",2614,85,243,83,108,283,3416
"27","2019-01-25",2564,84,247,82,114,251,3342
"28","2019-01-26",2380,85,230,84,110,271,3160
"29","2019-01-26",2378,84,229,85,106,274,3156
"30","2019-01-28",2511,86,247,85,111,290,3330
"31","2019-01-29",2581,82,245,85,107,283,3383
"32","2019-01-30",2644,80,238,86,111,279,3437
"33","2019-01-31",2634,77,239,87,106,282,3425
"34","2019-02-01",2586,71,254,86,102,321,3419
"35","2019-02-02",2567,78,246,84,106,327,3409
"36","2019-02-03",2485,78,227,86,104,335,3315
"37","2019-02-04",2549,81,247,83,102,339,3401
"38","2019-02-05",2683,82,251,90,101,288,3495
"39","2019-02-06",2673,81,247,88,100,305,3495
"40","2019-02-07",2560,82,223,81,99,318,3363
"41","2019-02-08",2603,86,248,76,98,260,3370
"42","2019-02-09",2610,84,240,64,94,278,3369
"43","2019-02-10",2551,83,223,64,95,282,3298
"44","2019-02-11",2577,80,235,79,93,332,3396
"45","2019-02-12",2607,82,224,86,98,365,3461
"46","2019-02-13",2653,91,238,81,105,335,3503
"47","2019-02-14",2646,95,246,80,108,299,3474
"48","2019-02-15",2599,97,272,76,109,269,3424
"49","2019-02-16",2586,91,261,91,102,278,3409
"50","2019-02-17",2549,91,245,91,101,277,3354
"51","2019-02-18",2578,89,255,91,113,297,3423
"52","2019-02-19",2694,91,275,91,113,256,3519
"53","2019-02-20",2673,91,261,90,111,299,3525
"54","2019-02-21",2674,90,288,90,106,307,3555
"55","2019-02-22",2664,89,309,93,111,317,3583
"56","2019-02-23",2663,86,296,96,110,319,3570
"57","2019-02-24",2596,79,283,97,111,295,3462
"58","2019-02-25",2656,90,290,97,105,288,3526
"59","2019-02-26",2669,80,282,98,107,308,3544
"60","2019-02-27",2644,82,272,97,105,295,3495
"61","2019-02-28",2634,81,276,93,104,307,3495
"62","2019-03-01",2707,87,280,94,110,289,3566
"63","2019-03-02",2646,80,267,94,105,341,3533
"64","2019-03-03",2564,80,253,95,105,265,3362
"65","2019-03-04",2647,93,266,96,102,284,3488
"66","2019-03-05",2718,94,272,95,105,300,3584
"67","2019-03-06",2727,95,272,93,102,290,3580
"68","2019-03-07",2795,101,281,90,104,278,3651
"69","2019-03-08",2789,86,283,91,103,305,3657
"70","2019-03-09",2775,85,285,90,96,296,3628
"71","2019-03-10",2726,79,250,90,109,280,3536
"72","2019-03-11",2797,92,277,91,113,297,3668
"73","2019-03-12",2817,104,276,90,114,301,3702
"74","2019-03-13",2821,101,283,82,114,301,3702
"75","2019-03-14",2797,87,276,89,114,311,3675
"76","2019-03-15",2744,88,290,90,116,337,3666
"77","2019-03-16",2750,82,279,91,115,350,3667
"78","2019-03-17",2688,87,260,91,110,308,3544
"79","2019-03-18",2803,83,278,86,122,281,3653
"80","2019-03-19",2860,81,301,85,117,299,3742
"81","2019-03-20",2848,94,296,85,114,300,3738
"82","2019-03-21",2511,85,280,85,97,300,3358
"83","2019-03-22",2637,89,286,86,105,296,3499
"84","2019-03-23",2760,88,286,86,111,292,3622
"85","2019-03-24",2751,91,273,89,109,293,3605
"86","2019-03-25",2853,94,291,91,105,294,3728
"87","2019-03-26",2852,92,307,91,108,302,3752
"88","2019-03-27",2900,91,308,91,111,287,3787
"89","2019-03-28",2933,90,308,92,109,290,3822
"90","2019-03-29",2969,90,333,88,109,295,3885
"91","2019-03-30",3009,91,351,87,106,322,3967
"92","2019-03-31",2723,89,324,87,97,340,3660
"93","2019-04-01",2781,86,350,88,110,303,3718
"94","2019-04-02",2895,88,352,88,126,283,3832
"95","2019-04-03",2935,96,366,89,125,291,3900
"96","2019-04-04",2977,99,342,88,124,304,3933
"97","2019-04-05",2910,93,339,88,123,333,3886
"98","2019-04-06",2854,92,338,87,114,330,3815
"99","2019-04-07",2628,84,327,87,113,330,3569
"100","2019-04-08",2868,87,346,87,125,330,3844
"101","2019-04-09",2825,93,342,86,129,350,3826
"102","2019-04-10",2848,101,370,86,134,316,3854
"103","2019-04-11",2808,99,427,87,131,334,3884
"104","2019-04-12",2901,96,388,82,141,310,3919
"105","2019-04-13",2880,94,375,85,134,326,3894
"106","2019-04-14",2791,93,362,87,124,305,3763
"107","2019-04-15",2836,92,363,93,132,355,3871
"108","2019-04-16",2657,83,377,92,135,321,3666
"109","2019-04-17",2512,85,384,95,115,300,3490
"110","2019-04-18",2588,81,356,96,113,297,3531
"111","2019-04-19",2650,81,338,96,117,304,3585
"112","2019-04-20",2702,86,348,96,115,304,3651
"113","2019-04-21",2617,83,336,94,121,309,3560
"114","2019-04-22",2770,81,372,92,123,319,3758
"115","2019-04-23",2793,77,396,91,124,326,3807
"116","2019-04-24",2855,85,422,91,124,328,3905
"117","2019-04-25",2963,90,454,92,124,310,4033
"118","2019-04-26",2960,89,466,91,130,309,4045
"119","2019-04-27",2959,87,462,93,123,310,4034
"120","2019-04-28",2842,80,443,94,113,309,3881
"121","2019-04-29",2921,81,447,95,127,358,4028
"122","2019-04-30",2824,73,443,95,123,456,4014
"123","2019-05-01",2623,71,445,95,120,434,3788
"124","2019-05-02",2619,71,474,95,134,467,3859
"125","2019-05-03",2537,77,451,95,130,475,3765
"126","2019-05-04",2577,74,472,95,124,444,3787
"127","2019-05-05",2627,76,469,96,114,346,3728
"128","2019-05-06",2794,78,492,95,123,368,3950
"129","2019-05-07",2792,73,453,95,130,477,4019
"130","2019-05-08",2810,71,449,95,132,508,4065
"131","2019-05-09",2851,74,489,95,129,468,4107
"132","2019-05-10",2902,83,519,95,129,388,4116
"133","2019-05-11",2858,84,509,95,135,380,4061
"134","2019-05-12",2774,83,474,95,133,338,3897
"135","2019-05-13",2801,79,451,95,140,399,3964
"136","2019-05-14",2749,72,459,95,131,444,3951
"137","2019-05-15",2821,82,454,92,122,393,3964
"138","2019-05-16",2883,83,436,91,121,352,3967
"139","2019-05-17",2835,78,454,94,122,360,3942
"140","2019-05-18",2767,74,479,104,117,338,3880
"141","2019-05-19",2770,79,469,111,121,324,3874
"142","2019-05-20",2908,91,514,113,141,307,4075
"143","2019-05-21",3004,91,499,115,141,322,4171
"144","2019-05-22",3003,86,477,114,136,332,4148
"145","2019-05-23",2971,90,509,115,141,362,4188
"146","2019-05-24",2860,87,479,116,130,367,4038
"147","2019-05-25",2851,89,450,116,130,368,4003
"148","2019-05-26",2768,78,431,117,121,412,3926
"149","2019-05-27",2942,80,463,116,130,374,4107
"150","2019-05-28",3003,83,451,116,147,399,4199
"151","2019-05-29",3060,85,418,116,146,380,4205
"152","2019-05-30",3073,83,435,116,146,378,4232
"153","2019-05-31",2995,87,459,110,142,392,4186
"154","2019-06-01",2879,92,484,104,132,415,4106
"155","2019-06-02",2803,82,468,104,123,445,4025
"156","2019-06-03",2732,66,476,104,131,493,4002
"157","2019-06-04",2829,70,502,92,141,471,4104
"158","2019-06-05",2986,73,505,82,143,389,4177
"159","2019-06-06",2939,72,499,81,139,374,4105
"160","2019-06-07",2879,71,507,81,142,379,4060
"161","2019-06-08",2910,77,516,107,142,344,4096
"162","2019-06-09",2879,73,491,113,123,359,4038
"163","2019-06-10",2924,79,502,114,132,382,4134
"164","2019-06-11",2891,76,493,117,153,460,4187
"165","2019-06-12",2751,70,484,109,150,427,3990
"166","2019-06-13",2683,70,483,117,131,488,3972
"167","2019-06-14",2853,76,479,97,136,488,4128
"168","2019-06-15",2756,68,481,117,135,554,4110
"169","2019-06-16",2553,64,500,112,121,558,3908
"170","2019-06-17",2595,66,513,109,124,613,4020
"171","2019-06-18",2618,70,492,107,119,529,3935
"172","2019-06-19",2698,68,485,111,127,519,4009
"173","2019-06-20",2754,75,476,112,131,484,4031
"174","2019-06-21",2820,84,486,112,141,415,4059
"175","2019-06-22",2780,89,463,112,152,381,3975
"176","2019-06-23",2674,80,472,113,135,354,3827
"177","2019-06-24",2765,78,503,113,140,324,3923
"178","2019-06-25",2835,84,505,112,134,367,4038
"179","2019-06-26",2811,85,511,112,128,420,4066
