"date","year","month","month_date","coal","lignite","coal_lignite","gas_naptha_diesel","hydro","nuclear","res","total","unit"
2017-08-29,2017,8,"08_29",NA,NA,2403,112,499,62,303,3380,"MU"
2017-08-30,2017,8,"08_30",NA,NA,2272,115,512,65,338,3304,"MU"
2017-08-31,2017,8,"08_31",NA,NA,2306,106,539,70,332,3351,"MU"
2017-09-01,2017,9,"09_01",NA,NA,2389,111,532,78,257,3366,"MU"
2017-09-02,2017,9,"09_02",NA,NA,2331,107,542,80,220,3281,"MU"
2017-09-03,2017,9,"09_03",NA,NA,2354,108,537,83,182,3266,"MU"
2017-09-04,2017,9,"09_04",NA,NA,2309,103,514,83,188,3197,"MU"
2017-09-05,2017,9,"09_05",NA,NA,2492,115,538,83,170,3400,"MU"
2017-09-06,2017,9,"09_06",NA,NA,2553,116,527,83,192,3471,"MU"
2017-09-07,2017,9,"09_07",NA,NA,2603,124,536,84,166,3515,"MU"
2017-09-08,2017,9,"09_08",NA,NA,2655,120,538,84,139,3535,"MU"
2017-09-09,2017,9,"09_09",NA,NA,2649,141,529,84,133,3537,"MU"
2017-09-10,2017,9,"09_10",NA,NA,2678,162,528,84,135,3589,"MU"
2017-09-11,2017,9,"09_11",NA,NA,2676,157,490,85,137,3546,"MU"
2017-09-12,2017,9,"09_12",NA,NA,2688,161,552,84,145,3631,"MU"
2017-09-13,2017,9,"09_13",NA,NA,2695,174,561,84,134,3650,"MU"
2017-09-14,2017,9,"09_14",NA,NA,2707,186,544,80,132,3652,"MU"
2017-09-15,2017,9,"09_15",NA,NA,2687,182,515,75,172,3630,"MU"
2017-09-16,2017,9,"09_16",NA,NA,2709,177,503,72,176,3638,"MU"
2017-09-16,2017,9,"09_16",NA,NA,2709,177,503,72,176,3638,"MU"
2017-09-17,2017,9,"09_17",NA,NA,2696,175,446,74,205,3598,"MU"
2017-09-18,2017,9,"09_18",NA,NA,2519,147,430,81,204,3379,"MU"
2017-09-19,2017,9,"09_19",NA,NA,2505,145,435,78,268,3430,"MU"
2017-09-20,2017,9,"09_20",NA,NA,2507,154,440,76,332,3511,"MU"
2017-09-21,2017,9,"09_21",NA,NA,2506,153,471,76,321,3529,"MU"
2017-09-22,2017,9,"09_22",NA,NA,2561,136,492,76,291,3557,"MU"
2017-09-23,2017,9,"09_23",NA,NA,2503,123,492,77,273,3466,"MU"
2017-09-24,2017,9,"09_24",NA,NA,2474,112,525,81,198,3388,"MU"
2017-09-25,2017,9,"09_25",NA,NA,2481,110,519,82,192,3381,"MU"
2017-09-26,2017,9,"09_26",NA,NA,2559,121,529,82,186,3478,"MU"
2017-09-27,2017,9,"09_27",NA,NA,2626,141,503,78,177,3526,"MU"
2017-09-28,2017,9,"09_28",NA,NA,2624,144,494,72,189,3522,"MU"
2017-09-29,2017,9,"09_29",NA,NA,2579,163,483,69,209,3502,"MU"
2017-09-30,2017,9,"09_30",NA,NA,2500,142,476,77,205,3401,"MU"
2017-10-01,2017,10,"10_01",NA,NA,2421,124,460,83,193,3282,"MU"
2017-10-02,2017,10,"10_02",NA,NA,2387,127,420,84,205,3224,"MU"
2017-10-03,2017,10,"10_03",NA,NA,2436,132,430,85,192,3273,"MU"
2017-10-04,2017,10,"10_04",NA,NA,2539,150,472,86,177,3424,"MU"
