"date","year","month","month_date","coal","lignite","coal_lignite","gas_naptha_diesel","hydro","nuclear","res","total","unit"
2018-01-01,2018,1,"01_01",NA,NA,2652,110,203,122,189,3276,"MU"
2018-01-02,2018,1,"01_02",NA,NA,2604,114,209,124,178,3229,"MU"
2018-01-03,2018,1,"01_03",NA,NA,2669,119,222,127,176,3313,"MU"
2018-01-05,2018,1,"01_05",NA,NA,2731,119,230,127,169,3375,"MU"
2018-01-06,2018,1,"01_06",NA,NA,2738,118,228,127,169,3382,"MU"
2018-01-07,2018,1,"01_07",NA,NA,2715,120,235,127,166,3363,"MU"
2018-01-08,2018,1,"01_08",NA,NA,2631,116,208,127,176,3260,"MU"
2018-01-09,2018,1,"01_09",NA,NA,2703,116,217,124,200,3359,"MU"
2018-01-10,2018,1,"01_10",NA,NA,2730,111,212,117,232,3401,"MU"
2018-01-11,2018,1,"01_11",NA,NA,2742,116,211,117,221,3408,"MU"
2018-01-12,2018,1,"01_12",NA,NA,2749,116,240,117,199,3421,"MU"
2018-01-13,2018,1,"01_13",NA,NA,2790,116,247,117,184,3452,"MU"
2018-01-14,2018,1,"01_14",NA,NA,2778,116,229,120,183,3425,"MU"
2018-01-15,2018,1,"01_15",NA,NA,2580,110,212,122,185,3209,"MU"
2018-01-16,2018,1,"01_16",NA,NA,2623,110,231,119,197,3281,"MU"
2018-01-17,2018,1,"01_17",NA,NA,2673,119,248,113,176,3327,"MU"
2018-01-18,2018,1,"01_18",NA,NA,2755,125,235,113,181,3406,"MU"
2018-01-19,2018,1,"01_19",NA,NA,2726,120,232,114,202,3394,"MU"
2018-01-20,2018,1,"01_20",NA,NA,2735,115,236,113,201,3400,"MU"
2018-01-21,2018,1,"01_21",NA,NA,2745,115,235,113,192,3399,"MU"
2018-01-22,2018,1,"01_22",NA,NA,2675,118,205,113,192,3300,"MU"
2018-01-23,2018,1,"01_23",NA,NA,2723,115,235,113,193,3379,"MU"
2018-01-24,2018,1,"01_24",NA,NA,2689,114,242,115,202,3360,"MU"
2018-01-24,2018,1,"01_24",NA,NA,2689,114,242,115,202,3360,"MU"
2018-01-25,2018,1,"01_25",NA,NA,2686,113,231,116,174,3317,"MU"
