datetime,Hydro,Nuclear,Solar,Thermal,Thermal:Biomassa,Thermal:Carvão,Thermal:Carvão mineral,Thermal:Gás,Thermal:Gás Natural,Thermal:Gás natural,Thermal:Petróleo,Thermal:Resíduos Industriais,Thermal:Óleo Diesel,Wind,year,month,month_date,weekday,hour,date
2022-01-01 00:00:00,42117.878,1999.42,16.192,7668.013,364.349,927.2289999999999,4687.847,,264.044,20.096,22.961,775.496,,5801.654,2022,1,01-01,Saturday,0,2022-01-01
2022-01-01 01:00:00,42760.418,1999.2259999999999,16.868000000000002,7439.578,384.795,940.729,4420.002,,264.04,13.693999999999999,23.678,784.14,,5327.244000000001,2022,1,01-01,Saturday,1,2022-01-01
2022-01-01 02:00:00,41763.159,1999.303,15.979000000000001,7425.749,384.707,944.313,4388.996999999999,,263.935,13.721,29.561,786.015,,5419.0199999999995,2022,1,01-01,Saturday,2,2022-01-01
2022-01-01 03:00:00,40770.31800000001,1999.185,14.639,7431.709,367.14599999999996,938.957,4406.485,,264.095,13.691,33.774,790.061,,5323.425,2022,1,01-01,Saturday,3,2022-01-01
2022-01-01 04:00:00,40151.421,1999.4080000000001,14.808,7449.63,372.00100000000003,940.689,4419.133000000001,,263.993,13.686,33.763,789.365,,5156.878,2022,1,01-01,Saturday,4,2022-01-01
2022-01-01 05:00:00,37842.844,1999.609,41.221000000000004,7207.214,372.493,898.111,4231.421,,264.095,13.71,33.722,774.6619999999999,,5353.664,2022,1,01-01,Saturday,5,2022-01-01
2022-01-01 06:00:00,35642.603,2000.3549999999998,441.79699999999997,6869.662,370.05199999999996,886.1320000000001,3928.479,,263.98,0.342,33.661,773.0160000000001,,5171.666,2022,1,01-01,Saturday,6,2022-01-01
2022-01-01 07:00:00,33250.959,2000.305,1375.062,6767.3730000000005,355.263,884.246,3854.581,,264.132,0.0,33.458,764.693,,6185.219,2022,1,01-01,Saturday,7,2022-01-01
2022-01-01 08:00:00,31606.079,2000.3549999999998,2358.251,6849.446999999999,368.842,888.039,3847.5899999999997,,264.434,0.0,32.406,841.6360000000001,,6426.303,2022,1,01-01,Saturday,8,2022-01-01
2022-01-01 09:00:00,31722.657000000003,2000.308,2790.518,6876.352,394.898,885.5699999999999,3843.7709999999997,,236.01500000000001,0.0,28.675,885.423,,6331.83,2022,1,01-01,Saturday,9,2022-01-01
2022-01-01 10:00:00,32455.286,2000.3069999999998,2921.3309999999997,6757.269,389.83299999999997,885.165,3846.071,,163.11100000000002,0.0,24.442999999999998,850.146,,6410.1939999999995,2022,1,01-01,Saturday,10,2022-01-01
2022-01-01 11:00:00,33747.477000000006,2000.3549999999998,2879.514,6704.467000000001,389.23600000000005,885.907,3838.2329999999997,,162.512,0.0,22.078,812.001,,6155.992,2022,1,01-01,Saturday,11,2022-01-01
2022-01-01 12:00:00,33930.818,2000.3929999999998,2774.705,6698.773,393.234,881.419,3836.186,,149.76999999999998,0.0,20.625999999999998,825.038,,6295.317,2022,1,01-01,Saturday,12,2022-01-01
2022-01-01 13:00:00,33321.888999999996,2000.362,2788.409,6683.919000000001,400.709,879.236,3847.541,,111.67399999999999,0.0,20.424,834.835,,6721.678,2022,1,01-01,Saturday,13,2022-01-01
2022-01-01 14:00:00,33266.34,2000.499,2553.4210000000003,6658.171,391.935,877.159,3847.0930000000003,,111.667,0.0,23.344,818.473,,7485.678,2022,1,01-01,Saturday,14,2022-01-01
2022-01-01 15:00:00,33788.797000000006,2000.3929999999998,1947.989,6669.634,393.154,878.842,3856.59,,113.84700000000001,0.0,27.753,806.948,,8679.884,2022,1,01-01,Saturday,15,2022-01-01
2022-01-01 16:00:00,35926.882999999994,2000.4749999999997,1290.248,6692.89,380.305,893.818,3853.1349999999998,,129.78300000000002,0.0,30.511,814.338,,9076.891,2022,1,01-01,Saturday,16,2022-01-01
2022-01-01 17:00:00,39476.925,2000.5769999999998,533.711,6742.946,382.176,891.87,3865.781,,148.48,0.0,27.41,835.229,,8937.71,2022,1,01-01,Saturday,17,2022-01-01
2022-01-01 18:00:00,44949.868,1999.8419999999999,83.092,6768.737,390.889,894.5450000000001,3867.57,,160.44,0.0,25.5,837.293,,8534.016,2022,1,01-01,Saturday,18,2022-01-01
2022-01-01 19:00:00,50358.106,1999.3229999999999,25.94,6798.231000000001,385.379,889.852,3870.8019999999997,,163.796,0.0,30.113999999999997,865.2879999999999,,8340.097,2022,1,01-01,Saturday,19,2022-01-01
2022-01-01 20:00:00,52152.005000000005,1999.5639999999999,19.738,6808.366999999999,378.238,892.931,3871.651,,164.219,0.0,31.481,869.847,,8265.876,2022,1,01-01,Saturday,20,2022-01-01
2022-01-01 21:00:00,51414.424,1999.3799999999999,19.427,6819.636,383.43,895.66,3877.564,,163.99099999999999,0.0,33.407,860.5840000000001,,8234.89,2022,1,01-01,Saturday,21,2022-01-01
2022-01-01 22:00:00,51129.373,1999.466,19.409,6813.042,383.697,896.0709999999999,3878.088,,164.35,0.0,33.479,850.3570000000001,,7456.802,2022,1,01-01,Saturday,22,2022-01-01
2022-01-01 23:00:00,48889.33,1999.431,17.295,6811.175,379.99899999999997,893.2750000000001,3873.256,,164.644,0.0,33.467999999999996,860.533,,7555.943,2022,1,01-01,Saturday,23,2022-01-01
2022-01-02 00:00:00,45557.600999999995,1999.029,9.681000000000001,6859.491,381.336,894.634,3915.857,,164.92000000000002,0.0,33.36,872.8820000000001,,7913.691,2022,1,01-02,Sunday,0,2022-01-02
2022-01-02 01:00:00,43027.066,1999.357,6.5040000000000004,6895.106,387.03,892.7389999999999,3916.8340000000003,,185.086,0.0,33.349,881.068,,7734.119,2022,1,01-02,Sunday,1,2022-01-02
2022-01-02 02:00:00,41731.715000000004,1999.15,5.413,6938.227000000001,390.48199999999997,893.955,3918.422,,204.579,0.0,33.164,893.125,,7070.522000000001,2022,1,01-02,Sunday,2,2022-01-02
2022-01-02 03:00:00,40682.51,2000.057,7.332,6887.914000000001,359.86600000000004,893.3879999999999,3915.944,,204.88500000000002,0.0,33.272000000000006,872.559,,6841.895,2022,1,01-02,Sunday,3,2022-01-02
2022-01-02 04:00:00,40205.657,2000.2049999999997,6.999,6895.551,368.62,894.942,3913.3909999999996,,204.735,0.0,33.373,873.49,,6666.286,2022,1,01-02,Sunday,4,2022-01-02
2022-01-02 05:00:00,37899.445,2000.8469999999998,30.936,6841.746999999999,372.43,887.634,3905.444,,218.404,0.0,33.349999999999994,815.985,,7098.340999999999,2022,1,01-02,Sunday,5,2022-01-02
2022-01-02 06:00:00,35755.811,2001.569,371.714,6800.633000000001,392.10699999999997,885.149,3908.65,,263.37,0.0,33.226,715.131,,7055.915,2022,1,01-02,Sunday,6,2022-01-02
