datetime,Wind,Hydro,Nuclear,Solar,Thermal,Thermal:Biomassa,Thermal:Carvão,Thermal:Carvão mineral,Thermal:Gás,Thermal:Gás natural,Thermal:Gás Natural,Thermal:Óleo Combustível,Thermal:Óleo Diesel,Thermal:Petróleo,Thermal:Resíduos Industriais,year,month,month_date,weekday,hour,date
2018-01-01 00:00:00,4.970411,35.998182,1.994696,0.0,10.059369,0.613079,1.618208,6.262714,0.107511,0.19118,0.04215,,0.122033,0.28515,0.817344,2018,1,01-01,Monday,0,2018-01-01
2018-01-01 01:00:00,5.002853,35.579952,1.994598,0.0,9.997329,0.614681,1.582031,6.256709,0.107467,0.16844,0.04215,,0.127254,0.2855,0.813097,2018,1,01-01,Monday,1,2018-01-01
2018-01-01 02:00:00,4.985455,35.148626,1.994474,0.0,9.930505,0.619792,1.517518,6.257053,0.107518,0.16847,0.04216,,0.129938,0.28563,0.802426,2018,1,01-01,Monday,2,2018-01-01
2018-01-01 03:00:00,4.729583,34.663264,1.99455,0.0,9.725549,0.605505,1.319645,6.252475,0.107454,0.16852,0.04215,,0.131679,0.28524,0.812881,2018,1,01-01,Monday,3,2018-01-01
2018-01-01 04:00:00,4.060582,34.629921,1.994478,0.0,9.640411,0.604196,1.21851,6.263459,0.107446,0.16855,0.04215,,0.129878,0.28569,0.820532,2018,1,01-01,Monday,4,2018-01-01
2018-01-01 05:00:00,3.706438,34.432978,1.996879,0.0,9.650375,0.611693,1.217134,6.273417,0.107557,0.16872,0.04211,,0.131476,0.28233,0.815938,2018,1,01-01,Monday,5,2018-01-01
2018-01-01 06:00:00,3.387115,33.567642,1.997011,0.005485,8.435167,0.613628,1.115281,5.288177,0.107477,0.03104,0.04216,,0.127666,0.28561,0.824128,2018,1,01-01,Monday,6,2018-01-01
2018-01-01 07:00:00,3.182967,32.283188,1.997172,0.144248,7.936584,0.618055,0.917363,5.011515,0.107493,2.7e-05,0.04214,,0.125324,0.28537,0.829297,2018,1,01-01,Monday,7,2018-01-01
2018-01-01 08:00:00,3.11403,33.06691,1.996822,0.300618,7.903408,0.609676,0.916989,4.996374,0.107475,0.0,0.04216,,0.123747,0.29118,0.815807,2018,1,01-01,Monday,8,2018-01-01
2018-01-01 09:00:00,2.895248,34.891154,1.995957,0.438115,7.901077,0.618654,0.918053,4.978326,0.107473,0.0,0.0421,,0.119802,0.29533,0.821339,2018,1,01-01,Monday,9,2018-01-01
2018-01-01 10:00:00,2.622923,36.839543,1.994586,0.566641,7.873144,0.615185,0.912705,4.95416,0.107476,0.0,0.04214,,0.117836,0.29435,0.829292,2018,1,01-01,Monday,10,2018-01-01
2018-01-01 11:00:00,2.452911,38.159462,1.994389,0.630201,7.858312,0.611067,0.917244,4.942682,0.107528,9.6e-05,0.0421,,0.119624,0.29476,0.823211,2018,1,01-01,Monday,11,2018-01-01
2018-01-01 12:00:00,2.54052,38.136671,1.994482,0.567807,7.826929,0.602711,0.915288,4.915575,0.107462,0.0,0.04139,,0.119847,0.29398,0.830676,2018,1,01-01,Monday,12,2018-01-01
2018-01-01 13:00:00,2.632007,37.396144,1.994313,0.55101,7.798005,0.607334,0.916731,4.903994,0.107369,0.0,0.04153,,0.118158,0.29495,0.807939,2018,1,01-01,Monday,13,2018-01-01
2018-01-01 14:00:00,2.730401,36.877159,1.994241,0.609789,7.771883,0.604254,0.91438,4.875922,0.106838,1.2e-05,0.04212,,0.120077,0.29311,0.81517,2018,1,01-01,Monday,14,2018-01-01
2018-01-01 15:00:00,3.039318,36.936736,1.994306,0.52202,7.779918,0.57981,0.928628,4.88755,0.106245,1e-06,0.04214,,0.118716,0.29422,0.822608,2018,1,01-01,Monday,15,2018-01-01
2018-01-01 16:00:00,3.518141,36.991272,1.994356,0.552808,7.82112,0.568463,0.983502,4.89255,0.106227,0.0,0.04208,,0.116055,0.29351,0.818733,2018,1,01-01,Monday,16,2018-01-01
2018-01-01 17:00:00,3.868757,37.642771,1.994164,0.271523,7.962703,0.556168,1.131308,4.898121,0.107529,0.0,0.04107,,0.116274,0.29356,0.818673,2018,1,01-01,Monday,17,2018-01-01
2018-01-01 18:00:00,4.074191,38.453215,1.99438,0.079877,8.091131,0.565313,1.254963,4.90656,0.107578,0.0,0.04112,,0.112771,0.28864,0.814186,2018,1,01-01,Monday,18,2018-01-01
2018-01-01 19:00:00,4.136486,42.07861,1.994187,0.004129,8.105078,0.574231,1.268519,4.924742,0.107528,0.0,0.04047,,0.109547,0.28369,0.796351,2018,1,01-01,Monday,19,2018-01-01
2018-01-01 20:00:00,4.417737,47.988118,1.992793,0.0,8.198862,0.577224,1.307363,4.943662,0.107462,3e-06,0.04165,,0.112541,0.28286,0.826097,2018,1,01-01,Monday,20,2018-01-01
