datetime,Hydro,Nuclear,Solar,Thermal,Thermal:Biomassa,Thermal:Carvão,Thermal:Carvão mineral,Thermal:Gás,Thermal:Gás Natural,Thermal:Gás natural,Thermal:Petróleo,Thermal:Resíduos Industriais,Thermal:Óleo Diesel,Wind,year,month,month_date,weekday,hour,date
2019-01-01 00:00:00,41460.541999999994,1987.732,0.0,5839.031,551.881,661.8100000000001,3349.0229999999997,0.0,48.662,119.549,257.322,736.514,114.27,6081.406,2019,1,01-01,Tuesday,0,2019-01-01
2019-01-01 01:00:00,41881.891,1987.4750000000001,0.0,5519.624000000001,553.516,536.27,3144.206,0.0,48.54,119.14800000000001,272.703,730.971,114.27,5858.29,2019,1,01-01,Tuesday,1,2019-01-01
2019-01-01 02:00:00,41954.456999999995,1987.431,0.0,5419.784,546.79,508.2,3074.97,0.0,48.550000000000004,118.681,272.774,735.549,114.27,5578.973999999999,2019,1,01-01,Tuesday,2,2019-01-01
2019-01-01 03:00:00,40840.237,1987.525,0.0,5435.467,562.787,506.69,3076.624,0.0,48.550000000000004,118.422,272.61600000000004,735.508,114.27,5761.302,2019,1,01-01,Tuesday,3,2019-01-01
2019-01-01 04:00:00,39875.346,1987.738,0.0,5434.515,556.471,507.25,3074.578,0.0,48.550000000000004,119.12,272.475,741.801,114.27,5923.669,2019,1,01-01,Tuesday,4,2019-01-01
2019-01-01 05:00:00,39538.193999999996,1987.382,0.0,5375.882,553.136,483.0,3060.861,0.0,48.550000000000004,118.81899999999999,272.72999999999996,724.5160000000001,114.27,5593.268,2019,1,01-01,Tuesday,5,2019-01-01
2019-01-01 06:00:00,37168.706,1987.381,19.593,4763.402,551.474,378.95,2627.762,0.0,48.54,46.224000000000004,272.78400000000005,723.398,114.27,5765.603999999999,2019,1,01-01,Tuesday,6,2019-01-01
2019-01-01 07:00:00,35702.129,1987.1570000000002,381.861,4372.06,557.242,264.16,2353.981,0.0,48.57,15.375,272.531,745.931,114.27,5551.7519999999995,2019,1,01-01,Tuesday,7,2019-01-01
2019-01-01 08:00:00,35615.295000000006,1987.2920000000001,867.14,4354.935,559.385,262.96999999999997,2339.744,0.0,48.550000000000004,15.462,272.484,742.07,114.27,6042.875999999999,2019,1,01-01,Tuesday,8,2019-01-01
2019-01-01 09:00:00,36481.239,1987.1680000000001,1092.531,4323.244,557.726,262.87,2335.013,0.0,48.529999999999994,15.388,272.227,717.2199999999999,114.27,6360.797,2019,1,01-01,Tuesday,9,2019-01-01
2019-01-01 10:00:00,37449.625,1986.4379999999999,1194.724,4341.866,560.3679999999999,263.02,2334.079,0.0,48.54,15.34,271.40999999999997,734.839,114.27,6396.18,2019,1,01-01,Tuesday,10,2019-01-01
2019-01-01 11:00:00,38643.514,1985.913,1277.4589999999998,4346.297,562.052,263.92,2332.621,0.0,48.57,15.563,270.731,738.5699999999999,114.27,5927.946999999999,2019,1,01-01,Tuesday,11,2019-01-01
2019-01-01 12:00:00,39086.13,1986.0610000000001,1274.473,4345.72,560.995,263.68,2329.0440000000003,0.0,48.58,15.664000000000001,270.01599999999996,743.471,114.27,5517.741,2019,1,01-01,Tuesday,12,2019-01-01
2019-01-01 13:00:00,38833.696,1985.962,1223.801,4330.691,541.922,262.71,2325.225,0.0,48.58,14.923,270.363,752.698,114.27,5491.141,2019,1,01-01,Tuesday,13,2019-01-01
