unit,datetime,date,year,month,month_date,weekday,hour,coal,gas,oil,nuclear,hydro,wind,solar,other,fossil,low.carbon,total.prod,coal.perc,gas.perc,oil.perc,nuclear.perc,hydro.perc,wind.perc,solar.perc,other.perc,fossil.perc,low.carbon.perc
Mwh,2016-01-01 00:00:00,2016-01-01,2016,1,01-01,Friday,0,240.989,5587.112,406.26,,1573.386,203.014,29.0,926.01,6234.361,2731.41,8965.771,0.026878781534794942,0.6231602390915404,0.04531233287131692,,0.17548808685834155,0.02264322834031786,0.0032345238351503733,0.10328280746853784,0.6953513534976523,0.30464864650234763
Mwh,2016-01-01 01:00:00,2016-01-01,2016,1,01-01,Friday,1,1927.0,5588.0,406.384,,1572.0,203.0,0.0,10083.0,7921.384,11858.0,19779.384,0.09742467207269954,0.2825163817032927,0.020545837018989068,,0.07947669148847103,0.010263211432671514,0.0,0.5097732062838762,0.40048689079498134,0.5995131092050188
Mwh,2016-01-01 02:00:00,2016-01-01,2016,1,01-01,Friday,2,1960.0,5034.0,406.507,,1283.0,218.0,1.0,10292.0,7400.507,11794.0,19194.506999999998,0.10211254709485376,0.2622625316711703,0.02117829856218761,,0.06684203975647826,0.011357415952386795,5.20982383137009e-05,0.5361950687246096,0.3855533773282117,0.6144466226717884
Mwh,2016-01-01 03:00:00,2016-01-01,2016,1,01-01,Friday,3,1969.0,4486.0,406.63,,1171.0,267.0,0.0,9706.0,6861.63,11144.0,18005.63,0.10935468517347073,0.24914429542315375,0.022583491941131746,,0.06503521398584776,0.014828695246986635,0.0,0.5390536182294093,0.38108247253775623,0.6189175274622437
Mwh,2016-01-01 04:00:00,2016-01-01,2016,1,01-01,Friday,4,1968.0,4275.0,406.753,,1469.0,227.0,0.0,9155.0,6649.753,10851.0,17500.753,0.11245230419513949,0.24427520347267342,0.023242028500145107,,0.08393924535704263,0.012970870453402776,0.0,0.5231203480215966,0.379969536167958,0.620030463832042
Mwh,2016-01-01 05:00:00,2016-01-01,2016,1,01-01,Friday,5,1899.0,3926.0,406.877,,1542.0,212.0,0.0,8842.0,6231.877,10596.0,16827.877,0.11284845973143255,0.23330334539526287,0.024178748157001623,,0.09163366240435439,0.012598142950533808,0.0,0.5254376413614147,0.3703305532836971,0.629669446716303
Mwh,2016-01-01 06:00:00,2016-01-01,2016,1,01-01,Friday,6,1899.0,3934.0,407.0,,1553.0,223.0,0.0,8706.0,6240.0,10482.0,16722.0,0.11356297093649086,0.23525894031814376,0.024339193876330583,,0.09287166606865208,0.013335725391699558,0.0,0.5206315034086831,0.3731611051309652,0.6268388948690348
Mwh,2016-01-01 07:00:00,2016-01-01,2016,1,01-01,Friday,7,1836.0,4256.0,397.579,,1618.0,213.0,0.0,8847.0,6489.579,10678.0,17167.578999999998,0.10694577261010421,0.2479091548086076,0.023158710963263957,,0.09424741834594151,0.012407107606727776,0.0,0.5153318356653551,0.3780136383819757,0.6219863616180243
Mwh,2016-01-01 08:00:00,2016-01-01,2016,1,01-01,Friday,8,1926.0,4275.0,388.158,,1690.0,206.0,49.0,8969.0,6589.158,10914.0,17503.158,0.11003728584293189,0.2442416391373488,0.022176455243105273,,0.0965540047116069,0.011769304716326048,0.002799494811164934,0.5124218155375162,0.376455380223386,0.623544619776614
Mwh,2016-01-01 09:00:00,2016-01-01,2016,1,01-01,Friday,9,1902.0,3867.0,378.737,,2081.0,188.0,576.0,8990.0,6147.737,11835.0,17982.737,0.10576810415455666,0.21503956822590464,0.021061143250885556,,0.11572209502924943,0.010454470862805812,0.032030719239234826,0.499923899237363,0.34186881563134686,0.658131184368653
