BÖLGE ADI,BÖLGE PUANTI (MW),PUANT GÜNÜ,date
BATI AKDENİZ YTM,2417.22,2017-03-15,2017-03-15
BATI ANADOLU YTM,5101.59,2017-03-15,2017-03-15
DOĞU AKDENİZ YTM,2911.46,2017-03-15,2017-03-15
DOĞU ANADOLU YTM,1281.01,2017-03-15,2017-03-15
GÜNEY DOĞU ANADOLU YTM,5571.56,2017-03-15,2017-03-15
KUZEY BATI ANADOLU YTM,8721.61,2017-03-15,2017-03-15
ORTA ANADOLU YTM,4012.56,2017-03-15,2017-03-15
ORTA KARADENİZ YTM,1762.43,2017-03-15,2017-03-15
TRAKYA YTM,6507.29,2017-03-15,2017-03-15
