BÖLGE ADI,BÖLGE PUANTI (MW),PUANT GÜNÜ,date
BATI AKDENİZ YTM,2223.36,2017-04-06,2017-04-06
BATI ANADOLU YTM,4759.53,2017-04-06,2017-04-06
DOĞU AKDENİZ YTM,2721.14,2017-04-06,2017-04-06
DOĞU ANADOLU YTM,1268.09,2017-04-06,2017-04-06
GÜNEY DOĞU ANADOLU YTM,4935.88,2017-04-06,2017-04-06
KUZEY BATI ANADOLU YTM,8102.79,2017-04-06,2017-04-06
ORTA ANADOLU YTM,3491.46,2017-04-06,2017-04-06
ORTA KARADENİZ YTM,1650.1,2017-04-06,2017-04-06
TRAKYA YTM,6056.52,2017-04-06,2017-04-06
