BÖLGE ADI,BÖLGE PUANTI (MW),PUANT GÜNÜ,date
BATI AKDENİZ YTM,2250.07,2017-04-10,2017-04-10
BATI ANADOLU YTM,4822.05,2017-04-10,2017-04-10
DOĞU AKDENİZ YTM,2823.47,2017-04-10,2017-04-10
DOĞU ANADOLU YTM,1321.26,2017-04-10,2017-04-10
GÜNEY DOĞU ANADOLU YTM,5242.8,2017-04-10,2017-04-10
KUZEY BATI ANADOLU YTM,7995.15,2017-04-10,2017-04-10
ORTA ANADOLU YTM,3736.12,2017-04-10,2017-04-10
ORTA KARADENİZ YTM,1703.54,2017-04-10,2017-04-10
TRAKYA YTM,5842.37,2017-04-10,2017-04-10
