BÖLGE ADI,BÖLGE PUANTI (MW),PUANT GÜNÜ,date
BATI AKDENİZ YTM,2467.32,2017-05-17,2017-05-17
BATI ANADOLU YTM,4856.85,2017-05-17,2017-05-17
DOĞU AKDENİZ YTM,2971.4,2017-05-17,2017-05-17
DOĞU ANADOLU YTM,1220.25,2017-05-17,2017-05-17
GÜNEY DOĞU ANADOLU YTM,5621.11,2017-05-17,2017-05-17
KUZEY BATI ANADOLU YTM,7847.5,2017-05-17,2017-05-17
ORTA ANADOLU YTM,4202.04,2017-05-17,2017-05-17
ORTA KARADENİZ YTM,1643.87,2017-05-17,2017-05-17
TRAKYA YTM,5569.13,2017-05-17,2017-05-17
