BÖLGE ADI,BÖLGE PUANTI (MW),PUANT GÜNÜ,date
BATI AKDENİZ YTM,2313.82,2017-03-08,2017-03-08
BATI ANADOLU YTM,5199.85,2017-03-08,2017-03-08
DOĞU AKDENİZ YTM,2813.5,2017-03-08,2017-03-08
DOĞU ANADOLU YTM,1304.0,2017-03-08,2017-03-08
GÜNEY DOĞU ANADOLU YTM,5360.19,2017-03-08,2017-03-08
KUZEY BATI ANADOLU YTM,7672.49,2017-03-08,2017-03-08
ORTA ANADOLU YTM,3502.3,2017-03-08,2017-03-08
ORTA KARADENİZ YTM,1643.44,2017-03-08,2017-03-08
TRAKYA YTM,5788.26,2017-03-08,2017-03-08
