BÖLGE ADI,BÖLGE PUANTI (MW),PUANT GÜNÜ,date
BATI AKDENİZ YTM,2482.06,2017-01-11,2017-01-11
BATI ANADOLU YTM,5675.39,2017-01-11,2017-01-11
DOĞU AKDENİZ YTM,3226.54,2017-01-11,2017-01-11
DOĞU ANADOLU YTM,1428.13,2017-01-11,2017-01-11
GÜNEY DOĞU ANADOLU YTM,5574.28,2017-01-11,2017-01-11
KUZEY BATI ANADOLU YTM,8526.4,2017-01-11,2017-01-11
ORTA ANADOLU YTM,3932.34,2017-01-11,2017-01-11
ORTA KARADENİZ YTM,1694.48,2017-01-11,2017-01-11
TRAKYA YTM,6675.59,2017-01-11,2017-01-11
