BÖLGE ADI,BÖLGE PUANTI (MW),PUANT GÜNÜ,date
BATI AKDENİZ YTM,2148.45,2017-03-04,2017-03-04
BATI ANADOLU YTM,4590.68,2017-03-04,2017-03-04
DOĞU AKDENİZ YTM,2917.71,2017-03-04,2017-03-04
DOĞU ANADOLU YTM,1344.72,2017-03-04,2017-03-04
GÜNEY DOĞU ANADOLU YTM,5378.66,2017-03-04,2017-03-04
KUZEY BATI ANADOLU YTM,7636.37,2017-03-04,2017-03-04
ORTA ANADOLU YTM,3517.08,2017-03-04,2017-03-04
ORTA KARADENİZ YTM,1715.5,2017-03-04,2017-03-04
TRAKYA YTM,5408.1,2017-03-04,2017-03-04
