BÖLGE ADI,BÖLGE PUANTI (MW),PUANT GÜNÜ,date
BATI AKDENİZ YTM,2418.8,2017-01-07,2017-01-07
BATI ANADOLU YTM,5300.6,2017-01-07,2017-01-07
DOĞU AKDENİZ YTM,3193.44,2017-01-07,2017-01-07
DOĞU ANADOLU YTM,1392.01,2017-01-07,2017-01-07
GÜNEY DOĞU ANADOLU YTM,5389.73,2017-01-07,2017-01-07
KUZEY BATI ANADOLU YTM,7791.96,2017-01-07,2017-01-07
ORTA ANADOLU YTM,3595.23,2017-01-07,2017-01-07
ORTA KARADENİZ YTM,1644.47,2017-01-07,2017-01-07
TRAKYA YTM,4932.17,2017-01-07,2017-01-07
