BÖLGE ADI,BÖLGE PUANTI (MW),PUANT GÜNÜ,date
BATI AKDENİZ YTM,2394.81,2017-01-19,2017-01-19
BATI ANADOLU YTM,5233.49,2017-01-19,2017-01-19
DOĞU AKDENİZ YTM,3183.71,2017-01-19,2017-01-19
DOĞU ANADOLU YTM,1472.98,2017-01-19,2017-01-19
GÜNEY DOĞU ANADOLU YTM,5622.56,2017-01-19,2017-01-19
KUZEY BATI ANADOLU YTM,8517.85,2017-01-19,2017-01-19
ORTA ANADOLU YTM,4000.39,2017-01-19,2017-01-19
ORTA KARADENİZ YTM,1791.69,2017-01-19,2017-01-19
TRAKYA YTM,6700.4,2017-01-19,2017-01-19
