BÖLGE ADI,BÖLGE PUANTI (MW),PUANT GÜNÜ,date
BATI AKDENİZ YTM,2247.19,2017-04-20,2017-04-20
BATI ANADOLU YTM,4785.01,2017-04-20,2017-04-20
DOĞU AKDENİZ YTM,2697.29,2017-04-20,2017-04-20
DOĞU ANADOLU YTM,1266.05,2017-04-20,2017-04-20
GÜNEY DOĞU ANADOLU YTM,4502.44,2017-04-20,2017-04-20
KUZEY BATI ANADOLU YTM,7820.46,2017-04-20,2017-04-20
ORTA ANADOLU YTM,3442.61,2017-04-20,2017-04-20
ORTA KARADENİZ YTM,1649.08,2017-04-20,2017-04-20
TRAKYA YTM,5712.25,2017-04-20,2017-04-20
