BÖLGE ADI,BÖLGE PUANTI (MW),PUANT GÜNÜ,date
BATI AKDENİZ YTM,2184.99,2017-03-30,2017-03-30
BATI ANADOLU YTM,4788.73,2017-03-30,2017-03-30
DOĞU AKDENİZ YTM,2861.86,2017-03-30,2017-03-30
DOĞU ANADOLU YTM,1298.74,2017-03-30,2017-03-30
GÜNEY DOĞU ANADOLU YTM,4823.94,2017-03-30,2017-03-30
KUZEY BATI ANADOLU YTM,7985.01,2017-03-30,2017-03-30
ORTA ANADOLU YTM,3454.46,2017-03-30,2017-03-30
ORTA KARADENİZ YTM,1669.36,2017-03-30,2017-03-30
TRAKYA YTM,5860.71,2017-03-30,2017-03-30
