BÖLGE ADI,BÖLGE PUANTI (MW),PUANT GÜNÜ,date
BATI AKDENİZ YTM,2459.37,2017-03-09,2017-03-09
BATI ANADOLU YTM,5278.24,2017-03-09,2017-03-09
DOĞU AKDENİZ YTM,2766.59,2017-03-09,2017-03-09
DOĞU ANADOLU YTM,1331.41,2017-03-09,2017-03-09
GÜNEY DOĞU ANADOLU YTM,5347.95,2017-03-09,2017-03-09
KUZEY BATI ANADOLU YTM,8079.35,2017-03-09,2017-03-09
ORTA ANADOLU YTM,3553.92,2017-03-09,2017-03-09
ORTA KARADENİZ YTM,1601.7,2017-03-09,2017-03-09
TRAKYA YTM,6066.51,2017-03-09,2017-03-09
