BÖLGE ADI,BÖLGE PUANTI (MW),PUANT GÜNÜ,date
BATI AKDENİZ YTM,2505.57,2017-06-23,2017-06-23
BATI ANADOLU YTM,5415.69,2017-06-23,2017-06-23
DOĞU AKDENİZ YTM,2990.55,2017-06-23,2017-06-23
DOĞU ANADOLU YTM,1009.7,2017-06-23,2017-06-23
GÜNEY DOĞU ANADOLU YTM,4751.61,2017-06-23,2017-06-23
KUZEY BATI ANADOLU YTM,7816.94,2017-06-23,2017-06-23
ORTA ANADOLU YTM,3638.07,2017-06-23,2017-06-23
ORTA KARADENİZ YTM,1642.25,2017-06-23,2017-06-23
TRAKYA YTM,5658.99,2017-06-23,2017-06-23
