BÖLGE ADI,BÖLGE PUANTI (MW),PUANT GÜNÜ,date
BATI AKDENİZ YTM,2516.29,2017-02-04,2017-02-04
BATI ANADOLU YTM,5329.54,2017-02-04,2017-02-04
DOĞU AKDENİZ YTM,3212.64,2017-02-04,2017-02-04
DOĞU ANADOLU YTM,1408.33,2017-02-04,2017-02-04
GÜNEY DOĞU ANADOLU YTM,5599.19,2017-02-04,2017-02-04
KUZEY BATI ANADOLU YTM,7834.63,2017-02-04,2017-02-04
ORTA ANADOLU YTM,3654.7,2017-02-04,2017-02-04
ORTA KARADENİZ YTM,1727.0,2017-02-04,2017-02-04
TRAKYA YTM,5552.86,2017-02-04,2017-02-04
