BÖLGE ADI,BÖLGE PUANTI (MW),PUANT GÜNÜ,date
BATI AKDENİZ YTM,2574.36,2017-01-30,2017-01-30
BATI ANADOLU YTM,5777.2,2017-01-30,2017-01-30
DOĞU AKDENİZ YTM,3479.3,2017-01-30,2017-01-30
DOĞU ANADOLU YTM,1411.94,2017-01-30,2017-01-30
GÜNEY DOĞU ANADOLU YTM,5546.12,2017-01-30,2017-01-30
KUZEY BATI ANADOLU YTM,8810.25,2017-01-30,2017-01-30
ORTA ANADOLU YTM,4060.33,2017-01-30,2017-01-30
ORTA KARADENİZ YTM,1800.91,2017-01-30,2017-01-30
TRAKYA YTM,6875.47,2017-01-30,2017-01-30
