BÖLGE ADI,BÖLGE PUANTI (MW),PUANT GÜNÜ,date
BATI AKDENİZ YTM,2559.78,2017-02-15,2017-02-15
BATI ANADOLU YTM,5955.76,2017-02-15,2017-02-15
DOĞU AKDENİZ YTM,3255.0,2017-02-15,2017-02-15
DOĞU ANADOLU YTM,1403.61,2017-02-15,2017-02-15
GÜNEY DOĞU ANADOLU YTM,5745.01,2017-02-15,2017-02-15
KUZEY BATI ANADOLU YTM,9105.62,2017-02-15,2017-02-15
ORTA ANADOLU YTM,4274.41,2017-02-15,2017-02-15
ORTA KARADENİZ YTM,1767.29,2017-02-15,2017-02-15
TRAKYA YTM,6966.45,2017-02-15,2017-02-15
