BÖLGE ADI,BÖLGE PUANTI (MW),PUANT GÜNÜ,date
BATI AKDENİZ YTM,2153.94,2017-04-01,2017-04-01
BATI ANADOLU YTM,4446.03,2017-04-01,2017-04-01
DOĞU AKDENİZ YTM,2663.98,2017-04-01,2017-04-01
DOĞU ANADOLU YTM,1312.49,2017-04-01,2017-04-01
GÜNEY DOĞU ANADOLU YTM,5077.51,2017-04-01,2017-04-01
KUZEY BATI ANADOLU YTM,7728.01,2017-04-01,2017-04-01
ORTA ANADOLU YTM,3308.46,2017-04-01,2017-04-01
ORTA KARADENİZ YTM,1687.65,2017-04-01,2017-04-01
TRAKYA YTM,5489.15,2017-04-01,2017-04-01
