BÖLGE ADI,BÖLGE PUANTI (MW),PUANT GÜNÜ,date
BATI AKDENİZ YTM,2224.35,2017-06-18,2017-06-18
BATI ANADOLU YTM,4553.55,2017-06-18,2017-06-18
DOĞU AKDENİZ YTM,2798.22,2017-06-18,2017-06-18
DOĞU ANADOLU YTM,1005.6,2017-06-18,2017-06-18
GÜNEY DOĞU ANADOLU YTM,4659.81,2017-06-18,2017-06-18
KUZEY BATI ANADOLU YTM,6056.18,2017-06-18,2017-06-18
ORTA ANADOLU YTM,3391.85,2017-06-18,2017-06-18
ORTA KARADENİZ YTM,1639.16,2017-06-18,2017-06-18
TRAKYA YTM,3798.97,2017-06-18,2017-06-18
