BÖLGE ADI,BÖLGE PUANTI (MW),PUANT GÜNÜ,date
BATI AKDENİZ YTM,2240.75,2017-01-15,2017-01-15
BATI ANADOLU YTM,4727.03,2017-01-15,2017-01-15
DOĞU AKDENİZ YTM,3023.83,2017-01-15,2017-01-15
DOĞU ANADOLU YTM,1438.67,2017-01-15,2017-01-15
GÜNEY DOĞU ANADOLU YTM,5324.65,2017-01-15,2017-01-15
KUZEY BATI ANADOLU YTM,6574.71,2017-01-15,2017-01-15
ORTA ANADOLU YTM,3306.9,2017-01-15,2017-01-15
ORTA KARADENİZ YTM,1568.95,2017-01-15,2017-01-15
TRAKYA YTM,4509.63,2017-01-15,2017-01-15
