BÖLGE ADI,BÖLGE PUANTI (MW),PUANT GÜNÜ,date
BATI AKDENİZ YTM,2051.28,2017-02-26,2017-02-26
BATI ANADOLU YTM,4360.9,2017-02-26,2017-02-26
DOĞU AKDENİZ YTM,2814.56,2017-02-26,2017-02-26
DOĞU ANADOLU YTM,1399.99,2017-02-26,2017-02-26
GÜNEY DOĞU ANADOLU YTM,5521.12,2017-02-26,2017-02-26
KUZEY BATI ANADOLU YTM,6385.57,2017-02-26,2017-02-26
ORTA ANADOLU YTM,3097.46,2017-02-26,2017-02-26
ORTA KARADENİZ YTM,1628.97,2017-02-26,2017-02-26
TRAKYA YTM,4194.27,2017-02-26,2017-02-26
