date,mw,region
2005-09-28 0:00,9701,ОЭС СР. ВОЛГИ
2005-09-28 1:00,10099,ОЭС СР. ВОЛГИ
2005-09-28 2:00,10167,ОЭС СР. ВОЛГИ
2005-09-28 3:00,10009,ОЭС СР. ВОЛГИ
2005-09-28 4:00,9247,ОЭС СР. ВОЛГИ
2005-09-28 5:00,9929,ОЭС СР. ВОЛГИ
2005-09-28 6:00,9804,ОЭС СР. ВОЛГИ
2005-09-28 7:00,11230,ОЭС СР. ВОЛГИ
2005-09-28 8:00,10871,ОЭС СР. ВОЛГИ
2005-09-28 9:00,11209,ОЭС СР. ВОЛГИ
2005-09-28 10:00,11553,ОЭС СР. ВОЛГИ
2005-09-28 11:00,11418,ОЭС СР. ВОЛГИ
2005-09-28 12:00,11026,ОЭС СР. ВОЛГИ
2005-09-28 13:00,10962,ОЭС СР. ВОЛГИ
2005-09-28 14:00,11396,ОЭС СР. ВОЛГИ
2005-09-28 15:00,11313,ОЭС СР. ВОЛГИ
2005-09-28 16:00,11518,ОЭС СР. ВОЛГИ
2005-09-28 17:00,10699,ОЭС СР. ВОЛГИ
2005-09-28 18:00,11087,ОЭС СР. ВОЛГИ
2005-09-28 19:00,12141,ОЭС СР. ВОЛГИ
2005-09-28 20:00,11644,ОЭС СР. ВОЛГИ
2005-09-28 21:00,10987,ОЭС СР. ВОЛГИ
2005-09-28 22:00,10736,ОЭС СР. ВОЛГИ
2005-09-28 23:00,10052,ОЭС СР. ВОЛГИ
