date,mw,region
2016-04-13 0:00,10905,ОЭС СР. ВОЛГИ
2016-04-13 1:00,11281,ОЭС СР. ВОЛГИ
2016-04-13 2:00,11603,ОЭС СР. ВОЛГИ
2016-04-13 3:00,11163,ОЭС СР. ВОЛГИ
2016-04-13 4:00,11574,ОЭС СР. ВОЛГИ
2016-04-13 5:00,11567,ОЭС СР. ВОЛГИ
2016-04-13 6:00,11005,ОЭС СР. ВОЛГИ
2016-04-13 7:00,12143,ОЭС СР. ВОЛГИ
2016-04-13 8:00,12468,ОЭС СР. ВОЛГИ
2016-04-13 9:00,12795,ОЭС СР. ВОЛГИ
2016-04-13 10:00,13146,ОЭС СР. ВОЛГИ
2016-04-13 11:00,13074,ОЭС СР. ВОЛГИ
2016-04-13 12:00,13026,ОЭС СР. ВОЛГИ
2016-04-13 13:00,13180,ОЭС СР. ВОЛГИ
2016-04-13 14:00,12987,ОЭС СР. ВОЛГИ
2016-04-13 15:00,12530,ОЭС СР. ВОЛГИ
2016-04-13 16:00,12431,ОЭС СР. ВОЛГИ
2016-04-13 17:00,12698,ОЭС СР. ВОЛГИ
2016-04-13 18:00,12602,ОЭС СР. ВОЛГИ
2016-04-13 19:00,13006,ОЭС СР. ВОЛГИ
2016-04-13 20:00,13110,ОЭС СР. ВОЛГИ
2016-04-13 21:00,13184,ОЭС СР. ВОЛГИ
2016-04-13 22:00,12845,ОЭС СР. ВОЛГИ
2016-04-13 23:00,11977,ОЭС СР. ВОЛГИ
