date,mw,region
2000-10-25 0:00,10092,ОЭС СР. ВОЛГИ
2000-10-25 1:00,9881,ОЭС СР. ВОЛГИ
2000-10-25 2:00,9627,ОЭС СР. ВОЛГИ
2000-10-25 3:00,9845,ОЭС СР. ВОЛГИ
2000-10-25 4:00,9875,ОЭС СР. ВОЛГИ
2000-10-25 5:00,10053,ОЭС СР. ВОЛГИ
2000-10-25 6:00,11654,ОЭС СР. ВОЛГИ
2000-10-25 7:00,11342,ОЭС СР. ВОЛГИ
2000-10-25 8:00,12272,ОЭС СР. ВОЛГИ
2000-10-25 9:00,12088,ОЭС СР. ВОЛГИ
2000-10-25 10:00,13206,ОЭС СР. ВОЛГИ
2000-10-25 11:00,12999,ОЭС СР. ВОЛГИ
2000-10-25 12:00,12962,ОЭС СР. ВОЛГИ
2000-10-25 13:00,13519,ОЭС СР. ВОЛГИ
2000-10-25 14:00,12997,ОЭС СР. ВОЛГИ
2000-10-25 15:00,13529,ОЭС СР. ВОЛГИ
2000-10-25 16:00,13189,ОЭС СР. ВОЛГИ
2000-10-25 17:00,13298,ОЭС СР. ВОЛГИ
2000-10-25 18:00,13069,ОЭС СР. ВОЛГИ
2000-10-25 19:00,14008,ОЭС СР. ВОЛГИ
2000-10-25 20:00,12949,ОЭС СР. ВОЛГИ
2000-10-25 21:00,13258,ОЭС СР. ВОЛГИ
2000-10-25 22:00,12146,ОЭС СР. ВОЛГИ
2000-10-25 23:00,11410,ОЭС СР. ВОЛГИ
